participant_id	age	sex	handedness	design_order1	design_order2	design_order3	design_order4	design_order5
sub-01	20	M	Right	slow12	med8	quick6	quick4n	slow10
sub-02	19	F	Right	slow10	slow12	med8	quick6	quick4n
sub-03	19	F	Right	med8	quick4n	slow10	slow12	quick6
sub-04	21	M	Right	quick4n	quick6	slow12	slow10	med8
sub-05	19	M	Right	quick6	slow10	quick4n	med8	slow12
sub-06	19	M	Right	slow12	med8	quick6	quick4n	slow10
sub-07	19	M	Right	med8	quick4n	slow10	slow12	quick6
sub-08	18	F	Right	quick4n	quick6	slow12	slow10	med8
sub-09	19	F	Right	quick6	slow10	quick4n	med8	slow12
sub-10	20	F	Right	slow12	med8	quick6	quick4n	slow10
sub-11	21	M	Right	slow10	slow12	med8	quick6	quick4n
sub-12	19	F	Right	med8	quick4n	slow10	slow12	quick6
sub-13	19	M	Right	quick4n	quick6	slow12	slow10	med8
sub-14	27	M	Right	quick6	slow10	quick4n	med8	slow12
sub-15	22	F	Right	slow12	med8	quick6	quick4n	slow10
sub-16	19	M	Right	med8	quick4n	slow10	slow12	quick6
sub-17	32	M	Right	quick4n	quick6	slow12	slow10	med8
sub-18	35	F	Right	quick6	slow10	quick4n	med8	slow12
sub-19	25	M	Right	slow12	med8	quick6	quick4n	slow10
sub-20	27	M	Right	slow10	slow12	med8	quick6	quick4n
sub-21	20	M	Right	med8	quick4n	slow10	slow12	quick6
sub-22	26	M	Right	quick4n	quick6	slow12	slow10	med8
sub-23	21	M	Right	quick6	slow10	quick4n	med8	slow12
sub-24	19	F	Right	slow12	med8	quick6	quick4n	slow10
sub-25	22	M	Right	med8	quick4n	slow10	slow12	quick6
sub-26	21	F	Right	quick4n	quick6	slow12	slow10	med8
sub-27	23	M	Right	quick6	slow10	quick4n	med8	slow12
sub-28	21	F	Right	slow12	med8	quick6	quick4n	slow10
sub-29	18	F	Right	slow10	slow12	med8	quick6	quick4n
sub-30	19	F	Right	med8	quick4n	slow10	slow12	quick6
sub-31	20	F	Right	quick4n	quick6	slow12	slow10	med8
sub-32	21	F	Right	quick6	slow10	quick4n	med8	slow12
sub-33	20	F	Right	slow12	med8	quick6	quick4n	slow10
sub-34	21	F	Right	slow10	slow12	med8	quick6	quick4n
sub-35	24	M	Right	med8	quick4n	slow10	slow12	quick6
