participant_id	group	sex
sub-01	younger	M
sub-02	younger	F
sub-03	younger	F
sub-04	younger	F
sub-05	younger	F
sub-06	younger	M
sub-07	younger	F
sub-08	younger	M
sub-09	younger	M
sub-10	younger	M
sub-11	younger	M
sub-12	younger	M
sub-13	younger	M
sub-14	younger	M
sub-15	younger	M
sub-16	younger	M
sub-17	younger	F
sub-18	younger	M
sub-19	younger	F
sub-20	younger	M
sub-21	younger	M
sub-22	younger	M
sub-23	younger	M
sub-24	younger	M
sub-25	younger	F
sub-26	younger	M
sub-27	younger	M
sub-28	younger	F
sub-29	older	M
sub-30	older	M
sub-31	older	F
sub-32	older	F
sub-33	older	M
sub-34	older	M
sub-35	older	M
sub-36	older	F
sub-37	older	M
sub-38	older	F
sub-39	older	F
sub-40	older	M
sub-41	older	M
sub-42	older	M
sub-43	older	M
sub-44	older	M
sub-45	older	M
sub-46	older	F
sub-47	older	M
sub-48	older	F
sub-49	older	F
sub-50	older	M
sub-51	older	F
sub-52	older	M
