participant_id	session	gender	weight	acquisition_date	breathing_rate	condition
sub-jgrAesAWc11R1L	ses-1	f	20.6	2017-08-11	150	awake
sub-jgrAesAWc12R	ses-1	f	22.4	2017-08-11	240	awake
sub-jgrAesAWc1NT	ses-1	f	19.5	2017-08-11	290	awake
sub-jgrAesAWc11L	ses-1	f	21	2017-08-11	180	awake
sub-jgrAesAWc11R	ses-1	f	20.3	2017-08-11	200	awake
sub-jgrAesISOc1NT	ses-1	f	21.6	2017-08-14	205	iso
sub-jgrAesISOc11R	ses-1	f	22.9	2017-08-14	252	iso
sub-jgrAesISOc11L	ses-1	f	21.1	2017-08-14	300	iso
sub-jgrAesISOc12R	ses-1	f	22.9	2017-08-14	200	iso
sub-jgrAesISOc11R1L	ses-1	f	22	2017-08-14	150	iso
sub-jgrAesMEDISOc1NT	ses-1	f	22.3	2017-08-15	90	mediso
sub-jgrAesMEDISOc11R	ses-1	f	22.4	2017-08-15	90	mediso
sub-jgrAesMEDISOc11L	ses-1	f	21.3	2017-08-15	90	mediso
sub-jgrAesMEDISOc12R	ses-1	f	21.8	2017-08-15	90	mediso
sub-jgrAesMEDISOc11R1L	ses-1	f	22.1	2017-08-15	90	mediso
sub-jgrAesAWc1NT	ses-2	f	20.1	2017-08-21	260	awake
sub-jgrAesAWc11R	ses-2	f	21.3	2017-08-21	230	awake
sub-jgrAesAWc11L	ses-2	f	22.9	2017-08-21	220	awake
sub-jgrAesAWc11R1L	ses-2	f	20.7	2017-08-21	210	awake
sub-jgrAesAWc12R	ses-2	f	23.1	2017-08-21	207	awake
sub-jgrAesISOc11R1L	ses-2	f	22.3	2017-08-22	230	iso
sub-jgrAesISOc11R	ses-2	f	22.1	2017-08-22	240	iso
sub-jgrAesISOc12R	ses-2	f	22.3	2017-08-22	190	iso
sub-jgrAesISOc1NT	ses-2	f	21.5	2017-08-22	230	iso
sub-jgrAesMEDISOc11R1L	ses-2	f	21	2017-08-23	91	mediso
sub-jgrAesMEDISOc11R	ses-2	f	21.4	2017-08-23	90	mediso
sub-jgrAesMEDISOc12R	ses-2	f	19.4	2017-08-23	90	mediso
sub-jgrAesMEDISOc11L	ses-2	f	19.8	2017-08-24	90	mediso
sub-jgrAesMEDISOc1NT	ses-2	f	22.1	2017-08-24	90	mediso
sub-jgrAesAWc21R	ses-1	f	21.2	2017-08-28	280	awake
sub-jgrAesAWc21R1L	ses-1	f	22	2017-08-28	200	awake
sub-jgrAesAWc22R	ses-1	f	22.9	2017-08-28	180	awake
sub-jgrAesAWc21L	ses-1	f	21.4	2017-08-28	190	awake
sub-jgrAesISOc2NT	ses-1	f	23.7	2017-08-30	160	iso
sub-jgrAesISOc21R	ses-1	f	22.9	2017-08-30	160	iso
sub-jgrAesISOc21L	ses-1	f	22.5	2017-08-30	180	iso
sub-jgrAesISOc22R	ses-1	f	23.4	2017-08-30	170	iso
sub-jgrAesISOc21R1L	ses-1	f	23	2017-08-30	170	iso
sub-jgrAesMEDISOc2NT	ses-1	f	n/a	2017-08-31	90	mediso
sub-jgrAesMEDISOc21R	ses-1	f	22.4	2017-08-31	90	mediso
sub-jgrAesMEDISOc21L	ses-1	f	25.3	2017-08-31	90	mediso
sub-jgrAesMEDISOc22r	ses-1	f	23.1	2017-08-31	90	mediso
sub-jgrAesMEDISOc21R1L	ses-1	f	23.1	2017-08-31	90	mediso
sub-jgrAesAWc21R	ses-2	f	22.7	2017-09-07	180	awake
sub-jgrAesAWc21R1L	ses-2	f	22.8	2017-09-07	200	awake
sub-jgrAesAWc21L	ses-2	f	21.9	2017-09-07	200	awake
sub-jgrAesAWc22R	ses-2	f	23.5	2017-09-07	200	awake
sub-jgrAesISOc21L	ses-2	f	24.6	2017-09-12	140	iso
sub-jgrAesISOc21R1L	ses-2	f	24.6	2017-09-12	190	iso
sub-jgrAesISOc21R	ses-2	f	23.5	2017-09-12	200	iso
sub-jgrAesISOc2NT	ses-2	f	24	2017-09-12	220	iso
sub-jgrAesISOc22R	ses-2	f	24.7	2017-09-12	190	iso
sub-jgrAesMEDISOc22r	ses-2	f	23	2017-09-13	90	mediso
sub-jgrAesMEDISOc2NT	ses-2	f	23.6	2017-09-13	90	mediso
sub-jgrAesMEDISOc21R	ses-2	f	22.4	2017-09-13	90	mediso
sub-jgrAesMEDISOc21L	ses-2	f	25	2017-09-13	90	mediso
sub-jgrAesMEDISOc21R1L	ses-2	f	24.3	2017-09-13	90	mediso
