participant_id	gender	condition	weight
001	m	veh	24.8
002	m	psi1	25.4
003	m	psi1	26.9
004	m	psi1	24.2
005	m	psi1	27.6
006	m	veh	25.5
007	m	psi1	25.1
008	m	psi1	23.7
009	m	veh	26.3
010	m	psi1	25.3
011	m	veh	23.6
012	m	psi2	27.8
013	m	psi2	26.5
014	m	veh	25.7
015	m	psi2	23.4
016	m	veh	23.9
017	m	psi2	27.4
018	m	psi2	25.6
019	m	veh	25.9
020	m	psi2	22.8
021	m	psi2	25.3
022	m	veh	24.6
023	m	psi1	24.4
024	m	psi2	26
025	m	veh	24.7
026	m	psi1	24
027	m	psi2	24.7
028	m	veh	25
029	m	psi1	25
030	m	psi2	24.1
031	m	veh	23.9
032	m	psi1	24.3
033	m	psi2	24.1
034	m	veh	25
035	m	psi1	24.7
036	m	psi2	26.6
037	m	veh	25.3
038	m	psi1	23.4
039	m	veh	27.1
040	m	veh	24.2
