participant_id	session	sex	genotype	Weight	SpO2	HR	Temperature	DOB	Experiment_Date	Age
c1NT	1	M	3xTG	32.3	98	272	35.8	2016-11-22	2017-03-23	3
c1NT	2	M	3xTG	36.2	94	311	35.8	2016-11-22	2017-05-31	6
c2NT	1	M	3xTG	24.8	98	257	36.9	2016-11-29	2017-03-23	3
c2NT	2	M	3xTG	30.6	99	450	35.8	2016-11-29	2017-05-31	6
c2R1	1	M	3xTG	25	97	360	36.1	2016-11-29	2017-03-23	3
c4NT	1	M	C57BL/6	31.5	99	250	36	2016-12-10	2017-03-29	3
c4NT	2	M	C57BL/6	35	96	208	34.8	2016-12-10	2017-06-19	6
c5NT	1	M	C57BL/6	30.1	99	427	35.2	2016-12-10	2017-03-29	3
c5NT	2	M	C57BL/6	31.9	93	223	34.6	2016-12-03	2017-06-05	6
c6NT	1	M	3xTG	26.2	99	330	36.3	2016-12-19	2017-03-30	3
c6NT	2	M	3xTG	30.2	90	250	36	2016-12-19	2017-06-20	6
c7NT	1	M	C57BL/6	28.7	36	350	35	2016-12-10	2017-04-06	3
c7NT	2	M	C57BL/6	28.3	80	266	35.8	2016-12-10	2017-06-19	6
c8NT	1	M	3xTG	25	97	379	36.3	2017-01-20	2017-04-25	3
c8NT	2	M	3xTG	25	97	379	36.3	2017-01-20	2017-04-25	6
c9NT	1	M	3xTG	23.7	99	457	35	2017-01-20	2017-04-25	3
c11L	1	M	3xTG	30.3	97	370	36.6	2016-11-22	2017-03-23	3
c11L	2	M	3xTG	34.7	97	270	35.4	2016-11-22	2017-05-31	6
c21L	1	M	3xTG	24.2	93	254	36.1	2016-11-29	2017-03-23	3
c31L	1	M	3xTG	29.6	93	331	36.1	2016-12-17	2017-03-24	3
c31R	1	M	3xTG	28.2	99	350	35.8	2016-12-17	2017-03-24	3
c31R	2	M	3xTG	32.3	88	380	35.2	2016-12-17	2017-06-20	6
c32L	1	M	3xTG	27.4	96	306	35.8	2016-12-17	2017-03-30	3
c32L	2	M	3xTG	32	82	240	35.8	2016-12-17	2017-06-20	6
c32R	1	M	3xTG	28	94	253	35.8	2016-12-17	2017-03-30	3
c32R	2	M	3xTG	34	89	254	35.8	2016-12-17	2017-06-20	6
c41L	1	M	C57BL/6	30.2	99	300	35.8	2016-12-10	2017-03-29	3
c41L	2	M	C57BL/6	32	95	248	35.4	2016-12-10	2017-06-19	6
c41R	1	M	C57BL/6	26.3	99	280	36	2016-12-10	2017-03-29	3
c41R	2	M	C57BL/6	27.2	98	276	36.6	2016-12-10	2017-06-19	6
c42L	1	M	C57BL/6	30.6	99	250	35	2016-12-10	2017-03-29	3
c42L	2	M	C57BL/6	36	99	269	35	2016-12-10	2017-06-19	6
c42R	1	M	C57BL/6	25.7	99	250	36	2016-12-10	2017-03-29	3
c42R	2	M	C57BL/6	29	96	180	34.5	2016-12-10	2017-06-19	6
c51L	1	M	C57BL/6	30.5	99	250	36.6	2016-12-10	2017-03-29	3
c51L	2	M	C57BL/6	31.6	99	211	34.8	2016-12-03	2017-06-05	6
c61L	1	M	3xTG	27	99	340	36.6	2016-12-19	2017-03-30	3
c61L	2	M	3xTG	31	89	184	36.3	2016-12-19	2017-06-20	6
c61R	1	M	3xTG	26	96	326	36.3	2016-12-19	2017-03-30	3
c61R	2	M	3xTG	30	92	238	36.3	2016-12-19	2017-06-20	6
c62L	1	M	3xTG	25.8	99	335	35.4	2016-12-19	2017-03-30	3
c71L	1	M	C57BL/6	30.1	98	298	35.5	2016-12-10	2017-04-06	3
c71L	2	M	C57BL/6	36.5	97	233	35	2016-12-10	2017-06-19	6
c71R	1	M	C57BL/6	31.4	95	416	35.8	2016-12-10	2017-04-06	3
c71R	2	M	C57BL/6	31.6	99	169	34.8	2016-12-10	2017-06-19	6
c81L	1	M	3xTG	30.1	99	336	35.2	2017-01-20	2017-04-25	3
c81L	2	M	3xTG	30.1	99	336	35.2	2017-01-20	2017-04-25	6
c81R	1	M	3xTG	27.9	89	340	35.4	2017-01-20	2017-04-25	3
c81R	2	M	3xTG	27.9	89	340	35.4	2017-01-20	2017-04-25	6
c91L	1	M	3xTG	25.3	95	613	37	2017-01-20	2017-04-25	3
c91L	2	M	3xTG	25.3	95	613	37	2017-01-20	2017-04-25	6
c91R	1	M	3xTG	26	95	266	35.2	2017-01-20	2017-04-25	3
c3NT2	1	M	3xTG_hydrocephalus	25	98	260	36.3	2016-12-17	2017-03-30	3
