participant_id	date	protocol	weight	duration	efs_runs	rs_runs
sub-01	20.02.2017	1	290	306	13	12
sub-02	22.02.2017	1	300	322	13	14
sub-03	23.02.2017	1	300	360	16	15
sub-04	24.02.2017	1	300	360	16	15
sub-05	27.02.2017	1	360	360	15	14
sub-06	28.02.2017	1	323	253	11	10
sub-07	23.08.2017	3	350	168	4	4
sub-08	25.08.2017	3	540	160	4	3
sub-09	28.08.2017	3	430	326	13	13
sub-10	29.08.2017	3	350	360	15	15
sub-11	31.08.2017	3	360	360	14	14
sub-12	01.09.2017	3	360	301	12	13
sub-13	18.01.2018	2	420	77	2	2
sub-14	19.01.2018	2	310	360	16	17
sub-15	22.01.2018	2	330	169	6	7
sub-16	24.01.2018	2	360	217	9	10
sub-17	25.01.2018	2	305	360	16	16
sub-18	12.03.2018	2	370	360	14	14
sub-19	20.04.2018	4	315	360	16	16
sub-20	26.04.2018	4	270	272	6	17
sub-21	27.04.2018	4	305	230	10	10
sub-22	30.04.2018	4	255	360	17	17
sub-23	07.05.2018	4	310	360	17	17
sub-24	08.05.2018	4	287	203	8	10
