participant_id	session	gender	condition	weight	Experiment_Date
1	1	m	veh	29.3	2015-10-14
1	2	m	psi05	29.3	2015-10-14
2	1	m	veh	33.4	2015-10-14
2	2	m	psi05	33.4	2015-10-14
3	1	m	veh	29.4	2015-10-14
3	2	m	psi05	29.4	2015-10-14
4	1	m	veh	32.1	2015-10-14
4	2	m	psi05	32.1	2015-10-14
6	1	m	veh	31.9	2015-10-14
6	2	m	psi05	31.9	2015-10-14
7	1	m	veh	28.7	2015-10-15
7	2	m	psi05	28.7	2015-10-15
8	1	m	veh	29.5	2015-10-15
8	2	m	psi05	29.5	2015-10-15
9	1	m	veh	28.8	2015-10-15
9	2	m	psi05	28.8	2015-10-15
10	1	m	veh	29.9	2015-10-14
10	2	m	psi05	29.9	2015-10-14
11	1	m	veh	24.8	2015-10-14
11	2	m	psi05	24.8	2015-10-14
12	1	m	veh	28.5	2015-10-14
12	2	m	psi05	28.5	2015-10-14
13	1	m	veh	29.7	2015-10-15
13	2	m	psi05	29.7	2015-10-15
14	1	m	veh	26.7	2015-10-15
14	2	m	psi05	26.7	2015-10-15
15	1	m	veh	30.8	2015-10-15
15	2	m	psi05	30.8	2015-10-15
16	1	m	veh	29.9	2015-10-16
16	2	m	psi05	29.9	2015-10-16
17	1	m	veh	27.8	2015-10-16
17	2	m	psi05	27.8	2015-10-16
18	1	m	veh	29.6	2015-10-16
18	2	m	psi05	29.6	2015-10-16
19	1	m	veh	27.4	2015-10-16
19	2	m	psi05	27.4	2015-10-16
20	1	m	veh	32.6	2015-10-16
20	2	m	psi05	32.6	2015-10-16
21	1	m	veh	30.3	2015-10-15
21	2	m	psi05	30.3	2015-10-15
22	1	m	veh	28	2015-10-15
22	2	m	psi05	28	2015-10-15
23	1	m	veh	26.4	2015-10-16
23	2	m	psi05	26.4	2015-10-16
24	1	m	veh	29.7	2015-10-16
24	2	m	psi05	29.7	2015-10-16
25	1	m	veh	25.6	2015-10-14
25	2	m	psi05	25.6	2015-10-14
