participant_id	DOB 	rs-fMRI 1	rs-fMRI 2	rs-fMRI 3	rs-fMRI 4	rs-fMRI 5	rs-fMRI 6	rs-fMRI 7	excluded_rs-fMRI_sessions	dMRI
Ey112	20160126	20160415	20160417	20160418	20160419	20160421	20160424	20160425	x	20160426
Ey113	20160126	20160415	20160417	20160418	20160419	20160421	20160424	20160425	x	20160426
Ey114	20160126	20160415	20160417	20160418	20160419	20160421	20160424	20160425	x	20160428
Ey117	20160126	20160430	20160501	20160502	20160504	20160508	20160510	x	20160503	20160511
Ey119	20160126	20160430	20160501	20160502	20160504	20160508	20160510	x	20160503	20160511
Ey142	20160307	20160811	20160816	20160817	20160818	20160821	20160822	x	20160815	20180830
Ey143	20160307	20160811	20180815	20160816	20160817	20160818	20160821	20160823	x	20180830
Ey144	20160307	20160811	20160816	20160817	20160818	x	x	x	20160821, 20160822, 20160823	20180830
Ey145	20160307	20160811	20160816	20160817	20160818	20160821	20160822	20160823	x	20180831
Ey146	20160307	20160811	20160816	20160818	20160822	20160823	20160824	x	20160821	20160901
Ey153	20160608	20160926	20160927	20160928	20160929	20160930	20161003	x	20161001	20161003
Ey154	20160608	20160926	20160927	20160928	20160929	20160930	20161001	20161003	x	20161003
Ey155	20160608	20160926	20160927	20160928	20161001	20161003	x	x	20160929, 20160930	20161003
Ey156	20160626	20161015	20161017	20161019	20161020	20161022	20161024	20161025	x	20161027
Ey157	20160626	20161015	20161019	20161020	20161022	20161024	20161025	x	20161017	20161028
Ey158	20160626	20161016	20161018	20161020	20161021	20161023	20161025	20161026	x	20161028
Ey159	20160626	20161016	20161018	20161020	20161021	20161023	20161025	20161026	x	20161028
Ey160	20160626	20161016	20161018	20161019	20161021	20161022	20161024	x	20161026	20161028
Ey161	20160626	20161015	20161017	20161019	20161022	20161024	20161026	x	20161021	20161028
