participant_id	ses	age	sex
sub-10195	1	22.12	M
sub-10195	2	23.56	M
sub-10195	3	25.13	M
sub-10843	1	16.15	F
sub-10843	2	17.72	F
sub-10843	3	19.71	F
sub-10880	1	15.7	M
sub-10880	2	17.26	M
sub-10985	1	16.97	M
sub-10990	1	19.39	M
sub-10997	1	18.13	F
sub-10997	2	19.63	F
sub-10997	3	21.38	F
sub-11048	1	17	F
sub-11048	2	18.55	F
sub-11048	3	20.08	F
sub-11228	1	22.92	M
sub-11228	2	24.39	M
sub-11228	3	26.1	M
sub-11248	1	25.16	F
sub-11248	2	26.64	F
sub-11248	3	28.23	F
sub-11270	1	23.93	M
sub-11272	1	28.48	F
sub-11275	1	29.34	M
sub-11275	2	30.84	M
sub-11275	3	32.66	M
sub-11289	1	28.36	M
sub-11289	2	29.84	M
sub-11289	3	31.29	M
sub-11299	1	21.96	M
sub-11299	2	23.86	M
sub-11299	2	24.07	M
sub-11314	1	17.27	M
sub-11338	1	16.32	M
sub-11338	2	17.91	M
sub-11346	1	16.57	M
sub-11346	2	18.71	M
sub-11346	3	20.33	M
sub-11370	1	15.57	F
sub-11389	1	15.15	F
sub-11389	2	16.62	F
sub-11393	1	23.2	M
sub-11393	2	24.64	M
sub-11393	3	26.27	M
sub-11394	1	24.07	F
sub-11394	2	25.63	F
sub-11394	3	27.32	F
sub-11395	1	14.78	M
sub-11395	2	16.41	M
sub-11403	1	20.84	M
sub-11403	2	22.29	M
sub-11405	1	21.22	M
sub-11405	2	22.75	M
sub-11409	1	27.24	F
sub-11409	2	28.85	F
sub-11409	3	30.59	F
sub-11411	1	26.48	F
sub-11411	2	28.07	F
sub-11411	3	29.85	F
sub-11414	1	14.86	M
sub-11414	2	16.43	M
sub-11415	1	23.73	F
sub-11415	2	25.18	F
sub-11419	1	20.88	F
sub-11419	2	22.36	F
sub-11419	3	24.01	F
sub-11421	1	25.32	M
sub-11421	2	26.8	M
sub-11421	3	28.27	M
sub-11425	1	16.53	F
sub-11425	2	18.31	F
sub-11425	3	19.93	F
sub-11426	1	24.77	M
sub-11426	2	26.25	M
sub-11426	3	28.03	M
sub-11429	1	27.15	F
sub-11429	2	28.7	F
sub-11431	1	24.85	M
sub-11431	2	26.31	M
sub-11431	3	28.16	M
sub-11434	1	25.97	M
sub-11439	1	19.12	F
sub-11441	1	24.27	F
sub-11441	2	25.75	F
sub-11441	3	27.5	F
sub-11443	1	24.99	M
sub-11443	2	26.56	M
sub-11443	3	28.82	M
sub-11444	1	24.57	M
sub-11444	2	26.11	M
sub-11444	3	27.83	M
sub-11445	1	21.66	M
sub-11445	1	21.66	M
sub-11445	2	23.23	M
sub-11445	3	24.76	M
sub-11445	3	24.82	M
sub-11447	1	22.3	F
sub-11447	2	23.81	F
sub-11447	3	25.44	F
sub-11448	1	27.91	F
sub-11448	2	29.39	F
sub-11449	1	28.59	M
sub-11449	2	30.16	M
sub-11449	3	31.89	M
sub-11451	1	27.42	M
sub-11451	2	28.92	M
sub-11452	1	21.74	M
sub-11452	2	23.49	M
sub-11452	3	25.02	M
sub-11453	1	19.46	F
sub-11453	1	19.54	F
sub-11453	2	21.3	F
sub-11453	3	23.31	F
sub-11455	1	30.4	F
sub-11455	1	30.41	F
sub-11455	2	31.84	F
sub-11455	3	33.35	F
sub-11457	1	21.19	F
sub-11457	2	22.69	F
sub-11457	3	24.34	F
sub-11458	1	23.78	F
sub-11458	2	25.45	F
sub-11458	3	27.06	F
sub-11459	1	26.46	M
sub-11460	1	25.08	M
sub-11460	2	26.55	M
sub-11460	3	28.77	M
sub-11461	1	27.06	M
sub-11461	2	28.57	M
sub-11461	3	29.51	M
sub-11461	3	30.2	M
sub-11463	1	22.32	F
sub-11463	2	23.8	F
sub-11463	3	25.41	F
sub-11465	1	25.45	M
sub-11465	2	27.04	M
sub-11465	3	28.75	M
sub-11469	1	15.41	F
sub-11469	2	16.92	F
sub-11470	1	14.53	F
sub-11471	1	13.34	M
sub-11472	1	20.64	F
sub-11472	2	22.1	F
sub-11474	1	12.59	M
sub-11474	2	16.44	M
sub-11475	1	20.42	F
sub-11475	2	21.84	F
sub-11475	3	23.66	F
sub-11475	3	23.81	F
sub-11480	1	20.09	M
sub-11480	2	21.55	M
sub-11480	n/a	n/a	M
sub-11481	1	29.31	M
sub-11481	2	30.77	M
sub-11481	3	32.34	M
sub-11482	1	26.49	F
sub-11482	2	28.12	F
sub-11482	3	29.67	F
sub-11484	1	14.25	F
sub-11484	2	16.09	F
sub-11484	3	17.75	F
sub-11486	1	18.9	F
sub-11486	2	20.46	F
sub-11486	3	22.11	F
sub-11487	1	n/a	n/a
sub-11487	2	n/a	n/a
sub-11487	2	n/a	n/a
sub-11487	3	n/a	n/a
sub-11488	1	17.6	M
sub-11488	2	20.86	M
sub-11489	1	17.84	F
sub-11490	1	26.45	M
sub-11492	1	19.56	M
sub-11492	2	21.04	M
sub-11492	3	22.58	M
sub-11495	1	20.53	M
sub-11495	2	21.98	M
sub-11495	3	23.75	M
sub-11496	1	18.58	M
sub-11496	2	20.05	M
sub-11496	3	21.72	M
sub-11497	1	18.76	F
sub-11497	2	20.25	F
sub-11497	2	20.45	F
sub-11498	1	20.61	F
sub-11498	2	23.17	F
sub-11499	1	14.08	F
sub-11499	2	17.66	F
sub-11501	1	24.72	F
sub-11502	1	19.07	M
sub-11502	2	20.78	M
sub-11502	3	22.28	M
sub-11503	1	17.54	F
sub-11504	1	19.34	F
sub-11504	2	20.8	F
sub-11504	3	22.49	F
sub-11506	1	19.08	F
sub-11506	2	20.58	F
sub-11507	1	20.03	F
sub-11507	2	21.68	F
sub-11508	1	18.87	F
sub-11508	1	18.87	F
sub-11508	2	20.46	F
sub-11508	3	21.96	F
sub-11509	1	15.7	F
sub-11509	2	17.26	F
sub-11510	1	14.47	F
sub-11512	1	19.56	M
sub-11512	2	21.06	M
sub-11512	3	22.67	M
sub-11513	1	18.66	M
sub-11513	2	20.16	M
sub-11513	3	21.79	M
sub-11514	1	12.74	M
sub-11514	2	14.24	M
sub-11515	1	13	F
sub-11515	2	14.59	F
sub-11515	n/a	n/a	F
sub-11515	n/a	16.26	F
sub-11516	1	23.23	F
sub-11516	2	24.77	F
sub-11517	1	21.57	U
sub-11518	1	15.43	F
sub-11518	2	17.07	F
sub-11518	3	18.65	F
sub-11519	1	17.78	F
sub-11520	1	22.85	M
sub-11521	1	17.27	F
sub-11522	1	16.59	M
sub-11522	2	18.4	M
sub-11522	3	19.98	M
sub-11524	1	22.48	F
sub-11526	1	19.5	M
sub-11529	1	28.33	F
sub-11529	2	29.98	F
sub-11529	3	31.44	F
sub-11531	1	30.97	F
sub-11531	2	32.64	F
sub-11533	1	18.72	M
sub-11535	1	18.78	M
sub-11535	2	20.25	M
sub-11535	3	21.88	M
sub-11536	1	14.94	F
sub-11536	2	16.55	F
sub-11537	1	25.16	F
sub-11537	2	26.62	F
sub-11537	3	28.4	F
sub-11538	1	21.58	F
sub-11541	1	15.87	M
sub-11541	2	17.43	M
sub-11542	1	25.36	F
sub-11542	2	26.83	F
sub-11542	3	28.63	F
sub-11543	1	13.93	M
sub-11543	2	16.06	M
sub-11544	1	16.56	F
sub-11546	1	13.96	F
sub-11547	1	19.78	M
sub-11547	2	21.27	M
sub-11547	3	22.8	M
sub-11549	1	17.07	M
sub-11550	1	30.26	M
sub-11550	2	31.75	M
sub-11551	1	19.56	U
sub-11551	2	21.14	U
sub-11551	3	22.69	U
sub-11554	1	13.5	M
sub-11554	2	15.2	M
sub-11555	1	12.19	U
sub-11557	1	17.22	M
sub-11557	2	18.9	M
sub-11558	1	13.93	M
sub-11558	2	15.69	M
sub-11558	3	17.22	M
sub-11560	1	15.73	M
sub-11561	1	14.89	M
sub-11561	2	16.44	M
sub-11561	3	18.01	M
sub-11562	1	16.88	M
sub-11564	1	12.99	F
sub-11565	1	13.45	M
sub-11565	2	14.95	M
sub-11565	3	16.41	M
sub-11568	1	16.59	F
sub-11568	2	18.12	F
sub-11568	3	19.55	F
sub-11570	1	18.55	F
sub-11570	2	20.39	F
sub-11571	1	18.11	F
sub-11571	2	20.24	F
sub-11573	1	23.86	F
sub-11573	2	25.36	F
sub-11574	1	12.79	M
sub-11575	1	12.11	M
sub-11575	2	13.61	M
sub-11575	3	15.07	M
sub-11576	1	29.48	F
sub-11576	2	30.9	F
sub-11577	1	14.46	M
sub-11577	2	16.03	M
sub-11579	1	12.1	F
sub-11579	2	13.54	F
sub-11581	1	15.21	M
sub-11581	2	16.67	M
sub-11581	3	18.13	M
sub-11582	1	12.47	F
sub-11589	1	30.23	M
sub-11589	2	31.76	M
sub-11589	2	31.82	M
sub-11592	1	13.69	F
sub-11592	2	15.22	F
sub-11595	1	12.58	F
sub-11595	2	14.09	F
sub-11599	1	13.29	F
sub-11599	2	14.73	F
sub-11600	1	13.65	F
sub-11603	1	12.04	F
sub-11605	1	14.25	M
sub-11605	2	15.94	M
sub-11609	1	16.64	F
sub-11611	1	15.03	M
sub-11616	1	13.17	F
sub-11636	1	14.35	M
sub-11637	1	15.7	F
sub-11639	1	14.5	F
sub-11641	1	16.36	F
sub-11643	1	17.47	F
sub-11643	2	18.91	F
sub-11644	1	14.87	M
sub-11651	1	14.2	M
sub-11660	1	14.12	F
sub-11671	1	16.84	F
