participant_id	analysis_id	handedness
sub-01	2	Right	
sub-02	3	Right
sub-03	4	Right
sub-04	5	Right
sub-05	6	Right
sub-06	7	Right
sub-07	8	Right
sub-08	9	Right
sub-09	10	Right
sub-10	11	Right
sub-11	12	Right
sub-12	13	Right
sub-13	14	Right
sub-14	15	Right
sub-15	16	Right
sub-16	17	Right
sub-17	18	Right
sub-18	19	Right
sub-19	20	Right
sub-20	21	Right
sub-21	22	Right
sub-22	23	Right
sub-23	24	Right
sub-24	25	Right
sub-25	26	Right
sub-26	27	Right
sub-27	28	Right
sub-28	29	Right
sub-29	30	Right
sub-30	31	Right

