participant_id	sex	age	date_of_scan	institution_id	manufacturer	manufacturers_model_name
sub-chiba750	m	39	-	chiba750	GE	MR750
sub-chibaIngenia	m	39	-	chibaIngenia	Philips	Ingenia
sub-douglas	m	39	-	douglas	Siemens	Trio
sub-glen	m	39	-	glen	Philips	Ingenia
sub-juntendo750w	m	39	-	juntendo750w	GE	MR750w
sub-juntendoAchieva	m	39	-	juntendoAchieva	Philips	Achieva
sub-juntendoPrisma	m	39	-	juntendoPrisma	Siemens	Prisma
sub-juntendoSkyra	m	39	-	juntendoSkyra	Siemens	Skyra
sub-mgh	m	39	-	mgh	Siemens	Trio
sub-oxfordFmrib	m	39	-	oxfordFmrib	Siemens	Prisma
sub-perform	m	39	-	perform	GE	MR750
sub-poly	m	39	-	poly	Siemens	Skyra
sub-tokyo750w	m	39	-	tokyo750w	GE	MR750w
sub-tokyoIngenia	m	39	-	tokyo	Philips	Ingenia
sub-tokyoSigna1	m	39	-	tokyoSigna1	GE	Signa
sub-tokyoSigna2	m	39	-	tokyoSigna2	GE	Signa
sub-tokyoSkyra	m	39	-	tokyoSkyra	Siemens	Skyra
sub-ucl	m	39	-	ucl	Philips	Achieva
sub-unf	m	39	-	unf	Siemens	Prisma
