participant_id	session	genotype	virus	Experiment_Date	sex	weight	delta_preference
sub-jgroptoINS501	2	C57BL/6	ChR2-mCherry	2018-09-11	M	32	n/a
sub-jgroptoINS503	2	C57BL/6	ChR2-mCherry	2018-07-25	M	n/a	0.11
sub-jgroptoINS506	1	C57BL/6	ChR2-mCherry	2018-07-23	M	n/a	0.35
sub-jgroptoINS515	1	C57BL/6	mCherry	2018-10-22	F	n/a	0.08
sub-jgroptoINS516	1	C57BL/6	mCherry	2018-10-27	F	22.3	-0.01
sub-jgroptoINS517	1	C57BL/6	mCherry	2018-10-27	F	24.8	0.07
sub-jgroptoINS518	2	C57BL/6	mCherry	2018-10-27	F	22.3	-0.17
sub-jgroptoINS522	2	C57BL/6	ChR2-mCherry	2018-12-03	F	25.6	n/a
sub-jgroptoINS526	2	C57BL/6	ChR2-mCherry	2018-12-03	M	31.3	-0.08770099
sub-jgroptoINS541	1	C57BL/6	mCherry	2019-01-10	M	25	0.065748043
sub-jgroptoINS542	1	C57BL/6	mCherry	2019-01-10	M	27.6	0.038870181
sub-jgroptoINS543	1	C57BL/6	mCherry	2019-01-10	M	26	0.091811683
sub-jgroptoINS544	1	C57BL/6	mCherry	2019-01-10	M	28	0.058670925
sub-jgroptoINS550	3	C57BL/6	ChR2-mCherry	2019-02-26	F	22.1	-0.058387432
sub-jgroptoINS551	1	C57BL/6	ChR2-mCherry	2019-02-26	F	23.6	0.425064878
sub-jgroptoINS554	1	C57BL/6	ChR2-mCherry	2019-02-26	F	23.5	0.05322501
sub-jgroptoINS546	1	C57BL/6	ChR2-mCherry	2019-02-26	M	29	0.151960208
sub-jgroptoINS548	1	C57BL/6	ChR2-mCherry	2019-02-26	M	27.8	n/a
