participant_id	Genotype	Sex	Weight (fcMRI Day 1)
			
sub-AL011	WT	M	26.6
sub-AL020	WT	M	26.1
sub-AL022	WT	M	28.6
sub-AL024	WT	M	29.2
sub-AL026	WT	M	28.5
sub-AL027	WT	M	27
sub-AL030	WT	M	28.8
sub-AL032	WT	M	26.5
sub-AL033	WT	M	28.2
sub-AL034	WT	M	24.3
sub-AL035	WT	M	29.7
sub-AL038	WT	M	28.7
sub-AL039	WT	M	26.5
sub-AL012	IQSEC2	M	27.2
sub-AL013	IQSEC2	M	26.8
sub-AL014	IQSEC2	M	26.4
sub-AL015	IQSEC2	M	27.5
sub-AL021	IQSEC2	M	31.2
sub-AL023	IQSEC2	M	25.5
sub-AL025	IQSEC2	M	29.8
sub-AL028	IQSEC2	M	29.2
sub-AL029	IQSEC2	M	28.7
sub-AL031	IQSEC2	M	26.5
sub-AL036	IQSEC2	M	27.6
sub-AL037	IQSEC2	M	27.6
sub-AL040	IQSEC2	M	28

