participant_id	age	gender
sub-01	27	M
sub-02	21	F
sub-03	21	F
sub-04	25	M
sub-05	23	F
sub-06	23	M
sub-07	25	M
sub-08	23	M
sub-09	23	F
sub-10	23	F
sub-11	29	F
sub-12	24	M
sub-13	22	F
sub-14	22	M
sub-15	24	F
sub-16	24	F
sub-17	24	F
sub-18	23	F
sub-19	28	F
sub-20	24	M
sub-21	22	F
sub-22	20	M
sub-23	22	F
sub-24	26	M
sub-25	23	F
sub-26	31	M
sub-27	23	F
sub-28	25	M
sub-29	23	M
sub-30	26	F
sub-31	25	M
sub-32	22	F
sub-33	23	F
sub-34	24	M
sub-35	25	M
sub-36	34	F
sub-37	21	F
sub-38	29	F
sub-39	23	F
sub-40	24	M
