participant_id	age	sex	tsa_rt	tsw_rt	rs_rt	tsa_error	tsw_error	rs_error
01	21	F	470.85	519.63	472.42	0	5	5
02	24	M	332.79	347.95	335.41	5	5	15
03	23	F	332.42	315.65	336.75	5	15	20
04	22	F	376.15	398.17	371.75	0	10	0
05	21	F	634	716.12	679.83	10	15	10
06	20	F	397.6	431.22	438.89	0	10	5
07	22	F	577.13	671	605.94	20	10	10
08	19	F	517.11	654.17	561.39	5	40	10
09	22	M	703.05	804.13	848.17	5	20	10
10	26	M	574.85	555.42	557.55	0	5	0
11	22	F	562.61	661.15	683.85	10	0	0
12	24	F	553.95	531.61	553.6	0	10	0
13	22	F	556.38	612.06	651.06	20	15	10
14	20	M	654.26	754.72	629.42	5	10	5
15	22	M	533.75	569.74	531.55	0	5	0
16	24	M	498.75	530.37	537.2	0	5	0
17	25	M	530.53	555.84	603	5	5	0
18	25	F	383.37	491.93	385.8	5	25	0
19	23	M	459.65	426.11	383.68	0	5	5
20	25	F	509.7	412.95	431.37	0	5	5
21	24	M	487.4	508.95	443.35	0	0	0
22	19	F	531.18	544.85	429.16	15	35	5
23	22	F	425.4	459.54	463.32	0	35	5
24	22	F	434.79	447.63	425.37	5	20	5
25	26	F	433	472.13	425.05	0	20	0
