participant_id	age	sex	handedness	musical_experience
sub-s01	27	M	90.00	12.00
sub-s02	22	F	75.00	15.00
sub-s03	22	F	70.00	12.00
sub-s04	29	F	70.00	5.00
sub-s05	20	F	85.00	9.00
sub-s06	23	F	70.00	1.00
sub-s07	21	F	90.00	0.00
sub-s08	20	F	80.00	5.00
sub-s09	20	F	100.00	4.00
sub-s10	26	F	85.00	12.00
sub-s12	29	M	80.00	4.00
sub-s13	21	F	85.00	12.00
sub-s14	20	M	85.00	5.00
sub-s15	30	M	95.00	0.00
sub-s16	30	M	85.00	7.00
sub-s17	20	F	65.00	10.00
sub-s18	20	M	75.00	0.00
sub-s19	27	F	95.00	5.00
sub-s20	20	M	75.00	8.00
sub-s21	20	M	80.00	6.00
sub-s22	31	M	100.00	7.00
sub-s23	21	F	90.00	5.00
