participant_id	age	sex	hand	scanning_date1	scanning_date2
sub-101	22	F	18	2019-12-09	2019-12-16
sub-102	25	F	14	2019-12-09	2019-12-16
sub-103	21	F	14	2019-12-09	2019-12-16
sub-104	21	M	20	2019-12-09	2019-12-16
sub-105	22	M	20	2019-12-26	2019-12-27
sub-106	26	F	18	2019-12-26	2019-12-27
sub-107	26	F	12	2019-12-26	2019-12-27
sub-108	24	F	20	2019-12-26	2019-12-27
sub-110	30	F	18	2020-01-07	2020-01-09
sub-111	20	F	12	2020-01-07	2020-01-09
sub-113	26	M	20	2020-01-13	2020-01-15
sub-115	20	F	18	2020-01-16	2020-01-17
sub-116	22	M	20	2020-01-16	2020-01-17
sub-118	25	F	8	2020-01-16	2020-01-17
sub-120	29	M	20	2020-01-16	2020-01-17
sub-121	22	F	20	2020-01-16	2020-01-17
sub-122	26	F	20	2020-01-16	2020-01-17
sub-124	25	M	16	2020-09-14	2020-09-15
sub-125	19	F	16	2020-09-14	2020-09-15
sub-129	23	F	18	2020-09-14	2020-09-15
sub-130	24	M	12	2020-09-14	2020-09-15
sub-131	20	F	8	2020-09-14	2020-09-15
sub-132	27	F	10	2020-09-21	2020-09-22
sub-133	23	M	20	2020-09-21	2020-09-22
sub-134	20	F	16	2020-09-21	2020-09-22
sub-135	23	M	10	2020-09-21	2020-09-22
sub-136	22	M	20	2020-10-16	2020-10-19
sub-137	22	F	20	2020-10-16	2020-10-19
sub-138	21	F	20	2020-10-16	2020-10-19
sub-139	27	M	n/a	2020-11-02	2020-11-04
