participant_id	session_id	dataset_id	rat_strain	rat_sex	rat_age	rat_weight	anesthesia_induction	anesthesia_induction_dose	anesthesia_maintenance	anesthesia_maintenance_dose	anesthesia_route	anesthesia_post_induction_time	anesthesia_breathing_assistance	anesthesia_breathing_rate	anesthesia_heart_rate	MRI_vendor	MRI_field_strength	anat_sequence	anat_contrast	anat_TR	anat_TE	func_sequence	func_TR	func_TE	func_FA
sub-0100100	ses-1	1001	Long Evans	Male	n/a	250-300	isoflurane	5	urethane	1250	n/a	60	free-breathing	90	510	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100101	ses-1	1001	Long Evans	Male	n/a	200-250	isoflurane	5	urethane	1250	n/a	60	free-breathing	110	400	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100102	ses-1	1001	Long Evans	Male	n/a	250-300	isoflurane	5	urethane	1250	n/a	60	free-breathing	80	490	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100103	ses-1	1001	Long Evans	Male	n/a	250-300	isoflurane	5	urethane	1250	n/a	60	free-breathing	80	500	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100104	ses-1	1001	Long Evans	Male	n/a	250-300	isoflurane	5	urethane	1250	n/a	60	free-breathing	120	490	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100105	ses-1	1001	Long Evans	Male	n/a	250-300	isoflurane	5	urethane	1250	n/a	60	free-breathing	120	320	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100106	ses-1	1001	Long Evans	Male	n/a	300-350	isoflurane	5	urethane	1250	n/a	60	free-breathing	120	290	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100107	ses-1	1001	Long Evans	Male	n/a	300-350	isoflurane	5	urethane	1250	n/a	60	free-breathing	100	370	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100108	ses-1	1001	Long Evans	Male	n/a	250-300	isoflurane	5	urethane	1250	n/a	60	free-breathing	80	450	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100109	ses-1	1001	Long Evans	Male	n/a	300-350	isoflurane	5	urethane	1250	n/a	60	free-breathing	110	520	Bruker	9.4	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90
sub-0100200	ses-1	1002	Sprague Dawley	Male	2-4	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100200	ses-2	1002	Sprague Dawley	Male	2-4	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100201	ses-1	1002	Sprague Dawley	Male	2-4	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100201	ses-2	1002	Sprague Dawley	Male	2-4	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100202	ses-1	1002	Sprague Dawley	Male	0-2	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100202	ses-2	1002	Sprague Dawley	Male	0-2	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100203	ses-1	1002	Sprague Dawley	Male	0-2	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100203	ses-2	1002	Sprague Dawley	Male	0-2	n/a	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	320	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100204	ses-1	1002	Sprague Dawley	Male	0-2	200-250	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100205	ses-1	1002	Sprague Dawley	Male	0-2	250-300	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100206	ses-1	1002	Sprague Dawley	Male	0-2	200-250	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100207	ses-1	1002	Sprague Dawley	Male	0-2	200-250	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100208	ses-1	1002	Sprague Dawley	Male	0-2	250-300	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100209	ses-1	1002	Sprague Dawley	Male	0-2	250-300	isoflurane	4	isoflurane	2	n/a	50	free-breathing	50	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100300	ses-1	1003	Sprague Dawley	Male	0-2	350-400	isoflurane / medetomidine	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100301	ses-1	1003	Sprague Dawley	Male	0-2	350-400	isoflurane	4 / 0.05	isoflurane / medetomidine	0.25 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100302	ses-1	1003	Sprague Dawley	Male	0-2	350-400	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100303	ses-1	1003	Sprague Dawley	Male	0-2	350-400	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100304	ses-1	1003	Sprague Dawley	Male	0-2	350-400	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100305	ses-1	1003	Sprague Dawley	Male	0-2	400-450	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100306	ses-1	1003	Sprague Dawley	Male	0-2	300-350	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100306	ses-2	1003	Sprague Dawley	Male	2-4	400-450	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100307	ses-1	1003	Sprague Dawley	Male	0-2	350-350	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100307	ses-2	1003	Sprague Dawley	Male	2-4	450-500	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100308	ses-1	1003	Sprague Dawley	Male	0-2	200-250	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100308	ses-2	1003	Sprague Dawley	Male	2-4	300-350	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100309	ses-1	1003	Sprague Dawley	Male	0-2	300-350	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100309	ses-2	1003	Sprague Dawley	Male	2-4	350-400	isoflurane	4 / 0.05	isoflurane / medetomidine	0.5 / 0.15	s.c	50	free-breathing	70	n/a	Bruker	9.4	turboRARE	T2	2.5	0.033	GE-EPI	1.5	0.011	90
sub-0100400	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2	0.045	90
sub-0100401	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T3	2.5	0.04	SE-EPI	2	0.045	90
sub-0100402	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T4	2.5	0.04	SE-EPI	2	0.045	90
sub-0100403	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T5	2.5	0.04	SE-EPI	2	0.045	90
sub-0100404	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T6	2.5	0.04	SE-EPI	2	0.045	90
sub-0100405	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T7	2.5	0.04	SE-EPI	2	0.045	90
