participant_id	exp_group	mouse_strain	mouse_sex	DOB	date_run	weight	mother_glucose
sub-jgrGDM2ConK9M34	Control	C57BL6N	Male	2017.12.05	18/2/2019	28.5	7.4
sub-jgrGDM2ConK9M42	Control	C57BL6N	Male	2017.12.05	18/2/2019	23.8	7.4
sub-jgrGDM2ConK9M51	Control	C57BL6N	Male	2017.12.05	18/2/2019	26.3	7.4
sub-jgrGDM2ConK9M63	Control	C57BL6N	Male	2017.12.05	18/2/2019	25.9	7.4
sub-jgrGDM2ConK6M72	Control	C57BL6N	Male	2017.12.04	18/2/2020	26.6	8.9
sub-jgrGDM2ConK6M81	Control	C57BL6N	Male	2017.12.04	18/2/2020	27.6	8.9
sub-jgrGDM2ConK6M93	Control	C57BL6N	Male	2017.12.04	18/2/2020	28.1	8.9
sub-jgrGDM2ConK7M101	Control	C57BL6N	Male	2017.12.04	18/2/2020	27.5	8.9
sub-jgrGDM2ConK7M112	Control	C57BL6N	Male	2017.12.04	18/2/2020	28.5	8.9
sub-jgrGDM2ConK7M123	Control	C57BL6N	Male	2017.12.04	18/2/2020	27.3	8.9
sub-jgrGDM2GDK2M134	GDM offspring	C57BL6N	Male	2017.12.03	18/2/2020	26.3	9.9
sub-jgrGDM2GDK2M141	GDM offspring	C57BL6N	Male	2017.12.03	18/2/2020	27.3	9.9
sub-jgrGDM2GDK2M152	GDM offspring	C57BL6N	Male	2017.12.03	18/2/2020	27.5	9.9
sub-jgrGDM2GDK2M163	GDM offspring	C57BL6N	Male	2017.12.03	18/2/2020	23.2	9.9
sub-jgrGDM2GDK3M182	GDM offspring	C57BL6N	Male	2017.12.05	18/2/2021	28.7	17.4
sub-jgrGDM2GDK3M193	GDM offspring	C57BL6N	Male	2017.12.05	18/2/2021	27	17.4
sub-jgrGDM2GDK3M201	GDM offspring	C57BL6N	Male	2017.12.05	18/2/2021	27.5	17.4
sub-jgrGDM2ConK8M211	Control 	C57BL6N	Male	2017.12.04	18/2/2021	26.1	7.1
sub-jgrGDM2ConK8M222	Control 	C57BL6N	Male	2017.12.04	18/2/2021	27.1	7.1
sub-jgrGDM2ConK8M233	Control 	C57BL6N	Male	2017.12.04	18/2/2021	28.7	7.1
sub-jgrGDM2ConL8M244	Control 	C57BL6N	Male	2017.12.04	18/2/2021	24.3	7.1
sub-jgrGDM2ConL8M252	Control 	C57BL6N	Male	2017.12.04	18/2/2021	26.9	7.1
sub-jgrGDM2ConL8M263	Control 	C57BL6N	Male	2017.12.04	18/2/2021	29.4	7.1
sub-jgrGDM2ConL8M271	Control 	C57BL6N	Male	2017.12.04	18/2/2021	27.5	7.1
sub-jgrGDM2GDL9M333	GDM offspring	C57BL6N	Male	2017.12.21	18/2/2022	22.9	20.1
sub-jgrGDM2GDL9M341	GDM offspring	C57BL6N	Male	2017.12.21	18/2/2022	24.2	18.8
sub-jgrGDM2GDL9M352	GDM offspring	C57BL6N	Male	2017.12.21	18/2/2022	23.6	18.8
sub-jgrGDM2GDM5Hyphen2M2	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	26.7	19.5
sub-jgrGDM2GDM5Hyphen2M1	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	25.8	19.5
sub-jgrGDM2GDM5Hyphen5M3	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	27.5	13.9
sub-jgrGDM2GDM5Hyphen5M1	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	25.5	13.9
sub-jgrGDM2GDM5Hyphen6M2	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	25.8	16.9
sub-jgrGDM2Cont5Hyphen3M3	Control 	C57BL6N	Male	2017.12.25	18/3/2026	24.7	7.5
sub-jgrGDM2Cont5Hyphen3M2	Control 	C57BL6N	Male	2017.12.25	18/3/2026	26.2	7.5
sub-jgrGDM2Cont5Hyphen3M1	Control 	C57BL6N	Male	2017.12.25	18/3/2026	24.6	7.5
sub-jgrGDM2Cont5Hyphen3M5	Control 	C57BL6N	Male	2017.12.25	18/3/2026	26.1	7.5
sub-jgrGDM2Cont5Hyphen3M4	Control 	C57BL6N	Male	2017.12.25	18/3/2026	23.1	7.5
sub-jgrGDM2GDM5Hyphen9M1	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	26	13.3
sub-jgrGDM2GDM5Hyphen9M3	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	29	13.3
sub-jgrGDM2GDM5Hyphen9M2	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	23.7	13.3
sub-jgrGDM2GDM5Hyphen9M4	GDM offspring	C57BL6N	Male	2017.12.25	18/3/2026	25	13.3
sub-jgrGDM2Cont5Hyphen2M4	Control 	C57BL6N	Male	2017.1.8	18/4/2002	26.2	7.9
sub-jgrGDM2Cont5Hyphen2M3	Control 	C57BL6N	Male	2017.1.8	18/4/2002	26.8	7.9
sub-jgrGDM2Cont5Hyphen2M2	Control 	C57BL6N	Male	2017.1.8	18/4/2002	25.7	7.9
sub-jgrGDM2Cont5Hyphen2M1	Control 	C57BL6N	Male	2017.1.8	18/4/2002	26	7.9
sub-jgrGDM2GDM5Hyphen1M3	GDM offspring	C57BL6N	Male	2018.1.11	18/4/2002	27.5	10.5
sub-jgrGDM2GDM5Hyphen1M2	GDM offspring	C57BL6N	Male	2018.1.11	18/4/2002	26.3	10.5
sub-jgrGDM2GDM5Hyphen1M4	GDM offspring	C57BL6N	Male	2018.1.11	18/4/2002	26.6	10.5
sub-jgrGDM2GDM5Hyphen1M1	GDM offspring	C57BL6N	Male	2018.1.11	18/4/2002	26.1	10.5
