participant_id	species	strain	sex	group
sub-R01	rattus norvegicus	Sprague Dawley	male	veh
sub-R02	rattus norvegicus	Sprague Dawley	male	lps
sub-R03	rattus norvegicus	Sprague Dawley	male	lps-nr
sub-R04	rattus norvegicus	Sprague Dawley	male	veh
sub-R05	rattus norvegicus	Sprague Dawley	male	lps
sub-R06	rattus norvegicus	Sprague Dawley	male	lps-nr
sub-R07	rattus norvegicus	Sprague Dawley	male	veh
sub-R08	rattus norvegicus	Sprague Dawley	male	veh
sub-R09	rattus norvegicus	Sprague Dawley	male	lps
sub-R10	rattus norvegicus	Sprague Dawley	male	lps
sub-R11	rattus norvegicus	Sprague Dawley	male	lps
sub-R12	rattus norvegicus	Sprague Dawley	male	lps
sub-R13	rattus norvegicus	Sprague Dawley	male	veh
sub-R14	rattus norvegicus	Sprague Dawley	male	lps
sub-R15	rattus norvegicus	Sprague Dawley	male	veh
sub-R16	rattus norvegicus	Sprague Dawley	male	veh
sub-R17	rattus norvegicus	Sprague Dawley	male	lps
sub-R18	rattus norvegicus	Sprague Dawley	male	veh
sub-R19	rattus norvegicus	Sprague Dawley	male	veh
sub-R20	rattus norvegicus	Sprague Dawley	male	lps
sub-R21	rattus norvegicus	Sprague Dawley	male	lps
sub-R22	rattus norvegicus	Sprague Dawley	male	lps
sub-R23	rattus norvegicus	Sprague Dawley	male	lps
sub-R24	rattus norvegicus	Sprague Dawley	male	lps-nr
sub-R25	rattus norvegicus	Sprague Dawley	male	lps
sub-R26	rattus norvegicus	Sprague Dawley	male	lps
sub-R27	rattus norvegicus	Sprague Dawley	male	lps
sub-R28	rattus norvegicus	Sprague Dawley	male	veh
sub-R29	rattus norvegicus	Sprague Dawley	male	lps
sub-R30	rattus norvegicus	Sprague Dawley	male	lps-nr
sub-R31	rattus norvegicus	Sprague Dawley	male	veh
sub-R32	rattus norvegicus	Sprague Dawley	male	veh
