participant_id	condition	movie file TRs	recall TRs part 1	recall TRs part 2	recall TRs part 3
sub-01	1	2415	1064	n/a	n/a
sub-02	1	2417	1184	n/a	n/a
sub-03	1	2415	1045	n/a	n/a
sub-04	1	2415	1515	n/a	n/a
sub-06	1	2417	688	n/a	n/a
sub-07	1	2414	1182	n/a	n/a
sub-08	1	2417	124	962	n/a
sub-09	1	2415	1002	n/a	n/a
sub-11	1	2415	1112	n/a	n/a
sub-12	1	2417	1660	n/a	n/a
sub-13	1	2414	1032	n/a	n/a
sub-15	1	2416	1022	n/a	n/a
sub-16	1	2424	1165	n/a	n/a
sub-17	1	2417	927	n/a	n/a
sub-18	1	2418	857	n/a	n/a
sub-19	1	2418	1072	593	n/a
sub-20	1	2418	776	n/a	n/a
sub-21	1	2418	1250	n/a	n/a
sub-22	2	2423	678	n/a	n/a
sub-23	2	2418	1227	n/a	n/a
sub-24	2	2421	1338	n/a	n/a
sub-26	2	2422	979	n/a	n/a
sub-27	2	2423	934	n/a	n/a
sub-28	2	2417	1025	n/a	n/a
sub-29	2	2417	1311	n/a	n/a
sub-30	2	2417	875	n/a	n/a
sub-31	2	2423	1179	n/a	n/a
sub-32	2	2422	792	n/a	n/a
sub-33	2	2418	889	n/a	n/a
sub-34	2	2424	1038	n/a	n/a
sub-35	2	2426	84	1050	n/a
sub-36	2	2424	1408	n/a	n/a
sub-37	2	2424	823	n/a	n/a
sub-38	2	2424	1062	n/a	n/a
sub-39	2	2425	1389	n/a	n/a
sub-40	2	2424	1610	n/a	n/a
sub-41	2	2424	1141	n/a	n/a
sub-43	3	2279	1152	n/a	n/a
sub-44	3	2278	129	1269	n/a
sub-45	3	2276	730	n/a	n/a
sub-46	3	2275	209	717	617
sub-47	3	2278	1039	n/a	n/a
sub-48	3	2276	846	n/a	n/a
sub-49	3	2277	681	n/a	n/a
sub-50	3	2278	833	n/a	n/a
sub-51	3	2276	1737	n/a	n/a
sub-52	3	2276	1450	n/a	n/a
sub-53	3	2277	500	n/a	n/a
sub-54	3	2286	1229	n/a	n/a
sub-55	3	2279	730	n/a	n/a
sub-56	3	2283	1626	n/a	n/a
sub-57	3	2280	1218	n/a	n/a
sub-59	3	2280	533	18	n/a
sub-60	3	2280	941	n/a	n/a
sub-61	3	2280	672	n/a	n/a
sub-62	3	2291	755	n/a	n/a
sub-63	3	2281	1172	n/a	n/a
