participant_id	session_id	data_id	age	handedness	sex
sub-00029	ses-00001	SNS_MRI_MCarpet_S00029_01	n/a	n/a	n/a
sub-00078	ses-00001	SNS_MRI_MCarpet_S00078_01	n/a	n/a	n/a
sub-00068	ses-00001	SNS_MRI_MCarpet_S00068_01	n/a	n/a	n/a
sub-00039	ses-00001	SNS_MRI_MCarpet_S00039_01	n/a	n/a	n/a
sub-00019	ses-00001	SNS_MRI_MCarpet_S00019_01	n/a	n/a	n/a
sub-00048	ses-00001	SNS_MRI_MCarpet_S00048_01	n/a	n/a	n/a
sub-00058	ses-00001	SNS_MRI_MCarpet_S00058_01	n/a	n/a	n/a
sub-00009	ses-00001	SNS_MRI_MCarpet_S00009_01	n/a	n/a	n/a
sub-00018	ses-00001	SNS_MRI_MCarpet_S00018_01	n/a	n/a	n/a
sub-00049	ses-00001	SNS_MRI_MCarpet_S00049_01	n/a	n/a	n/a
sub-00059	ses-00001	SNS_MRI_MCarpet_S00059_01	n/a	n/a	n/a
sub-00008	ses-00001	SNS_MRI_MCarpet_S00008_01	n/a	n/a	n/a
sub-00028	ses-00001	SNS_MRI_MCarpet_S00028_01	n/a	n/a	n/a
sub-00079	ses-00001	SNS_MRI_MCarpet_S00079_01	n/a	n/a	n/a
sub-00069	ses-00001	SNS_MRI_MCarpet_S00069_01	n/a	n/a	n/a
sub-00038	ses-00001	SNS_MRI_MCarpet_S00038_01	n/a	n/a	n/a
sub-00046	ses-00001	SNS_MRI_MCarpet_S00046_01	n/a	n/a	n/a
sub-00017	ses-00001	SNS_MRI_MCarpet_S00017_01	n/a	n/a	n/a
sub-00081	ses-00001	SNS_MRI_MCarpet_S00081_01	n/a	n/a	n/a
sub-00023	ses-00001	SNS_MRI_MCarpet_S00023_01	n/a	n/a	n/a
sub-00072	ses-00001	SNS_MRI_MCarpet_S00072_01	n/a	n/a	n/a
sub-00062	ses-00001	SNS_MRI_MCarpet_S00062_01	n/a	n/a	n/a
sub-00033	ses-00001	SNS_MRI_MCarpet_S00033_01	n/a	n/a	n/a
sub-00091	ses-00001	SNS_MRI_MCarpet_S00091_01	n/a	n/a	n/a
sub-00007	ses-00001	SNS_MRI_MCarpet_S00007_01	n/a	n/a	n/a
sub-00056	ses-00001	SNS_MRI_MCarpet_S00056_01	n/a	n/a	n/a
sub-00085	ses-00001	SNS_MRI_MCarpet_S00085_01	n/a	n/a	n/a
sub-00076	ses-00001	SNS_MRI_MCarpet_S00076_01	n/a	n/a	n/a
sub-00027	ses-00001	SNS_MRI_MCarpet_S00027_01	n/a	n/a	n/a
sub-00013	ses-00001	SNS_MRI_MCarpet_S00013_01	n/a	n/a	n/a
sub-00042	ses-00001	SNS_MRI_MCarpet_S00042_01	n/a	n/a	n/a
sub-00052	ses-00001	SNS_MRI_MCarpet_S00052_01	n/a	n/a	n/a
sub-00003	ses-00001	SNS_MRI_MCarpet_S00003_01	n/a	n/a	n/a
sub-00037	ses-00001	SNS_MRI_MCarpet_S00037_01	n/a	n/a	n/a
sub-00066	ses-00001	SNS_MRI_MCarpet_S00066_01	n/a	n/a	n/a
sub-00095	ses-00001	SNS_MRI_MCarpet_S00095_01	n/a	n/a	n/a
sub-00084	ses-00001	SNS_MRI_MCarpet_S00084_01	n/a	n/a	n/a
sub-00077	ses-00001	SNS_MRI_MCarpet_S00077_01	n/a	n/a	n/a
sub-00026	ses-00001	SNS_MRI_MCarpet_S00026_01	n/a	n/a	n/a
sub-00012	ses-00001	SNS_MRI_MCarpet_S00012_01	n/a	n/a	n/a
sub-00043	ses-00001	SNS_MRI_MCarpet_S00043_01	n/a	n/a	n/a
sub-00053	ses-00001	SNS_MRI_MCarpet_S00053_01	n/a	n/a	n/a
sub-00002	ses-00001	SNS_MRI_MCarpet_S00002_01	n/a	n/a	n/a
sub-00036	ses-00001	SNS_MRI_MCarpet_S00036_01	n/a	n/a	n/a
sub-00067	ses-00001	SNS_MRI_MCarpet_S00067_01	n/a	n/a	n/a
sub-00094	ses-00001	SNS_MRI_MCarpet_S00094_01	n/a	n/a	n/a
sub-00047	ses-00001	SNS_MRI_MCarpet_S00047_01	n/a	n/a	n/a
sub-00016	ses-00001	SNS_MRI_MCarpet_S00016_01	n/a	n/a	n/a
sub-00080	ses-00001	SNS_MRI_MCarpet_S00080_01	n/a	n/a	n/a
sub-00022	ses-00001	SNS_MRI_MCarpet_S00022_01	n/a	n/a	n/a
sub-00073	ses-00001	SNS_MRI_MCarpet_S00073_01	n/a	n/a	n/a
sub-00063	ses-00001	SNS_MRI_MCarpet_S00063_01	n/a	n/a	n/a
sub-00090	ses-00001	SNS_MRI_MCarpet_S00090_01	n/a	n/a	n/a
sub-00006	ses-00001	SNS_MRI_MCarpet_S00006_01	n/a	n/a	n/a
sub-00057	ses-00001	SNS_MRI_MCarpet_S00057_01	n/a	n/a	n/a
sub-00025	ses-00001	SNS_MRI_MCarpet_S00025_01	n/a	n/a	n/a
sub-00074	ses-00001	SNS_MRI_MCarpet_S00074_01	n/a	n/a	n/a
sub-00087	ses-00001	SNS_MRI_MCarpet_S00087_01	n/a	n/a	n/a
sub-00100	ses-00001	SNS_MRI_MCarpet_S00100_01	n/a	n/a	n/a
sub-00040	ses-00001	SNS_MRI_MCarpet_S00040_01	n/a	n/a	n/a
sub-00011	ses-00001	SNS_MRI_MCarpet_S00011_01	n/a	n/a	n/a
sub-00001	ses-00001	SNS_MRI_MCarpet_S00001_01	n/a	n/a	n/a
sub-00050	ses-00001	SNS_MRI_MCarpet_S00050_01	n/a	n/a	n/a
sub-00097	ses-00001	SNS_MRI_MCarpet_S00097_01	n/a	n/a	n/a
sub-00064	ses-00001	SNS_MRI_MCarpet_S00064_01	n/a	n/a	n/a
sub-00035	ses-00001	SNS_MRI_MCarpet_S00035_01	n/a	n/a	n/a
sub-00015	ses-00001	SNS_MRI_MCarpet_S00015_01	n/a	n/a	n/a
sub-00044	ses-00001	SNS_MRI_MCarpet_S00044_01	n/a	n/a	n/a
sub-00070	ses-00001	SNS_MRI_MCarpet_S00070_01	n/a	n/a	n/a
sub-00083	ses-00001	SNS_MRI_MCarpet_S00083_01	n/a	n/a	n/a
sub-00093	ses-00001	SNS_MRI_MCarpet_S00093_01	n/a	n/a	n/a
sub-00031	ses-00001	SNS_MRI_MCarpet_S00031_01	n/a	n/a	n/a
sub-00060	ses-00001	SNS_MRI_MCarpet_S00060_01	n/a	n/a	n/a
sub-00054	ses-00001	SNS_MRI_MCarpet_S00054_01	n/a	n/a	n/a
sub-00005	ses-00001	SNS_MRI_MCarpet_S00005_01	n/a	n/a	n/a
sub-00014	ses-00001	SNS_MRI_MCarpet_S00014_01	n/a	n/a	n/a
sub-00045	ses-00001	SNS_MRI_MCarpet_S00045_01	n/a	n/a	n/a
sub-00071	ses-00001	SNS_MRI_MCarpet_S00071_01	n/a	n/a	n/a
sub-00082	ses-00001	SNS_MRI_MCarpet_S00082_01	n/a	n/a	n/a
sub-00092	ses-00001	SNS_MRI_MCarpet_S00092_01	n/a	n/a	n/a
sub-00030	ses-00001	SNS_MRI_MCarpet_S00030_01	n/a	n/a	n/a
sub-00061	ses-00001	SNS_MRI_MCarpet_S00061_01	n/a	n/a	n/a
sub-00055	ses-00001	SNS_MRI_MCarpet_S00055_01	n/a	n/a	n/a
sub-00024	ses-00001	SNS_MRI_MCarpet_S00024_01	n/a	n/a	n/a
sub-00075	ses-00001	SNS_MRI_MCarpet_S00075_01	n/a	n/a	n/a
sub-00086	ses-00001	SNS_MRI_MCarpet_S00086_01	n/a	n/a	n/a
sub-00041	ses-00001	SNS_MRI_MCarpet_S00041_01	n/a	n/a	n/a
sub-00010	ses-00001	SNS_MRI_MCarpet_S00010_01	n/a	n/a	n/a
sub-00051	ses-00001	SNS_MRI_MCarpet_S00051_01	n/a	n/a	n/a
sub-00096	ses-00001	SNS_MRI_MCarpet_S00096_01	n/a	n/a	n/a
sub-00065	ses-00001	SNS_MRI_MCarpet_S00065_01	n/a	n/a	n/a
sub-00034	ses-00001	SNS_MRI_MCarpet_S00034_01	n/a	n/a	n/a
sub-00089	ses-00001	SNS_MRI_MCarpet_S00089_01	n/a	n/a	n/a
sub-00099	ses-00001	SNS_MRI_MCarpet_S00099_01	n/a	n/a	n/a
sub-00088	ses-00001	SNS_MRI_MCarpet_S00088_01	n/a	n/a	n/a
sub-00098	ses-00001	SNS_MRI_MCarpet_S00098_01	n/a	n/a	n/a
