participant_id	age	sex	first_ses
sub-401	20	F	SEM
sub-402	27	M	SEM
sub-403	26	M	SEM
sub-404	34	M	SEM
sub-405	20	F	SEM
sub-406	28	F	EP
sub-407	18	F	EP
sub-408	34	F	EP
sub-409	19	M	EP
sub-410	28	M	EP
sub-411	23	F	SEM
sub-412	35	M	SEM
sub-413	23	F	SEM
sub-414	21	F	SEM
sub-415	30	F	SEM
sub-416	21	F	EP
sub-417	18	M	EP
sub-418	25	F	EP
sub-419	21	F	EP
sub-420	19	M	EP
sub-421	34	M	SEM
sub-422	21	F	SEM
sub-423	21	F	SEM
sub-424	25	F	SEM
sub-425	34	F	SEM
sub-426	21	F	EP
sub-427	31	M	EP
sub-428	26	F	EP
sub-429	19	F	EP
sub-430	22	F	EP
sub-431	20	F	SEM
sub-432	26	F	SEM
sub-433	22	F	SEM
sub-434	19	F	SEM
sub-435	19	F	SEM
sub-436	19	M	EP
sub-437	29	M	EP
sub-438	20	F	EP
sub-439	27	F	EP
sub-440	27	F	EP
