participant_id	species	strain_ilar	strain_rrid	age	sex	weight
sub-A1	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	243
sub-A2	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	272
sub-A3	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	286
sub-A5	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	267
sub-A7	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	253
sub-A8	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	258
sub-A9	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	260
sub-B3	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	262
sub-C3	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	272
sub-C4	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	275
sub-C5	Rattus norvegicus	Crl:OFA(SD)	RRID:RGD_2312474	9-11	M	305
