participant_id	gender	age	bart_run1	bart_run2	delay_discounting
sub-001	male	21.56	1	1	1
sub-002	male	23.94	1	1	1
sub-003	male	23.72	1	1	0
sub-004	male	22.09	1	1	1
sub-005	female	35.66	1	1	1
sub-006	female	21.66	1	1	1
sub-007	female	19.52	0	0	0
sub-008	female	24.2	1	1	1
sub-009	male	64.15	1	1	1
sub-010	female	51.56	1	1	1
sub-011	male	23.52	1	1	1
sub-012	male	66.4	1	1	1
sub-013	female	57.73	1	1	1
sub-014	female	43.9	1	1	1
sub-015	female	45.2	1	1	1
sub-016	female	41.6	1	1	1
sub-017	female	66.34	1	1	1
sub-018	male	29.5	1	1	1
sub-019	female	18.86	1	1	1
sub-020	female	19.25	1	1	1
sub-021	male	53.71	1	1	1
sub-022	male	26.79	1	1	1
sub-023	male	27.68	1	1	1
sub-024	female	24.99	1	1	1
sub-025	female	54.32	0	0	0
sub-026	female	34.29	1	1	1
sub-027	female	23.9	1	1	1
sub-028	female	27.91	1	1	1
sub-029	male	41.95	1	1	1
sub-030	female	20.77	1	1	1
sub-031	female	44.4	1	1	1
sub-032	female	48.92	1	1	1
sub-033	female	50.21	1	1	1
sub-034	female	61.13	1	1	1
sub-035	male	54.32	1	1	1
sub-036	female	22.56	1	1	1
sub-037	male	17.79	1	1	1
sub-038	male	50.07	1	1	1
sub-039	male	26.09	1	1	1
sub-040	female	25.21	1	1	1
sub-041	female	72.18	1	1	1
sub-042	male	20.27	1	1	1
sub-043	female	38.66	1	1	1
sub-044	female	60.2	1	1	1
sub-045	male	69.51	1	1	1
sub-046	male	45.17	1	1	1
sub-047	male	73.07	1	1	1
sub-048	male	61.55	1	1	1
sub-049	male	36.59	1	1	1
sub-050	male	47.02	1	1	1
sub-051	female	26.54	1	1	1
sub-052	female	45.77	1	1	1
sub-053	female	30.8	1	1	1
sub-054	male	28.56	1	1	1
sub-055	male	51.26	1	1	1
sub-056	female	53.54	1	1	1
sub-057	female	31.25	1	1	1
sub-058	male	45.16	1	1	1
sub-059	male	24.71	1	1	1
sub-060	female	67.65	1	1	1
sub-061	male	65.91	1	1	1
sub-062	male	25.18	1	1	1
sub-063	male	34.37	1	1	1
sub-064	male	48.7	1	1	1
sub-065	male	35.33	1	1	1
sub-066	female	28.64	1	1	1
sub-067	male	18.83	1	1	1
sub-068	male	33.54	1	1	1
sub-069	female	29.17	1	1	1
sub-070	female	18.23	1	1	1
sub-071	male	21.02	1	1	1
sub-072	female	56.46	1	1	1
sub-073	female	31.3	1	1	1
sub-074	female	28.23	1	1	1
sub-075	female	33.53	1	1	1
sub-076	female	17.6	1	1	1
sub-077	female	19.32	1	1	1
sub-078	male	27.56	1	1	1
sub-079	female	33.75	1	1	1
sub-080	female	17.16	1	1	1
sub-081	female	22.27	1	1	1
sub-082	female	20.88	1	1	1
sub-083	male	53.07	1	1	1
sub-084	male	37.71	1	1	1
sub-085	female	32.27	1	1	1
sub-086	female	17.09	1	1	1
sub-087	male	50.07	1	1	1
sub-088	female	62.75	1	1	1
sub-089	male	16.32	1	1	1
sub-090	female	19.38	1	1	1
sub-091	female	25.71	1	1	1
sub-092	female	52.38	1	1	1
sub-093	male	73.28	1	1	1
sub-094	female	58.58	1	1	1
sub-095	male	24.77	1	1	1
sub-096	male	19.87	1	1	0
sub-097	female	38.94	1	1	1
sub-098	female	19.67	1	1	1
sub-099	male	50.66	1	1	0
sub-100	female	33.72	1	1	1
sub-101	female	70.42	1	1	1
sub-102	female	17.58	1	1	1
sub-103	female	24.56	1	1	1
sub-104	male	55.22	1	1	1
sub-105	male	20.41	1	1	1
sub-106	female	65.77	1	1	1
sub-107	male	20.23	1	1	1
sub-108	female	55.13	1	1	1
sub-109	male	46.37	1	1	1
sub-110	female	21.03	1	1	1
sub-111	male	49.78	1	1	1
sub-112	male	32.23	1	1	1
sub-113	female	66.77	1	1	1
sub-114	female	68.43	1	1	1
sub-115	female	67.59	1	1	1
sub-116	male	19.56	1	1	1
sub-117	female	61.99	1	1	1
sub-118	male	70.11	1	1	1
sub-119	female	16.22	1	1	1
sub-120	female	45.91	1	1	1
sub-121	male	65.66	1	1	1
sub-122	male	66.32	1	1	1
sub-123	male	42.34	1	1	1
sub-124	male	71.87	1	1	1
sub-125	male	26.19	1	1	1
sub-126	male	35.65	1	1	1
