participant_id	family_id	twin_id	zygosity	sex	age
sub-P906663	41131	DZ4113110	DZ	F	36
sub-P350638	32097	MZ3209711	MZ	M	38
sub-P708629	90006	DZ9000610	DZ	F	36
sub-P631776	77464	MZ7746421	MZ	M	33
sub-P121583	19024	MZ1902410	MZ	F	33
sub-P602968	11668	DZ1166821	DZ	M	35
sub-P333327	36255	OS3625520	OS	F	33
sub-P355172	86733	DZ8673321	DZ	M	34
sub-P723824	32097	MZ3209721	MZ	M	39
sub-P496408	72507	MZ7250721	MZ	M	39
sub-P241180	39621	OS3962111	OS	M	37
sub-P590184	65872	MZ6587211	MZ	M	32
sub-P802283	36118	OS3611820	OS	F	38
sub-P375727	55844	MZ5584421	MZ	M	37
sub-P299762	43850	DZ4385010	DZ	F	37
sub-P449174	38651	MZ3865120	MZ	F	39
sub-P942745	76807	OS7680720	OS	F	35
sub-P978395	98230	MZ9823021	MZ	M	37
sub-P705145	26689	MZ2668910	MZ	F	38
sub-P912550	11588	DZ1158821	DZ	M	36
sub-P861175	11588	DZ1158811	DZ	M	36
sub-P440194	97265	OS9726511	OS	M	36
sub-P182995	24571	OS2457120	OS	F	36
sub-P688069	24571	OS2457111	OS	M	36
sub-P602056	36053	MZ3605320	MZ	F	34
sub-P425408	78501	MZ7850121	MZ	M	38
sub-P465867	68873	DZ6887311	DZ	M	32
sub-P522046	18918	MZ1891821	MZ	M	36
sub-P342312	37777	MZ3777720	MZ	F	38
sub-P362613	97544	MZ9754410	MZ	F	36
sub-P511917	55844	MZ5584411	MZ	M	37
sub-P874480	11245	MZ1124510	MZ	F	35
sub-P627627	43850	DZ4385020	DZ	F	37
sub-P355139	33602	MZ3360221	MZ	M	35
sub-P350179	36053	MZ3605310	MZ	F	34
sub-P509159	33602	MZ3360211	MZ	M	35
sub-P284869	74358	OS7435810	OS	F	32
sub-P281240	74358	OS7435821	OS	M	32
sub-P562631	74607	DZ7460720	DZ	F	36
sub-P178506	36420	MZ3642021	MZ	M	39
sub-P535226	49933	MZ4993310	MZ	F	36
sub-P425958	41667	DZ4166720	DZ	F	34
sub-P736917	74607	DZ7460710	DZ	F	36
sub-P772071	88745	OS8874520	OS	F	35
sub-P721983	51128	MZ5112820	MZ	F	36
sub-P720262	77669	OS7766920	OS	F	35
sub-P436240	37777	MZ3777710	MZ	F	38
sub-P701321	98043	MZ9804311	MZ	M	34
sub-P405863	43533	DZ4353320	DZ	F	32
sub-P615514	70836	OS7083620	OS	F	34
sub-P393226	70836	OS7083611	OS	M	34
sub-P500630	64022	DZ6402211	DZ	M	37
sub-P155376	17193	MZ1719320	MZ	F	39
sub-P318407	17193	MZ1719310	MZ	F	39
sub-P974442	91850	MZ9185021	MZ	M	35
sub-P307525	69672	MZ6967210	MZ	F	39
sub-P722329	11668	DZ1166811	DZ	M	36
sub-P685429	90006	DZ9000620	DZ	F	37
sub-P527579	51128	MZ5112810	MZ	F	36
sub-P636997	80543	OS8054311	OS	M	34
sub-P160272	36420	MZ3642011	MZ	M	39
sub-P165305	98043	MZ9804321	MZ	M	34
sub-P279078	33337	MZ3333720	MZ	F	38
sub-P236674	33337	MZ3333710	MZ	F	38
sub-P190093	39621	OS3962120	OS	F	37
sub-P216364	49933	MZ4993320	MZ	F	36
sub-P269033	64022	DZ6402221	DZ	M	37
sub-P956891	86733	DZ8673311	DZ	M	34
sub-P713450	71570	MZ7157010	MZ	F	34
sub-P586917	91850	MZ9185011	MZ	M	35
sub-P736462	99196	DZ9919611	DZ	M	31
sub-P337498	99196	DZ9919621	DZ	M	31
sub-P934053	80543	OS8054320	OS	F	34
sub-P855273	36544	OS3654420	OS	F	37
sub-P532215	71811	DZ7181111	DZ	M	36
sub-P857892	26689	MZ2668920	MZ	F	38
sub-P770277	73840	DZ7384011	DZ	M	35
sub-P694293	35902	DZ3590211	DZ	M	39
sub-P922577	51572	MZ5157221	MZ	M	35
sub-P670299	71570	MZ7157020	MZ	F	34
sub-P429346	67805	MZ6780511	MZ	M	36
sub-P597560	98230	MZ9823011	MZ	M	37
sub-P276742	69672	MZ6967220	MZ	F	39
sub-P272865	77027	OS7702711	OS	M	37
sub-P806443	84050	DZ8405021	DZ	M	34
sub-P974888	71811	DZ7181121	DZ	M	36
sub-P865874	70121	DZ7012110	DZ	F	36
sub-P589234	68806	DZ6880610	DZ	F	35
sub-P180811	70121	DZ7012120	DZ	F	36
sub-P539985	84050	DZ8405011	DZ	M	34
sub-P935142	73490	MZ7349010	MZ	F	34
sub-P808856	73490	MZ7349020	MZ	F	34
sub-P536584	77027	OS7702720	OS	F	37
sub-P509751	62533	OS6253320	OS	F	35
sub-P296187	55339	MZ5533920	MZ	F	38
sub-P259492	68806	DZ6880620	DZ	F	35
sub-P166261	46549	MZ4654920	MZ	F	35
sub-P903153	46549	MZ4654910	MZ	F	35
sub-P676158	55779	MZ5577911	MZ	M	34
sub-P228999	55779	MZ5577921	MZ	M	34
sub-P472714	62533	OS6253311	OS	M	35
sub-P144198	74565	MZ7456521	MZ	M	39
sub-P288436	67461	MZ6746111	MZ	M	36
sub-P757637	68873	DZ6887321	DZ	M	32
sub-P686010	17150	OS1715020	OS	F	34
sub-P347302	76522	MZ7652211	MZ	M	34
sub-P687000	76522	MZ7652221	MZ	M	34
sub-P960804	66989	OS6698910	OS	F	36
sub-P491968	66989	OS6698921	OS	M	36
sub-P163119	17150	OS1715011	OS	M	34
sub-P151958	65872	MZ6587221	MZ	M	32
sub-P174583	62024	OS6202420	OS	F	34
sub-P963736	36565	OS3656520	OS	F	35
sub-P853716	65511	MZ6551110	MZ	F	34
sub-P253030	65511	MZ6551120	MZ	F	34
sub-P334310	35902	DZ3590221	DZ	M	39
sub-P722779	72944	MZ7294410	MZ	F	34
sub-P906013	41833	OS4183310	OS	F	34
sub-P406619	41833	OS4183321	OS	M	34
sub-P158205	93139	MZ9313911	MZ	M	38
sub-P877707	72944	MZ7294420	MZ	F	34
sub-P361785	73597	MZ7359710	MZ	F	33
sub-P766974	84240	MZ8424011	MZ	M	37
sub-P242230	73597	MZ7359720	MZ	F	33
sub-P725467	92143	OS9214321	OS	M	35
sub-P857277	56474	DZ5647410	DZ	F	34
sub-P754436	56474	DZ5647420	DZ	F	34
sub-P423196	36565	OS3656511	OS	M	35
sub-P754020	39593	OS3959310	OS	F	35
sub-P382437	40561	OS4056120	OS	F	35
sub-P477624	40561	OS4056111	OS	M	35
sub-P889490	74449	OS7444911	OS	M	36
sub-P238366	74449	OS7444920	OS	F	36
sub-P892112	19024	MZ1902420	MZ	F	34
sub-P974461	22613	MZ2261310	MZ	F	36
sub-P430932	82707	MZ8270711	MZ	M	37
sub-P284445	82707	MZ8270721	MZ	M	37
sub-P316513	56475	MZ5647521	MZ	M	33
sub-P845076	56475	MZ5647511	MZ	M	33
sub-P968705	79700	MZ7970020	MZ	F	36
sub-P728928	79700	MZ7970010	MZ	F	36
sub-P534247	92143	OS9214310	OS	F	35
sub-P358344	48145	MZ4814510	MZ	F	39
sub-P850319	48145	MZ4814520	MZ	F	39
sub-P884961	62024	OS6202411	OS	M	34
sub-P182918	87300	DZ8730020	DZ	F	35
sub-P294354	87300	DZ8730010	DZ	F	35
sub-P848584	70244	MZ7024410	MZ	F	39
sub-P863473	70244	MZ7024420	MZ	F	39
sub-P383187	10656	MZ1065610	MZ	F	32
sub-P351365	10656	MZ1065620	MZ	F	32
sub-P487733	71630	DZ7163010	DZ	F	38
sub-P585501	71630	DZ7163020	DZ	F	38
sub-P186010	96367	MZ9636710	MZ	F	35
sub-P853220	96367	MZ9636720	MZ	F	35
sub-P581261	52365	MZ5236521	MZ	M	32
sub-P797471	50002	MZ5000220	MZ	F	38
sub-P307752	20571	DZ2057110	DZ	F	37
sub-P775924	22613	MZ2261320	MZ	F	36
sub-P408784	46732	OS4673211	OS	M	36
sub-P953674	79390	MZ7939010	MZ	F	39
sub-P768463	52365	MZ5236511	MZ	M	33
sub-P240636	32404	OS3240420	OS	F	34
sub-P846100	46177	MZ4617711	MZ	M	36
sub-P166634	50050	MZ5005021	MZ	M	40
sub-P531023	50050	MZ5005011	MZ	M	40
sub-P156051	94766	MZ9476620	MZ	F	36
sub-P895817	98144	MZ9814410	MZ	F	36
