participant_id	age	sex	group	scanner	consent
sub-101	18	F	passiv	TRIO	new
sub-102	19	F	comp	TRIO	old
sub-103	22	M	incomp	TRIO	old
sub-104	22	M	passiv	TRIO	new
sub-105	22	F	comp	TRIO	new
sub-106	25	F	incomp	TRIO	old
sub-107	24	M	passiv	TRIO	old
sub-108	24	M	comp	Prisma	new
sub-109	23	M	incomp	Prisma	new
sub-110	24	M	passiv	TRIO	new
sub-111	28	M	comp	TRIO	new
sub-112	24	M	incomp	TRIO	old
sub-113	24	F	passiv	TRIO	new
sub-114	22	M	comp	TRIO	new
sub-115	25	F	incomp	Prisma	new
sub-116	18	M	passiv	TRIO	old
sub-117	20	M	comp	TRIO	old
sub-118	28	F	incomp	TRIO	new
sub-119	20	M	passiv	Prisma	new
sub-120	23	F	comp	Prisma	new
sub-121	19	F	incomp	TRIO	new
sub-122	25	F	passiv	TRIO	new
sub-123	27	M	comp	Prisma	new
sub-124	19	F	incomp	Prisma	old
sub-125	23	F	passiv	TRIO	new
sub-126	23	F	comp	Prisma	new
sub-127	23	F	incomp	Prisma	new
sub-128	18	F	passiv	TRIO	new
sub-129	21	F	comp	TRIO	new
sub-130	22	F	incomp	TRIO	new
sub-131	23	M	passiv	TRIO	new
sub-132	24	F	comp	Prisma	new
sub-133	24	M	incomp	Prisma	new
sub-134	21	M	passiv	Prisma	new
sub-135	18	F	comp	Prisma	new
sub-136	20	M	incomp	Prisma	new
sub-137	28	M	passiv	Prisma	old
sub-138	19	M	comp	Prisma	new
sub-139	19	M	incomp	Prisma	new
sub-140	27	F	passiv	Prisma	new
sub-141	26	F	comp	Prisma	new
sub-142	20	M	incomp	Prisma	new
sub-143	18	F	passiv	Prisma	new
sub-144	20	M	comp	Prisma	old
sub-145	26	M	incomp	Prisma	new
sub-146	22	F	passiv	Prisma	new
sub-147	23	M	comp	Prisma	old
sub-148	26	F	incomp	Prisma	new
sub-149	24	F	passiv	Primsa	new
sub-150	21	F	comp	Prisma	new
sub-151	23	F	incomp	Prisma	new
sub-152	28	M	passiv	Prisma	new
sub-153	23	M	comp	Prisma	new
sub-154	26	M	incomp	Prisma	new
sub-155	19	M	passiv	Prisma	new
sub-156	18	F	comp	Prisma	new
sub-157	23	M	incomp	Prisma	new
sub-158	18	F	passiv	Prisma	new
sub-159	22	M	comp	Prisma	new
sub-160	21	F	incomp	Prisma	new
sub-9106	19	F	-	TRIO	old
sub-9118	24	F	incomp	Prisma	new
sub-9119	25	F	-	TRIO	old
sub-9126	25	F	comp	TRIO	new
sub-9127	26	F	incomp	Prisma	new
sub-9135	22	M	-	Prisma	new
sub-9138	20	M	-	Prisma	new
sub-9140	22	F	passiv	Prisma	new
sub-9142	24	F	-	Prisma	new
sub-9154	21	M	incomp	Prisma	new
sub-9159	24	M	comp	Prisma	new
