participant_id	Gender	DOB	Age	Handness
sub-01	F	1989/06	27	right
sub-02	F	1990/05	26	right
sub-03	M	1987/06	29	right
sub-04	F	1993/08	22	right
sub-05	F	1994/10	22	right
sub-06	F	1996/07	19	right
sub-07	F	1989/11	26	right
sub-08	M	1989/06	27	right
sub-09	M	1992/06	24	right
sub-10	F	1994/07	22	right
sub-11	M	1984/11	31	right
sub-12	M	1990/12	25	right
sub-13	M	1990/07	26	right
sub-15	F	1984/10	32	right
sub-16	F	1994/07	22	right
sub-17	M	1993/07	23	right
sub-18	F	1991/11	25	right
sub-19	F	2/5/96	22	right
sub-20	F	1995/08	23	right
sub-21	F	1990/11	28	right
sub-22	M	1990/12	28	right
sub-23	M	1991/08	27	right
sub-24	M	1968/01	50	right
sub-25	F	1991/05	27	right
sub-26	M	1988/01	30	right
				
				
