Index	participant_id	dicom_dir exclude	Exclude
0	sub-01	AB1	0
1	sub-02	AG1	0
2	sub-03	AH1	0
3	sub-04	AM1	0
4	sub-05	AN1	1
5	sub-06	AP1	0
6	sub-07	AV1	0
7	sub-08	BN1	0
8	sub-09	CD1	0
9	sub-10	CG1	0
10	sub-11	CH1	0
11	sub-12	CK1	0
12	sub-13	CM1	0
13	sub-14	CM2	0
14	sub-15	CS1	0
15	sub-16	EH1	0
16	sub-17	EK1	0
17	sub-18	HK1	0
18	sub-19	HS1	0
19	sub-20	JC1	0
20	sub-21	JH1	0
21	sub-22	JH2	1
22	sub-23	JM1	0
23	sub-24	JR1	0
24	sub-25	JS1	0
25	sub-26	KK1	0
26	sub-27	KL1	1
27	sub-28	KP1	0
28	sub-29	KR1	0
29	sub-30	LB1	0
30	sub-31	MB1	0
31	sub-32	MG1	0
32	sub-33	MP1	0
33	sub-34	NC1	1
34	sub-35	NW1	0
35	sub-36	RG1	0
36	sub-37	SH1	0
37	sub-38	SK1	0
38	sub-39	SM1	1
39	sub-40	SM2	0
40	sub-41	SR1	0
41	sub-42	SS1	1
42	sub-43	TC1	1
43	sub-44	UP1	0
44	sub-45	WK1	0
45	sub-46	ZN1	0
