participant_id	treatment	sex	mouse_strain	RRB
sub-01	EE	F	C58	152
sub-02	EE	F	C58	158
sub-03	EE	F	C58	307
sub-04	EE	F	C58	144
sub-05	SH	M	C58	1931
sub-06	SH	M	C58	574
sub-07	EE	M	C58	213
sub-08	EE	M	C58	1531
sub-09	SH	F	C58	10454
sub-10	SH	F	C58	16822
sub-11	SH	F	C58	14378
sub-12	SH	F	C58	4043
sub-13	SH	M	C58	1419
sub-14	SH	M	C58	18178
sub-15	SH	M	C58	15316
sub-16	SH	M	C58	657
sub-17	SH	M	C58	11095
sub-18	SH	M	C58	16790
sub-19	EE	M	C58	471
sub-20	EE	M	C58	718
sub-21	EE	M	C58	325
sub-22	EE	M	C58	506
sub-23	SH	F	C58	18709
sub-24	SH	F	C58	20351
sub-25	SH	F	C58	24991
sub-26	SH	F	C58	21298
sub-27	SH	F	C58	24096
sub-28	EE	M	C58	890
sub-29	EE	M	C58	1467
sub-30	EE	M	C58	573
sub-31	EE	F	C58	359
sub-32	EE	F	C58	205
sub-33	EE	F	C58	1197
sub-34	EE	F	C57	174
sub-35	EE	F	C57	93
sub-36	SH	M	C57	1171
sub-37	SH	F	C57	1671
sub-38	SH	F	C57	1324
sub-39	SH	F	C57	2169
sub-40	SH	F	C57	442
sub-41	EE	M	C57	164
sub-42	EE	M	C57	74
sub-43	EE	F	C57	478
sub-44	EE	F	C57	318
sub-45	EE	M	C57	44
sub-46	EE	M	C57	22
sub-47	EE	M	C57	100
sub-48	EE	M	C57	92
sub-49	SH	M	C57	595
sub-50	SH	M	C57	40
sub-51	SH	M	C57	293
sub-52	EE	F	C57	929
sub-53	EE	F	C57	481
sub-54	EE	F	C57	246
sub-55	EE	F	C57	385
sub-56	SH	F	C57	231
sub-57	SH	F	C57	343
sub-58	SH	F	C57	87
sub-59	SH	F	C57	415
