participant_id	ID	Pre_ID	Gender	Group	Energy
sub-001	1	102	F	1	4.2500000000
sub-002	2	103	M	1	3
sub-003	3	104	M	1	3.5000000000
sub-004	4	105	F	1	3.5000000000
sub-005	5	106	F	1	3
sub-006	6	107	F	1	3
sub-007	7	108	M	1	3.7500000000
sub-008	8	109	F	1	3.7500000000
sub-009	9	201	M	2	3.7500000000
sub-010	10	202	F	2	4.2500000000
sub-011	11	203	F	2	3.2500000000
sub-012	12	204	F	2	3.5000000000
sub-013	13	205	F	2	3.2500000000
sub-014	14	206	M	2	3.5000000000
sub-015	15	207	M	2	3.2500000000
sub-016	16	208	F	2	3.2500000000
sub-017	17	301	M	3	4
sub-018	18	302	M	3	4.5000000000
sub-019	19	303	M	3	3
sub-020	20	304	F	3	3.5000000000
sub-021	21	305	M	3	3.2500000000
sub-022	22	306	F	3	3.2500000000
sub-023	23	307	F	3	3.7500000000
sub-024	24	308	F	3	3.7500000000
sub-025	25	309	M	3	3.5000000000
sub-026	26	401	F	4	4
sub-027	27	402	F	4	4.2500000000
sub-028	28	403	M	4	2.7500000000
sub-029	29	404	F	4	3.5000000000
sub-030	30	405	F	4	3.7500000000
sub-031	31	406	M	4	3
sub-032	32	407	F	4	3.7500000000
sub-033	33	408	M	4	2.7500000000
sub-034	34	501	F	5	3.5000000000
sub-035	35	502	F	5	3.5000000000
sub-036	36	503	F	5	2.7500000000
sub-037	37	504	F	5	4
sub-038	38	505	M	5	3.7500000000
sub-039	39	508	M	5	3
