participant_id	group	treatment	sex	weight
sub-419077	ctr	MPTP	m	31
sub-419078	kh	MPTP	m	30
sub-419087	ctr	veh	m	36
sub-419088	kh	veh	m	37
sub-419089	kh	MPTP	m	29
sub-419090	ctr	MPTP	m	30
sub-420112	ctr	veh	m	32
sub-420113	kh	veh	m	30.9
sub-420114	kh	veh	m	31.5
sub-420115	ctr	veh	m	32.4
sub-420116	kh	MPTP	m	32
sub-420117	ctr	MPTP	m	30
sub-420118	kh	MPTP	m	36.1
sub-420119	ctr	MPTP	m	27.3
sub-420120	ctr	MPTP	m	34.5
sub-420121	kh	MPTP	m	32.8
sub-420122	ctr	veh	m	29.7
sub-420123	kh	veh	m	27
sub-420124	ctr	veh	m	31.1
sub-420125	kh	veh	m	32.7
sub-420126	ctr	MPTP	m	29.5
sub-420127	kh	MPTP	m	30
sub-421521	ctr	veh	m	31.8
sub-421522	kh	veh	m	33.4
sub-421523	kh	veh	m	31.6
sub-421524	ctr	veh	m	32.4
sub-421529	ctr	MPTP	m	32.6
sub-421530	kh	MPTP	m	33.3
sub-421531	kh	MPTP	m	30.6
sub-421532	ctr	MPTP	m	28.6
sub-421533	ctr	veh	m	34.3
sub-421534	kh	veh	m	32.5
sub-422720	kh	veh	m	34.9
sub-422721	ctr	veh	m	37.1
