Dataset_id	participant_id	Rat_strain	Rat_sex	Rat_age	Rat_weight	Anesthesia_induction	Anesthesia_induction_dose	Anesthesia_maintenance	Anesthesia_maintenance_dose	Anesthesia_post_induction_time	Anesthesia_breathing_assistance	Anesthesia_breathing_rate	Anesthesia_temperature	MRI_vendor	MRI_field_strength	Anat_sequence	Anat_contrast	Anat_TR	Anat_TE	Func_sequence	Func_TR	Func_TE	Func_FA	Func_sensory_system	Func_sensory_stimulation
2001	sub-200100	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200101	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200102	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200103	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200104	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200105	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200106	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200107	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200108	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2001	sub-200109	Wistar	male	2-4	300-400	isoflurane	3	isoflurane	1.3	90.0	free-breathing	60.0	36.5	Varian/Agilent	9.4	FSE	T2	2.5	0.04	SE-EPI	2.0	0.045	90	forepaw	electric
2002	sub-200200	Sprague Dawley	male	n/a	257-384	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25 / 0.015	90.0	free-breathing	50.0	35.5	Bruker	7.0	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65	hindpaw	electric
2002	sub-200201	Sprague Dawley	male	n/a	257-384	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25 / 0.015	90.0	free-breathing	50.0	35.5	Bruker	7.0	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65	hindpaw	electric
2002	sub-200202	Sprague Dawley	male	n/a	257-384	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25 / 0.015	90.0	free-breathing	50.0	35.5	Bruker	7.0	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65	hindpaw	electric
2002	sub-200203	Sprague Dawley	male	n/a	257-384	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25 / 0.015	90.0	free-breathing	50.0	35.5	Bruker	7.0	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65	hindpaw	electric
2002	sub-200204	Sprague Dawley	male	n/a	257-384	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25 / 0.015	90.0	free-breathing	50.0	35.5	Bruker	7.0	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65	hindpaw	electric
