participant_id	species	name	strain	group	weight	perf
sub-01	Rattus norvegicus	20160324_133310	W	ISO_W	336	1
sub-02	Rattus norvegicus	20160325_101125	W	ISO_W	328	1
sub-03	Rattus norvegicus	20160419_095544	L	URE_L	254	1
sub-04	Rattus norvegicus	20160420_101945	L	URE_L	254	1
sub-05	Rattus norvegicus	20160421_093700	L	URE_L	284	1
sub-06	Rattus norvegicus	20160421_133725	W	ISO_W	406	1
sub-07	Rattus norvegicus	20160524_102250	L	MED_L	282	1
sub-08	Rattus norvegicus	20160524_131800	L	MED_L	264	1
sub-09	Rattus norvegicus	20160524_153000	L	DEAD	282	n/a
sub-10	Rattus norvegicus	20160525_100645	L	MED_L	302	1
sub-11	Rattus norvegicus	20160525_120830	L	MED_L	282	n/a
sub-12	Rattus norvegicus	20160525_142944	L	MED_L	284	1
sub-13	Rattus norvegicus	20160609_095855	L	MED_L	326	1
sub-14	Rattus norvegicus	20160609_120340	L	MED_L	322	1
sub-15	Rattus norvegicus	20160609_141010	L	URE_L	318	1
sub-16	Rattus norvegicus	20160609_161917	L	DEAD	318	n/a
sub-17	Rattus norvegicus	20160610_095040	L	URE_L	326	1
sub-18	Rattus norvegicus	20160610_121044	L	DEAD	326	n/a
sub-19	Rattus norvegicus	20160610_132250	L	URE_L	278	1
sub-20	Rattus norvegicus	20160610_151330	L	URE_L	306	1
sub-21	Rattus norvegicus	20160613_105856	L	ISO_L	348	1
sub-22	Rattus norvegicus	20160613_135835	L	ISO_L	224	1
sub-23	Rattus norvegicus	20160614_095825	W	ISO_W	438	1
sub-24	Rattus norvegicus	20160615_103000	W	ISO_W	242	1
sub-25	Rattus norvegicus	20160615_121820	W	ISO_W	222	n/a
sub-26	Rattus norvegicus	20160615_140855	W	ISO_W	238	1
sub-27	Rattus norvegicus	20160615_160725	L	ISO_L	182	1
sub-28	Rattus norvegicus	20160616_103405	L	ETO_L	192	1
sub-29	Rattus norvegicus	20160616_125755	L	ETO_L	188	1
sub-30	Rattus norvegicus	20160616_145220	L	ETO_L	196	1
sub-31	Rattus norvegicus	20160616_164200	L	ETO_L	178	1
sub-32	Rattus norvegicus	20160617_121650	L	ETO_L	190	1
sub-33	Rattus norvegicus	20160617_135425	L	ETO_L	196	1
sub-34	Rattus norvegicus	20160617_154245	L	ETO_L	196	1
sub-35	Rattus norvegicus	20160620_112046	W	DEAD	404	n/a
sub-36	Rattus norvegicus	20160629_093021	L	ISO_L	260	1
sub-37	Rattus norvegicus	20160629_111310	L	ISO_L	260	1
sub-38	Rattus norvegicus	20160629_143411	L	ISO_L	252	1
