participant_id	age	sex	fMRImotion(max)-run1	exclusion-run1	fMRImotion(max)-run2	exclusion-run2	NFC	CRT	traitFOM	stateFOM
sub-01	22	M	2.12	0	0.99	0	93	2	9	16
sub-02	23	F	2.41	0	1.28	0	71	1	9	11
sub-03	22	F	1.1	1	0.63	0	63	0	16	21
sub-04	21	F	6.25	1	0.73	0	72	0	9	17
sub-05	19	M	0.73	0	0.73	0	101	2	15	21
sub-06	20	F	1.5	0	0.78	0	80	2	12	27
sub-07	19	M	1.86	0	0.9	0	68	3	10	15
sub-08	19	M	1.19	0	2.1	0	77	3	16	14
sub-09	20	F	0.7	0	0.54	0	76	1	9	16
sub-10	19	F	5.49	1	3.84	1	66	3	15	23
sub-11	19	F	1.62	0	1.73	0	82	3	14	11
sub-12	21	F	1.47	0	0.76	0	81	2	8	14
sub-13	22	M	1.39	0	1.12	0	87	0	11	26
sub-14	21	F	1.6	0	0.99	0	72	0	14	13
sub-15	18	F	1.03	0	0.77	0	83	3	13	21
sub-16	19	F	1.29	0	0.96	0	70	2	12	15
sub-17	22	F	2.41	0	0.82	0	77	2	10	26
sub-18	21	F	2.25	0	1.42	0	64	2	9	30
sub-19	23	M	0.65	0	0.67	0	87	2	9	26
sub-20	21	F	1.06	0	1.69	0	62	1	15	20
sub-21	23	F	1.89	0	1.24	0	57	2	9	16
sub-22	22	F	7.86	1	5.66	1	43	3	11	33
sub-23	22	F	1.34	0	2.23	0	69	1	10	17
sub-24	22	F	1.59	0	1.04	0	70	1	10	22
sub-25	21	F	6.86	1	3.54	0	74	1	16	26
sub-26	21	F	1.12	0	0.45	0	78	3	6	32
sub-27	21	F	1.21	0	0.8	0	67	1	12	14
sub-28	22	F	1.46	0	1.05	0	62	2	8	20
sub-29	22	M	1.74	0	0.85	0	78	3	16	26
sub-30	22	M	1.21	0	0.3	0	58	2	10	31
sub-31	21	F	1.78	0	0.62	0	75	2	12	24
sub-32	22	M	0.78	0	0.39	0	82	2	9	9
sub-33	22	F	0.5	0	0.65	0	89	0	14	20
sub-34	23	F	0.62	0	0.7	0	61	3	6	13
sub-35	22	F	1.33	0	0.56	0	78	0	9	15
sub-36	21	F	1.91	0	0.76	0	39	3	17	29
sub-37	19	M	2.27	0	0.42	0	85	3	4	13
sub-38	18	M	1.17	0	0.65	0	58	2	8	26
sub-39	19	M	1.1	0	0.65	0	85	3	10	22
sub-40	20	M	0.86	0	0.83	0	50	3	14	33
sub-41	21	F	0.85	0	0.45	0	80	3	10	22
sub-42	19	M	1.16	0	0.36	0	67	3	14	19
sub-43	18	F	0.64	0	0.63	0	90	2	10	17
