participant_id	group	sex	species	strain_rrid
sub-001	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-002	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-003	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-004	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-005	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-006	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-007	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-008	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-009	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-010	SCRControl	F	rattus norvegicus	RRID:RGD_13792727
sub-011	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-012	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-013	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-014	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-015	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-016	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-017	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-018	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-019	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-020	miR5ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-021	miR7ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-022	miR7ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-023	miR7ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-024	miR7ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
sub-025	miR7ATP10BKD	F	rattus norvegicus	RRID:RGD_13792727
