participant_id	sex	age	run1	run2
sub-001	M	22	HSS	LSS
sub-002	M	22	LSS	HSS
sub-003	M	24	HSS	LSS
sub-004	M	20	HSS	LSS
sub-005	F	20	LSS	HSS
sub-006	F	22	HSS	LSS
sub-007	F	20	LSS	HSS
sub-008	M	22	HSS	LSS
sub-009	M	22	HSS	LSS
sub-010	F	23	HSS	LSS
sub-011	F	26	LSS	HSS
sub-012	M	21	LSS	HSS
sub-013	F	19	HSS	LSS
sub-014	M	20	LSS	
sub-015	M	19	LSS	HSS
sub-016	M	20	HSS	LSS
sub-017	F	23	LSS	HSS
sub-018	F	27	LSS	HSS
sub-019	M	25	HSS	LSS
sub-020	F	29	LSS	HSS
sub-021	M	31	LSS	HSS
sub-022	F	23	HSS	LSS
sub-023	F	23	LSS	HSS
sub-024	M	23	LSS	HSS
sub-025	F	20	LSS	HSS
sub-026	F	20	HSS	LSS
sub-027	M	20	HSS	LSS
sub-028	M	20	HSS	
sub-029	M	22	HSS	LSS
sub-030	F	22	HSS	LSS
sub-031	M	21	LSS	HSS
