participant_id	Gender	Age	Group	Handedness	EDU_level
sub-01	F	29	n/a	R	Masters_Degree
sub-02	M	20	n/a	R	H.S._Diploma
sub-03	F	22	n/a	R	Associates_Degree
sub-04	F	23	n/a	R	Bachelors_Degree
sub-05	F	24	n/a	R	Bachelors_Degree
sub-06	F	21	n/a	R	Bachelors_Degree
sub-07	F	25	n/a	R	Bachelors_Degree
sub-08	F	20	n/a	R	H.S._Diploma
sub-10	F	21	n/a	R	H.S._Diploma
sub-11	M	20	n/a	R	H.S._Diploma
sub-12	F	19	n/a	R	H.S._Diploma
sub-13	M	20	n/a	R	Bachelors_Degree
sub-14	F	23	n/a	R	Associates_Degree
sub-15	M	22	n/a	R	Associates_Degree
sub-16	F	27	n/a	R	Masters_Degree
sub-17	F	29	n/a	R	Bachelors_Degree
sub-18	F	35	n/a	R	Associates_Degree
sub-19	M	35	n/a	R	Bachelors_Degree
sub-20	F	29	n/a	R	Masters_Degree
sub-21	F	20	n/a	R	H.S._Diploma
sub-22	F	25	n/a	R	Bachelors_Degree
sub-23	M	26	n/a	R	H.S._Diploma
sub-24	M	31	n/a	L	H.S._Diploma
sub-25	F	30	n/a	R	H.S._Diploma
sub-26	M	20	n/a	R	H.S._Diploma
sub-27	M	26	n/a	R	Bachelors_Degree
sub-28	M	25	n/a	R	Masters_Degree
sub-29	F	22	n/a	R	H.S._Diploma
sub-30	F	19	n/a	R	Associates_Degree
