participant_id	age	gender	handedness	physical_match_accuracy	physical_mismatch_accuracy	imagery_match_accuracy	imagery_mismatch_accuracy	literal_match_accuracy	literal_mismatch_accuracy	metaphorical_match_accuracy	metaphorical_mismatch_accuracy	suis_tot	vviq_tot	mit_clock	mit_cube	mit_parts	mit_map	mit_tot	vocabulary_tot
sub-012556f874e46ceb	20	F	R	0.928571428571429	1	1	0.904761904761905	0.976190476190476	0.952380952380952	1	1	43	53	2	6	12	6	26	52
sub-1414eb49570d63b1	24	F	R	0.833333333333333	0.80952380952381	0.857142857142857	0.880952380952381	0.904761904761905	0.976190476190476	0.380952380952381	0.428571428571428	43	63	0	8	12	4	24	55
sub-15835316411b5c34	22	F	R	1	1	0.976190476190476	0.952380952380952	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	46	73	0	3	10	6	19	54
sub-17d3d988b3e6ffd0	21	M	R	1	0.976190476190476	0.976190476190476	0.952380952380952	1	1	0.952380952380952	1	40	64	2	8	12	6	28	57
sub-18921f8b2aef137c	20	M	R	0.952380952380952	0.976190476190476	0.928571428571429	0.952380952380952	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380952	45	46	0	8	12	4	24	59
sub-1d3423dab51140c7	22	F	R	0.976190476190476	1	0.976190476190476	1	0.976190476190476	1	1	1	48	64	0	0	12	6	18	52
sub-243ff942b96662d9	22	M	R	0.976190476190476	1	0.952380952380952	0.976190476190476	0.904761904761905	1	0.976190476190476	1	47	72	0	2	12	6	20	54
sub-2e00a8d753828918	21	M	R	1	1	1	1	1	1	1	1	34	56	0	6	12	6	24	53
sub-366037c8acd1ed30	22	F	R	0.928571428571429	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380952	0.80952380952381	0.833333333333333	45	57	0	1	12	6	19	52
sub-3873e6063aa8f9ea	20	M	R	0.880952380952381	1	0.952380952380952	1	1	1	0.928571428571429	1	41	53	0	8	12	6	26	50
sub-3eccaaddc221d3c8	21	F	R	0.976190476190476	1	0.976190476190476	1	0.928571428571429	1	0.952380952380952	1	50	70	0	6	12	6	24	44
sub-3f7c40e6217282e2	21	F	R	1	1	0.952380952380952	1	0.976190476190476	1	0.976190476190476	1	44	59	2	6	10	6	24	57
sub-415a666fa21a6c47	22	F	R	1	1	1	1	1	0.976190476190476	0.976190476190476	1	43	59	2	0	12	2	16	51
sub-41754b5f16b5714f	21	F	R	0.952380952380952	1	0.952380952380952	0.952380952380952	1	0.976190476190476	0.952380952380952	1	54	56	0	6	12	6	24	59
sub-4391a2e942936f0a	21	F	R	0.976190476190476	0.952380952380952	0.976190476190476	0.928571428571429	0.952380952380952	1	0.976190476190476	0.976190476190476	38	54	0	2	12	6	20	48
sub-5d81161a49f7c9d3	22	F	R	1	0.976190476190476	0.952380952380952	0.928571428571429	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	45	71	4	6	12	6	28	51
sub-63818b449a70924f	25	F	R	0.976190476190476	1	0.976190476190476	1	1	1	0.952380952380952	1	41	49	0	8	12	6	26	59
sub-63ad9b4dcbbd485b	28	F	R	0.928571428571429	1	0.928571428571429	1	1	0.976190476190476	1	1	45	76	0	8	12	6	26	56
sub-63b2fa138fafc8d4	23	M	R	0.976190476190476	0.976190476190476	1	1	0.976190476190476	1	1	0.976190476190476	52	80	0	0	7	6	13	40
sub-65341a178a9daa79	24	M	R	0.976190476190476	1	0.976190476190476	0.952380952380952	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	47	62	0	8	12	6	26	65
sub-81d9c9b4dfe4c8de	22	F	R	1	1	1	1	0.952380952380952	1	1	1	41	69	0	6	11	6	23	54
sub-82233600705d0846	23	F	R	1	1	0.928571428571429	0.833333333333333	1	0.904761904761905	1	0.880952380952381	44	46	0	2	11	6	19	62
sub-841db279d59c0b51	21	M	R	0.976190476190476	1	0.880952380952381	0.80952380952381	0.880952380952381	0.952380952380952	0.952380952380952	1	52	67	0	6	12	6	24	54
sub-8786691c4e6fc2e5	22	F	R	0.976190476190476	1	0.976190476190476	0.976190476190476	1	1	0.928571428571429	0.880952380952381	44	67	0	0	12	6	18	52
sub-8e69605ee0f8d384	25	F	R	0.976190476190476	1	0.952380952380952	0.952380952380952	1	1	0.976190476190476	1	37	56	2	6	12	6	26	58
sub-9015b804dd43db90	20	F	R	0.904761904761905	0.976190476190476	0.952380952380952	0.928571428571429	0.952380952380952	1	0.976190476190476	1	46	52	0	8	10	6	24	56
sub-9b213941d7a81fc3	27	F	R	1	1	0.833333333333333	0.952380952380952	0.880952380952381	1	0.976190476190476	1	50	71	0	6	12	6	24	52
sub-9b73ff02fd0928c7	22	M	R	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	1	1	0.904761904761905	0.952380952380952	45	69	0	6	10	6	22	42
sub-a78d4e1642d5379f	19	M	R	0.904761904761905	1	0.952380952380952	0.880952380952381	0.976190476190476	0.952380952380952	0.928571428571429	1	34	46	0	8	11	6	25	67
sub-b7860593647cdd40	20	F	R	0.880952380952381	0.952380952380952	0.928571428571429	0.880952380952381	0.952380952380952	0.976190476190476	0.904761904761905	0.952380952380952	48	71	2	2	11	4	19	67
sub-bf76fa53d62e95a1	20	F	R	1	0.976190476190476	0.976190476190476	1	1	1	0.952380952380952	1	46	72	0	4	11	6	21	54
sub-c5e2323158813285	20	F	R	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380952	0.976190476190476	0.976190476190476	51	65	0	6	12	6	24	54
sub-ca8ed761c68ab0f8	20	M	R	1	1	0.904761904761905	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	51	69	0	6	12	6	24	62
sub-df69441be127479f	21	F	R	0.857142857142857	1	0.880952380952381	1	0.976190476190476	0.976190476190476	1	1	38	56	0	8	12	6	26	60
sub-e11834dc7699d9b3	27	M	R	0.976190476190476	1	1	1	1	1	1	1	37	46	0	0	11	6	17	40
sub-e56cef5b42176bc4	22	M	R	0.952380952380952	0.976190476190476	0.857142857142857	0.976190476190476	0.904761904761905	0.976190476190476	0.857142857142857	0.976190476190476	44	62	0	4	12	6	22	44
sub-e6063544719600c5	22	M	R	1	0.976190476190476	0.952380952380952	0.952380952380952	0.952380952380952	1	0.904761904761905	0.880952380952381	35	62	0	8	11	2	21	58
sub-e7a087edbc0f3a48	21	F	R	0.833333333333333	1	0.928571428571429	1	0.880952380952381	0.904761904761905	0.976190476190476	1	45	68	0	8	12	4	24	50
sub-f5e9a30d8f989b7e	22	F	R	1	1	0.952380952380952	0.952380952380952	1	0.952380952380952	0.904761904761905	0.952380952380952	48	59	0	6	11	6	23	62
