participant_id	gender	age
sub-01	F	21
sub-02	F	20
sub-03	M	20
sub-04	F	22
sub-05	M	21
sub-06	F	27
sub-07	F	21
sub-08	M	22
sub-09	M	21
sub-10	M	19
sub-11	F	23
sub-12	F	21
sub-13	M	23
sub-14	F	20
sub-15	F	27
sub-16	F	22
sub-17	M	23
sub-18	M	24
sub-19	F	19
sub-20	M	23
sub-21	M	22
sub-22	F	24
sub-23	M	23
sub-24	M	24
sub-25	M	21
sub-26	F	22
sub-27	F	21
sub-28	F	22
sub-29	M	23
sub-30	M	19
sub-31	F	23
sub-32	F	18
sub-33	F	21
sub-34	F	22
sub-35	F	19
sub-36	F	20
sub-37	F	26
sub-38	F	22
sub-39	F	19
sub-40	F	27
sub-41	F	19
