participant_id	age	hand
sub-204	29	R
sub-205	24	R
sub-206	20	R
sub-207	24	R
sub-208	37	R
sub-209	20	R
sub-210	28	R
sub-211	26	R
sub-212	23	R
sub-213	22	R
sub-214	21	R
sub-215	28	R
sub-216	19	R
sub-217	22	R
sub-218	21	R
sub-219	32	R
sub-220	34	R
sub-221	20	R
sub-222	21	R
sub-223	21	R
sub-301	6.3	R
sub-302	6.8	R
sub-303	6.4	R
sub-304	7	R
sub-305	6.5	R
sub-306	6.6	R
sub-307	6.6	R
sub-308	5.9	R
sub-309	6.5	R
sub-310	6.1	R
sub-312	6.2	R
sub-313	6.8	R
sub-314	6.1	R
sub-315	6.7	R
sub-316	6.3	R
sub-317	6	R
sub-318	6	R
sub-320	6.7	R
sub-321	6.3	R
sub-322	6.3	R
sub-323	6.7	R
sub-325	6.8	L
