participant_id	AIM	Localiser
sub-1004	Completed	Completed
sub-1005	Completed	Not completed
sub-1007	Completed	Completed
sub-1009	Completed	Not completed
sub-1010	Completed	Completed
sub-1012	Completed	Not completed
sub-1013	Completed	Completed
sub-1014	Completed	Completed
sub-1015	Completed	Completed
sub-1017	Completed	Completed
sub-1018	Completed	Completed
sub-1019	Completed	Completed
sub-1020	Completed	Completed
sub-1022	Completed	Completed
sub-1023	Completed	Completed
sub-1024	Completed	Completed
sub-1025	Completed	Completed
sub-1026	Completed	Completed
sub-1028	Completed	Completed
sub-1029	Completed	Completed
sub-1030	Completed	Completed
sub-1031	Completed	Completed
sub-1032	Completed	Completed
sub-1033	Completed	Completed
sub-1034	Completed	Completed
sub-1035	Completed	Completed
sub-1036	Completed	Not completed
sub-1037	Completed	Completed
sub-1038	Completed	Completed
sub-1039	Completed	Completed
sub-1041	Completed	Completed
