participant_id	sex	age	date	        group
1	         1	26	2/21/2023	control
2	         2	23	3/14/2023	control
3	         2	25	3/20/2023	experimental
4	         2	24	4/11/2023	control
5	         2	53	4/12/2023	experimental
6	         2	24	5/15/2023	control
7	         1	24	5/8/2023	control
8	         1	21	5/31/2023	control
9	         2	21	10/5/2023	experimental
10	         2	20	10/6/2023	experimental
11	         2	25	10/6/2023	experimental
12	         2	30	10/24/2023	control
13	         1	29	10/10/2023	control
14	         2	30	10/20/2023	experimental
15	         2	29	10/20/2023	experimental
16	         2	25	10/6/2023	control
17	         1	28	10/10/2023	control
18	         1	58	10/10/2023	control
19	         1	27	10/27/2023	control
20	         1	27	10/20/2023	control
21	         1	25	10/10/2023	control
22	         1	36	11/13/2023	control
23	         2	23	11/2/2023	experimental
24	         2	59	11/9/2023	control
25	         2	23	11/20/2023	control
26	         2	23	11/2/2023	control
27	         2	21	11/2/2023	experimental
28	         2	59	11/15/2023	control
29	         2	21	11/9/2023	control
30	         1	50	11/15/2023	control
31	         2	22	11/14/2023	experimental
32	         2	28	11/9/2023	experimental
33	         1	24	11/10/2023	control
34	         1	44	11/24/2023	control
35	         1	25	11/22/2023	control
36	         2	21	11/14/2023	experimental
37	         2	67	11/24/2023	control
38	         2	23	12/1/2023	control
39	         2	25	11/17/2023	experimental
40	         2	43	11/29/2023	experimental
41	         2	21	12/1/2023	experimental
42	         2	21	12/5/2023	experimental
43	         2	32	11/29/2023	control
44	         2	24	12/12/2023	experimental
45	         1	24	11/30/2023	control
46	         2	42	1/29/2024	experimental
47	         2	22	2/7/2024	control
48	         2	28	2/1/2024	experimental
49	         1	30	2/9/2024	experimental
50	         1	23	2/1/2024	experimental
51	         1	25	2/6/2024	experimental
52	         2	19	2/13/2024	experimental
53	         1	21	2/20/2024	experimental
54	         1	23	2/6/2024	experimental
55	         2	24	2/13/2024	experimental
56	         1	50	2/22/2024	experimental
57	         2	24	2/22/2024	experimental
58	         2	24	2/14/2024	control
59	         1	22	3/6/2024	experimental
60	         1	20	3/7/2024	experimental
