participant_id	dataset	age	sex
sub-001	Original_1	29	f
sub-002	Original_1	19	m
sub-003	Original_1	30	f
sub-004	Original_1	23	m
sub-005	Original_1	52	m
sub-006	Original_1	20	m
sub-007	Original_1	26	m
sub-008	Original_1	20	m
sub-009	Original_1	25	m
sub-010	Original_1	22	m
sub-011	Original_1	21	m
sub-012	Original_1	22	f
sub-013	Original_1	21	m
sub-014	Original_1	23	f
sub-015	Original_1	22	m
sub-016	Original_1	19	m
sub-017	Original_1	25	m
sub-018	Original_1	44	f
sub-019	Original_1	18	m
sub-020	Original_1	23	m
sub-021	Original_1	24	m
sub-022	Original_1	31	m
sub-023	Original_1	23	f
sub-024	Original_1	21	f
sub-025	Original_1	20	f
sub-026	Original_1	19	m
sub-027	Original_1	19	f
sub-028	Original_2	36	f
sub-029	Original_2	18	f
sub-030	Original_2	32	m
sub-031	Original_2	26	m
sub-032	Original_2	27	m
sub-033	Original_2	30	m
sub-034	Original_2	34	m
sub-035	Original_2	35	f
sub-036	Original_2	33	m
sub-037	Original_2	27	m
sub-038	Original_2	26	f
sub-039	Original_2	27	m
sub-040	Original_2	32	m
sub-041	Original_2	25	m
sub-042	Original_2	27	m
sub-043	Original_2	27	f
sub-044	Original_2	18	m
sub-045	Original_2	26	m
sub-046	Original_2	24	m
sub-047	Original_2	38	f
sub-048	Original_2	30	f
sub-049	Original_2	47	m
sub-050	Original_2	18	f
sub-051	Original_2	25	m
sub-052	Original_2	28	m
sub-053	Original_2	22	m
sub-054	Original_2	23	m
sub-055	Original_2	19	f
sub-056	Original_2	42	m
sub-057	Original_2	27	m
sub-058	Original_2	19	f
sub-059	Original_2	30	f
sub-060	Original_2	22	m
sub-061	Original_2	35	f
sub-062	Original_2	25	m
sub-063	Original_2	19	f
sub-064	Original_2	23	m
sub-065	Original_2	22	m
sub-066	Original_2	25	m
sub-067	Original_2	19	f
sub-068	Original_2	32	m
sub-069	Original_2	35	f
sub-070	Original_2	21	m
sub-071	Original_2	23	f
sub-072	Original_2	37	m
sub-073	Original_2	29	m
sub-074	Original_2	24	m
sub-075	Original_2	23	m
