"participant_id,timepoint,session,age,Sex,MEd,HLE,FHD,pre_word_access_raw,pre_word_fluency_raw,pre_substitution_raw,pre_wjiv_oralcomp_raw,pre_wjiv_pvocab_raw,pre_wjiv_phonproc_standard,pre_wjiv_orallang_standard,kbit2_raw,kbit2_standard,beg_wrmt3_wrd_id_raw,beg_wrmt3_wrdatt_raw,beg_wrmt3_wrd_id_stnd,beg_wrmt3_wrdatt_stnd,pre_beh_age,beg_beh_age,euler,qc_s,qc_ARC_L,qc_ARC_R,qc_ILF_L,qc_ILF_R,qc_SLF_L,qc_SLF_R,inf_num_books_adult_ord,inf_ebooks_adult_ord,inf_books_kids_ord,inf_ebooks_kids_ord,inf_reading_age_child_ord,inf_child_reading_time_ord,inf_child_count,inf_child_alphabet,inf_fam_readership,inf_fam_write_notes,inf_fam_write_creative,inf_fam_joke,tod_num_books_adult_ord,tod_ebooks_adult_ord,tod_books_kids_ord,tod_ebooks_kids_ord,tod_reading_age_child_ord,tod_child_reading_time_ord,tod_child_count,tod_child_alphabet,tod_fam_readership,tod_fam_write_notes,tod_fam_write_creative,tod_fam_joke,pre_num_books_adult_ord,pre_ebooks_adult_ord,pre_books_kids_ord,pre_ebooks_kids_ord,pre_reading_age_child_ord,pre_child_reading_time_ord,pre_child_count,pre_child_alphabet,pre_fam_readership,pre_fam_write_notes,pre_fam_write_creative,pre_fam_joke,beg_num_books_adult_ord,beg_ebooks_adult_ord,beg_books_kids_ord,beg_ebooks_kids_ord,beg_reading_age_child_ord,beg_child_reading_time_ord,beg_child_count,beg_child_alphabet,beg_fam_readership,beg_fam_write_notes,beg_fam_write_creative,beg_fam_joke,rea_num_books_adult_ord,rea_ebooks_adult_ord,rea_books_kids_ord,rea_ebooks_kids_ord,rea_reading_age_child_ord,rea_child_reading_time_ord,rea_child_count,rea_child_alphabet,rea_fam_readership,rea_fam_write_notes,rea_fam_write_creative,rea_fam_joke"
"sub-01,INF,1,6.703077092,1,16,-0.261654345,1,6,1,2,11,26,81,104,12,80,NA,NA,NA,NA,73.06176084,NA,-16,1.333333333,2,2,2,2,2,2,3,1,6,1,1,5,2,2,6,4,3,6,3,1,4,1,1,1,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-01,TOD,2,18.2325887,1,16,-0.261654345,1,6,1,2,11,26,81,104,12,80,NA,NA,NA,NA,73.06176084,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,1,1,5,2,2,6,4,3,6,3,1,4,1,1,1,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-01,PRE,3,74.44152431,1,16,-0.261654345,1,6,1,2,11,26,81,104,12,80,NA,NA,NA,NA,73.06176084,NA,-150,2,2,2,2,2,2,1.5,3,1,6,1,1,5,2,2,6,4,3,6,3,1,4,1,1,1,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-02,INF,1,8.015768725,1,20,0.142268438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,2,2,2,2,2,2,2,6,3,4,1,3,3,1,1,1,6,1,6,6,2,4,1,4,3,3,3,6,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-02,TOD,2,18.19973719,1,20,0.142268438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,1.5,2,2,2,2,2,2,6,3,4,1,3,3,1,1,1,6,1,6,6,2,4,1,4,3,3,3,6,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-03,INF,1,2.496714849,0,16,-0.269768046,0,11,13,7,12,25,131,120,14,101,27,16,133,128,58.63994744,79.59921156,-7,1.333333333,0,2,2,2,1,1,3,3,4,1,1,2,3,3,4,5,4,4,2,2,4,1,2,4,2,3,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-03,TOD,2,16.98560009,0,16,-0.269768046,0,11,13,7,12,25,131,120,14,101,27,16,133,128,58.63994744,79.59921156,-15,2,2,2,2,2,2,2,3,3,4,1,1,2,3,3,4,5,4,4,2,2,4,1,2,4,2,3,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-03,PRE,3,58.67279895,0,16,-0.269768046,0,11,13,7,12,25,131,120,14,101,27,16,133,128,58.63994744,79.59921156,-34,2,2,2,2,2,2,2,3,3,4,1,1,2,3,3,4,5,4,4,2,2,4,1,2,4,2,3,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-04,INF,1,12.71353482,0,20,-0.288351918,1,9,6,6,16,24,118,125,20,116,21,8,121,111,60.282523,78.64651774,-20,1.666666667,NA,NA,NA,NA,NA,NA,5,2,3,1,1,3,2,2,5,5,2,3,5,1,3,1,1,5,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-04,TOD,2,18.00262812,0,20,-0.288351918,1,9,6,6,16,24,118,125,20,116,21,8,121,111,60.282523,78.64651774,-13,2,2,2,2,2,2,2,5,2,3,1,1,3,2,2,5,5,2,3,5,1,3,1,1,5,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
