participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses 1	name ses2	weight ses2	age ses 2	name ses3	weight ses3	age ses 3	name ses4	weight ses4	age ses 4
sub-C987	Sub1	mus musculus	C57BL/6J	male	HET	16Mbase	27	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C989	Sub2	mus musculus	C57BL/6J	male	HET	16Mbase	28.4	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C990	Sub3	mus musculus	C57BL/6J	male	HET	16Mbase	29.4	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C991	Sub4	mus musculus	C57BL/6J	male	HET	16Mbase	29.7	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C992	Sub5	mus musculus	C57BL/6J	male	HET	16Mbase	30.3	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C993	Sub6	mus musculus	C57BL/6J	male	HET	16Mbase	29.8	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C994	Sub7	mus musculus	C57BL/6J	male	HET	16Mbase	28.5	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C995	Sub8	mus musculus	C57BL/6J	male	HET	16Mbase	26.3	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C996	Sub9	mus musculus	C57BL/6J	male	HET	16Mbase	28.7	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C997	Sub10	mus musculus	C57BL/6J	male	HET	16Mbase	26.8	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C998	Sub11	mus musculus	C57BL/6J	male	HET	16Mbase	29	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-C999	Sub12	mus musculus	C57BL/6J	male	HET	16Mbase	30.1	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D001	Sub13	mus musculus	C57BL/6J	male	HET	16Mbase	27.7	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D002	Sub14	mus musculus	C57BL/6J	male	HET	16Mbase	27.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D004	Sub15	mus musculus	C57BL/6J	male	HET	16Mbase	24.1	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D005	Sub16	mus musculus	C57BL/6J	male	HET	16Mbase	32.4	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D006	Sub17	mus musculus	C57BL/6J	male	HET	16Mbase	29.9	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D007	Sub18	mus musculus	C57BL/6J	male	HET	16Mbase	27	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D008	Sub19	mus musculus	C57BL/6J	male	HET	16Mbase	27.3	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D009	Sub20	mus musculus	C57BL/6J	male	HET	16Mbase	26.5	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D010	Sub21	mus musculus	C57BL/6J	male	HET	16Mbase	28	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D011	Sub22	mus musculus	C57BL/6J	male	HET	16Mbase	27.4	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D012	Sub23	mus musculus	C57BL/6J	male	WT	16Mbase	47.7	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D013	Sub24	mus musculus	C57BL/6J	male	WT	16Mbase	48.9	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D014	Sub25	mus musculus	C57BL/6J	male	WT	16Mbase	39.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D015	Sub26	mus musculus	C57BL/6J	male	WT	16Mbase	36.4	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D016	Sub27	mus musculus	C57BL/6J	male	WT	16Mbase	40.3	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D018	Sub28	mus musculus	C57BL/6J	male	WT	16Mbase	37.1	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D019	Sub29	mus musculus	C57BL/6J	male	WT	16Mbase	35.1	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D021	Sub30	mus musculus	C57BL/6J	male	WT	16Mbase	36.4	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D022	Sub31	mus musculus	C57BL/6J	male	WT	16Mbase	34.1	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D023	Sub32	mus musculus	C57BL/6J	male	WT	16Mbase	52.8	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D025	Sub33	mus musculus	C57BL/6J	male	WT	16Mbase	40.8	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D026	Sub34	mus musculus	C57BL/6J	male	WT	16Mbase	40.2	69	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D027	Sub35	mus musculus	C57BL/6J	male	WT	16Mbase	37.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D028	Sub36	mus musculus	C57BL/6J	male	WT	16Mbase	36.1	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D029	Sub37	mus musculus	C57BL/6J	male	WT	16Mbase	35.8	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D030	Sub38	mus musculus	C57BL/6J	male	WT	16Mbase	40.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D031	Sub39	mus musculus	C57BL/6J	male	WT	16Mbase	37	67	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D032	Sub40	mus musculus	C57BL/6J	male	WT	16Mbase	42.7	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D033	Sub41	mus musculus	C57BL/6J	male	WT	16Mbase	42.9	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D034	Sub42	mus musculus	C57BL/6J	male	WT	16Mbase	39.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D035	Sub43	mus musculus	C57BL/6J	male	WT	16Mbase	40.9	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D036	Sub44	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	33.9	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D037	Sub45	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	35.2	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D038	Sub46	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	39.6	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D039	Sub47	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	35.8	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D040	Sub48	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	30.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D041	Sub49	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	39.1	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D042	Sub50	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	36.7	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D043	Sub51	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	34.9	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D045	Sub52	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	37.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D046	Sub53	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	40.8	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D047	Sub54	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	33.3	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D050	Sub55	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	32.2	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D051	Sub56	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	34.7	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D052	Sub57	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	34	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
