participant_id	lab
sub-001	lab_1
sub-002	lab_1
sub-003	lab_1
sub-004	lab_1
sub-005	lab_1
sub-006	lab_1
sub-007	lab_1
sub-008	lab_1
sub-009	lab_1
sub-010	lab_1
sub-011	lab_4
sub-012	lab_4
sub-013	lab_4
sub-014	lab_4
sub-015	lab_4
sub-016	lab_4
sub-017	lab_4
sub-018	lab_4
sub-019	lab_4
sub-020	lab_4
sub-021	lab_4
sub-022	lab_4
sub-023	lab_4
sub-024	lab_4
sub-025	lab_4
sub-026	lab_4
sub-027	lab_4
sub-028	lab_4
sub-029	lab_4
sub-030	lab_4
sub-031	lab_4
sub-032	lab_4
sub-033	lab_4
sub-034	lab_4
sub-035	lab_4
sub-036	lab_4
sub-037	lab_4
sub-038	lab_3
sub-039	lab_3
sub-040	lab_3
sub-041	lab_3
sub-042	lab_3
sub-043	lab_3
sub-044	lab_3
sub-045	lab_3
sub-046	lab_3
sub-047	lab_3
sub-048	lab_3
sub-049	lab_3
sub-050	lab_3
sub-051	lab_3
sub-052	lab_3
sub-053	lab_3
sub-054	lab_3
sub-055	lab_3
sub-056	lab_3
sub-057	lab_3
sub-058	lab_3
sub-059	lab_3
sub-060	lab_3
sub-061	lab_3
sub-062	lab_3
sub-063	lab_3
sub-064	lab_3
sub-065	lab_3
sub-066	lab_3
sub-067	lab_3
sub-068	lab_3
sub-069	lab_3
sub-070	lab_2
sub-071	lab_2
sub-072	lab_2
sub-073	lab_2
sub-074	lab_2
sub-075	lab_2
sub-076	lab_2
sub-077	lab_2
sub-078	lab_2
sub-079	lab_2
sub-080	lab_2
sub-081	lab_2
sub-082	lab_2
sub-083	lab_2
sub-084	lab_2
sub-085	lab_2
sub-086	lab_2
sub-087	lab_5
sub-088	lab_5
sub-089	lab_5
sub-090	lab_5
sub-091	lab_5
sub-092	lab_5
