participant_id	study_description
sub-S001	Matrix Calibration
sub-S002	Matrix Calibration
sub-S003	Matrix Calibration
sub-S005	Matrix Calibration
sub-S006	Matrix Calibration
sub-S007	Matrix Calibration
sub-S008	Matrix Calibration
sub-S009	Matrix Calibration
sub-S010	Matrix Calibration
sub-S011	Matrix Calibration
sub-S012	Matrix Calibration
sub-S013	Matrix Calibration
sub-S014	Matrix Calibration
sub-S015	Matrix Calibration
sub-S016	Matrix Calibration
sub-S017	Matrix Calibration
sub-S018	Matrix Calibration
sub-S019	Matrix Calibration
sub-S020	Matrix Calibration
sub-S021	Matrix Calibration
sub-S022	Matrix Calibration
