participant_id	participant_original_id
sub-001	P101
sub-002	P102
sub-003	P103
sub-004	P104
sub-005	P106
sub-006	P107
sub-007	P108
sub-008	P109
sub-009	P110
sub-010	P111
sub-011	P112
sub-012	P113
sub-013	P114
sub-014	P115
sub-015	P116
sub-016	P117
sub-017	P118
sub-018	P119
sub-019	P120
sub-020	P121
sub-021	P122
sub-022	P123
sub-023	P124
sub-024	P125
sub-025	P126
sub-026	P127
sub-027	P128
sub-028	P129
sub-029	P130
sub-030	P131
sub-031	P132
sub-032	P133
sub-033	P134
sub-034	P135
sub-035	P136
sub-036	P137
sub-037	P138
sub-038	P139
sub-039	P140
sub-040	P143
sub-041	P144
sub-042	P145
sub-043	P147
sub-044	P148
sub-045	P149
sub-046	P150
sub-047	P151
