participant_id	sex	group	weight_ses-PND30	weight_ses-PND90	actual_age_in_days_PND30	actual_age_in_days_PND90	litter_moniker	litter_size
sub-COMR202c	F	KO	17.66	24.76	30	89	COMR202	6
sub-COMR202d	F	WT	16.85	23.1	30	89	COMR202	6
sub-COMR202e	F	KO	18.15	24.1	30	89	COMR202	6
sub-COMR331e	F	WT	13.36	23.62	28	85	COMR331	6
sub-COMR311h	F	KO	13.53	22.26	28	88	COMR311	9
sub-COMR351i	F	WT	14.01	21.88	29	88	COMR351	9
sub-COMR291e	F	WT	14.22	21.39	31	88	COMR291	9
sub-COMR291f	F	WT	16.44	24.07	31	88	COMR291	9
sub-COMR291h	F	WT	14.29	20.85	31	88	COMR291	9
sub-COMR291i	F	KO	14.25	21.05	31	90	COMR291	9
sub-COMR301a	F	KO	14.61	19.87	31	89	COMR301	8
sub-COMR301b	F	KO	15.61	23.44	31	89	COMR301	8
sub-COMR301d	F	WT	14.56	21.76	31	89	COMR301	8
sub-COMR301e	F	KO	14.59	22.37	31	89	COMR301	8
sub-COMR212a	F	KO	17.86	26.19	31	89	COMR212	3
sub-COMR212b	F	KO	15.61	23.56	31	89	COMR212	3
sub-COMR212c	F	KO	14.37	23.39	31	89	COMR212	3
sub-COMR232b	F	WT	16.67	25.45	30	88	COMR232	7
sub-COMR232f	F	WT	15.37	25.03	30	88	COMR232	7
sub-COMR242i	F	WT	10.45	21.49	27	84	COMR242	11
sub-COMR341a	F	WT	18.21	23.84	31	89	COMR341	5
sub-COMR341e	F	KO	13.43	22.02	31	89	COMR341	5
sub-COMR321a	M	WT	20.05	29.5	31	89	COMR321	6
sub-COMR321c	M	KO	20.9	29.62	31	92	COMR321	6
sub-COMR331a	M	WT	13.81	29.26	28	91	COMR331	6
sub-COMR331b	M	WT	18.35	30.52	29	88	COMR331	6
sub-COMR331c	M	WT	15.93	29.89	29	88	COMR331	6
sub-COMR351a	M	KO	14.86	30.19	29	88	COMR351	9
sub-COMR351b	M	WT	14.45	30.37	29	89	COMR351	9
sub-COMR351f	M	KO	16.72	32.34	29	89	COMR351	9
sub-COMR291a	M	KO	19.24	25.68	31	88	COMR291	9
sub-COMR291c	M	KO	17.37	27.64	31	88	COMR291	9
sub-COMR301c	M	KO	18.67	26.47	31	90	COMR301	8
sub-COMR301f	M	WT	19.52	30.82	31	90	COMR301	8
sub-COMR232a	M	WT	17.78	30.74	31	89	COMR232	7
sub-COMR232d	M	KO	16.36	28.04	31	89	COMR232	7
sub-COMR232e	M	KO	16.73	28.1	31	89	COMR232	7
sub-COMR242b	M	KO	11.36	26.8	27	89	COMR242	11
sub-COMR242d	M	WT	13.1	27.71	27	89	COMR242	11
sub-COMR242e	M	KO	12.77	26.06	27	89	COMR242	11
sub-COMR221a	M	KO	19.3	27.01	31	83	COMR221	8
sub-COMR221c	M	WT	19.62	27.33	31	83	COMR221	8
sub-COMR194a	M	KO	18.92	28.71	31	86	COMR194	7
sub-COMR194c	M	WT	18.61	29.32	31	86	COMR194	7
sub-COMR381a	M	WT	18.94	30.31	30	85	COMR381	10
sub-COMR381d	M	KO	16.41	27.12	30	85	COMR381	10
sub-COMR381e	M	WT	16.16	28.01	30	86	COMR381	10
sub-COMR381g	M	WT	16.23	27.16	30	86	COMR381	10
sub-COMR194e	F	KO	15.89	22.87	31	81	COMR194	8
sub-COMR221f	F	WT	15.77	21.08	31	87	COMR221	8
sub-COMR381h	F	WT	12.97	21.69	30	83	COMR381	10
sub-COMR194d	F	KO	14.28	21.0	31	86	COMR194	8
sub-COMR194f	F	WT	16.99	24.67	31	86	COMR194	8
sub-COMR332d	M	WT	15.24	26.43	30	89	COMR332	7
sub-COMR332e	M	KO	16.39	26.46	30	89	COMR332	7
sub-COMR233f	M	WT	17.68	31.97	29	86	COMR233	9
sub-COMR302c	F	KO	13.03	23.15	30	88	COMR302	7
sub-COMR302d	F	KO	11.94	22.29	30	88	COMR302	7
sub-COMR332f	F	WT	13.16	19.28	30	89	COMR332	7
sub-COMR233a	F	WT	14.27	24.28	29	86	COMR233	9
sub-COMR431a	F	KO	12.2	23.55	28	90	COMR431	7
sub-COMR431c	F	WT	14.17	26.4	28	90	COMR431	7
sub-COMR431d	M	KO	15.08	29.44	28	90	COMR431	7
sub-COMR431e	M	KO	15.29	29.79	28	90	COMR431	7
sub-COMR391b	M	WT	21.61	33.64	28	90	COMR391	3
sub-COMR391c	M	KO	18.29	31.04	28	90	COMR391	3
sub-COMR421b	M	WT	17.81	n/a	29	91	COMR421	7
sub-COMR421c	M	KO	15.71	n/a	29	91	COMR421	7
sub-COMR421f	F	WT	16.42	n/a	29	91	COMR421	7
