participant_id	sex	group	litter_moniker
sub-COMR22a	M	WT	COMR2.2
sub-COMR22b	M	KO	COMR2.2
sub-COMR22e	F	KO	COMR2.2
sub-COMR22f	F	WT	COMR2.2
sub-COMR34f	F	KO	COMR3.4
sub-COMR34i	F	KO	COMR3.4
sub-COMR34a	M	KO	COMR3.4
sub-COMR34b	M	KO	COMR3.4
sub-COMR35f	F	KO	COMR3.5
sub-COMR35g	F	KO	COMR3.5
sub-COMR35b	M	WT	COMR3.5
sub-COMR35d	M	WT	COMR3.5
sub-COMR35c	M	WT	COMR3.5
sub-COMR141f	F	KO	COMR14.1
sub-COMR181e	F	WT	COMR18.1
sub-COMR141a	M	KO	COMR14.1
sub-COMR141b	M	WT	COMR14.1
sub-COMR141d	M	WT	COMR14.1
sub-COMR171a	M	KO	COMR17.1
sub-COMR171b	M	KO	COMR17.1
sub-COMR161b	M	KO	COMR16.1
sub-COMR161e	F	KO	COMR16.1
sub-COMR171d	F	WT	COMR17.1
sub-COMR181f	F	KO	COMR18.1
sub-COMR192c	F	WT	COMR19.2
sub-COMR192e	F	WT	COMR19.2
sub-COMR231d	F	WT	COMR23.1
sub-COMR231e	F	WT	COMR23.1
sub-COMR231b	M	KO	COMR23.1
sub-COMR241c	M	WT	COMR24.1
sub-COMR241d	M	KO	COMR24.1
sub-COMR191d	F	WT	COMR19.1
sub-COMR191f	F	KO	COMR19.1
sub-COMR191a	M	WT	COMR19.1
sub-COMR191b	M	WT	COMR19.1
sub-COMR192a	M	WT	COMR19.2
sub-COMR192b	M	WT	COMR19.2
sub-COMR251c	M	KO	COMR25.1
sub-COMR271a	M	KO	COMR27.1
