participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses1	name ses2	weight ses2	age ses2	name ses3	weight ses3	age ses3	name ses4	weight ses4	age ses4	name ses5	weight ses5	age ses5
sub-D346	Sub1	mus musculus	C57BL/6J	male	WT	9Mbase	34.3	38.1429	ME	n/a	n/a	ME2	n/a	n/a	RT	32.2	40	3Mbase	n/a	n/a
sub-D347	Sub2	mus musculus	C57BL/6J	male	WT	9Mbase	32.3	40.7143	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D349	Sub3	mus musculus	C57BL/6J	male	WT	9Mbase	35.3	40.7143	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D350	Sub4	mus musculus	C57BL/6J	male	WT	9Mbase	33.6	38.8571	ME	n/a	n/a	ME2	n/a	n/a	RT	33.4	39.7143	3Mbase	n/a	n/a
sub-D354	Sub5	mus musculus	C57BL/6J	male	WT	9Mbase	37.5	38.8571	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D355	Sub6	mus musculus	C57BL/6J	male	WT	9Mbase	37.6	38.4286	ME	n/a	n/a	ME2	n/a	n/a	RT	34.2	40.2857	3Mbase	n/a	n/a
sub-D356	Sub7	mus musculus	C57BL/6J	male	WT	9Mbase	39.1	40.2857	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D359	Sub8	mus musculus	C57BL/6J	male	WT	9Mbase	36.9	38.8571	ME	n/a	n/a	ME2	n/a	n/a	RT	36.7	39.8571	3Mbase	n/a	n/a
sub-D360	Sub9	mus musculus	C57BL/6J	male	WT	9Mbase	35.3	39	ME	n/a	n/a	ME2	n/a	n/a	RT	33.8	40.7143	3Mbase	n/a	n/a
sub-D361	Sub10	mus musculus	C57BL/6J	male	WT	9Mbase	37.2	38.1429	ME	n/a	n/a	ME2	n/a	n/a	RT	35.4	41	3Mbase	n/a	n/a
sub-D362	Sub11	mus musculus	C57BL/6J	male	WT	9Mbase	34.7	38.4286	ME	n/a	n/a	ME2	n/a	n/a	RT	33.8	40.2857	3Mbase	n/a	n/a
sub-D363	Sub12	mus musculus	C57BL/6J	male	WT	9Mbase	32	38.8571	ME	n/a	n/a	ME2	n/a	n/a	RT	31.7	40.8571	3Mbase	n/a	n/a
sub-D364	Sub13	mus musculus	C57BL/6J	male	WT	9Mbase	38.6	38.8571	ME	n/a	n/a	ME2	n/a	n/a	RT	36.3	40.2857	3Mbase	n/a	n/a
sub-D366	Sub14	mus musculus	C57BL/6J	male	WT	9Mbase	32.5	40	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D368	Sub15	mus musculus	C57BL/6J	male	WT	9Mbase	34.6	40	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D370	Sub16	mus musculus	C57BL/6J	male	WT	9Mbase	31.6	41	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
