participant_id	date	counterbalancing	player1_age	player1_gender	player1_handedness	player2_age	player2_gender	player2_handedness
sub-02	9-Apr-24	2	20	F	R	20	M	R
sub-03	11-Apr-24	1	20	F	R	28	M	R
sub-04	11-Apr-24	2	23	M	R	27	F	R
sub-05	16-Apr-24	3	31	F	R	25	F	R
sub-06	16-Apr-24	4	21	F	R	20	F	R
sub-07	16-Apr-24	3	21	M	R	22	F	R
sub-08	17-Apr-24	4	25	M	R	25	M	R
sub-09	17-Apr-24	1	24	M	R	24	M	L
sub-11	19-Apr-24	3	19	F	R	19	F	R
sub-12	19-Apr-24	4	22	M	R	22	M	R
sub-13	19-Apr-24	1	24	M	R	26	F	R
sub-14	22-Apr-24	2	23	M	R	23	F	R
sub-15	22-Apr-24	3	22	F	R	22	M	R
sub-16	22-Apr-24	4	27	M	R	25	F	R
sub-17	23-Apr-24	1	21	F	R	24	F	R
sub-18	23-Apr-24	2	24	F	R	27	M	R
sub-19	23-Apr-24	3	25	M	L	23	M	L
sub-20	24-Feb-24	4	30	M	R	25	M	R
sub-21	29-Apr-24	1	23	M	R	23	M	R
sub-22	29-Apr-24	2	24	F	L	20	M	R
sub-23	29-Apr-24	3	24	F	R	25	F	R
sub-24	30-Apr-24	4	24	F	R	24	F	R
sub-25	30-Apr-24	1	21	M	R	22	M	R
sub-26	30-Apr-24	2	23	F	R	30	F	R
