participant_id	age	sex	hand	EEG_excluded	RS_excluded	behavior_excluded
sub-001	20	f	r	no	no	no
sub-002	19	f	r	no	yes	no
sub-003	21	f	l	no	yes	no
sub-004	21	f	r	no	yes	no
sub-005	22	f	r	no	yes	no
sub-006	18	m	r	no	yes	no
sub-007	20	f	r	no	no	no
sub-008	18	m	r	no	yes	no
sub-009	20	f	l	no	yes	no
sub-010	23	f	r	no	no	no
sub-011	18	f	r	no	yes	no
sub-012	19	f	r	no	no	no
sub-013	18	m	r	no	no	no
sub-015	19	f	r	no	no	no
sub-016	19	f	l	no	no	no
sub-017	21	f	r	no	no	no
sub-018	18	f	l	no	no	no
sub-020	19	f	r	no	no	no
sub-021	19	f	b	no	no	no
sub-022	18	f	r	no	no	no
sub-023	19	f	r	no	no	no
sub-024	19	f	r	no	no	no
sub-025	19	f	r	no	no	no
sub-026	18	f	r	no	no	no
sub-027	20	f	r	no	no	no
sub-028	19	f	l	no	no	no
sub-031	19	m	r	no	no	no
sub-032	19	f	r	no	no	no
sub-034	23	f	r	no	no	no
sub-035	32	m	r	no	no	no
