participant_id	nr	age	sex
sub-02	2	27	F
sub-04	4	28	F
sub-06	6	31	M
sub-07	7	28	M
sub-09	9	25	M
sub-10	10	39	F
sub-13	13	26	M
sub-15	15	26	F
sub-16	16	24	F
sub-17	17	25	F
sub-18	18	24	M
sub-19	19	25	M
sub-20	20	24	F
sub-21	21	26	F
sub-22	22	26	M
sub-23	23	26	M
sub-24	24	26	F
sub-28	28	30	M
sub-31	31	40	M
sub-32	32	25	M
sub-34	34	28	F
sub-35	35	32	F
sub-37	37	24	F
sub-39	39	31	M
sub-40	40	40	F
sub-42	42	29	F
sub-43	43	24	M
sub-44	44	26	F
sub-45	45	43	M
sub-46	46	40	F
sub-47	47	27	F
sub-48	48	26	M
sub-51	51	23	M
sub-52	52	27	M
sub-54	54	21	F
sub-55	55	25	M
sub-58	58	27	F
sub-61	61	25	F
sub-62	62	27	M
sub-63	63	24	M
sub-64	64	46	F
sub-65	65	26	F
sub-66	66	32	F
sub-68	68	26	F
sub-69	69	36	F
sub-70	70	19	M
sub-71	71	27	F
sub-72	72	45	F
sub-73	73	25	M
sub-75	75	21	M
sub-76	76	27	M
sub-77	77	24	M
sub-78	78	26	F
sub-81	81	30	M
sub-82	82	50	M
sub-83	83	41	F
sub-85	85	26	M
sub-86	86	61	F
sub-88	88	25	NB
sub-90	90	32	M
sub-91	91	38	F
sub-92	92	23	F
sub-93	93	26	F
