participant_id	Notes
sub-001	No notes
sub-002	No notes
sub-003	No notes
sub-004	No notes
sub-005	No notes
sub-006	No notes
sub-007	No notes
sub-008	No notes
sub-009	No notes
sub-010	Exlcuded due to misunderstanding of the task
sub-011	No notes
sub-012	No notes
sub-013	No notes
sub-014	No notes
sub-015	No notes
sub-016	No notes
sub-017	Excluded due to exclusion criteria (see the paper)
sub-018	No notes
sub-019	No notes
sub-020	Excluded due to misunderstanding of the task
sub-021	No notes
sub-022	No notes
sub-023	No notes
sub-024	No notes
sub-025	No notes
sub-026	No notes
sub-027	No notes
sub-028	No notes
sub-029	Only included in the behavioral analysis due to EEG noise
sub-030	No notes
sub-031	No notes
sub-032	No notes
