participant_id	age	sex	group	handedness	foreign_languages
sub-101	20	f	Braille	r	2
sub-102	22	f	Braille	r	3
sub-103	19	f	Braille	r	2
sub-105	22	f	Braille	r	2
sub-109	20	f	Braille	r	1
sub-110	23	f	Braille	r	2
sub-112	21	f	Braille	r	2
sub-113	20	f	Braille	r	3
sub-114	22	f	Braille	r	2
sub-115	19	f	Braille	r	6
sub-116	23	f	Braille	r	2
sub-118	19	f	Braille	r	2
sub-123	20	f	Braille	r	2
sub-124	21	f	Braille	r	2
sub-126	21	f	Braille	r	1
sub-128	23	f	Braille	r	2
sub-129	22	f	Braille	r	2
sub-201	21	f	Music	r	2
sub-202	21	f	Music	r	2
sub-203	21	f	Music	r	1
sub-204	22	f	Music	r	2
sub-205	22	f	Music	r	2
sub-206	21	f	Music	r	1
sub-207	22	f	Music	r	1
sub-208	22	f	Music	r	2
sub-209	19	f	Music	r	2
sub-210	23	f	Music	r	1
sub-211	23	f	Music	r	4
sub-212	20	f	Music	r	2
sub-213	21	f	Music	r	3
sub-214	20	f	Music	r	2
sub-215	23	f	Music	r	1
sub-216	23	f	Music	r	3
sub-217	21	f	Music	r	1
sub-218	19	f	Music	r	3
sub-219	21	f	Music	r	2
sub-220	22	f	Music	r	1
sub-221	21	f	Music	r	1
sub-222	22	f	Music	r	2
sub-223	23	f	Music	r	1
sub-224	18	f	Music	r	2
sub-301	24	f	Control	r	1
sub-302	23	f	Control	r	3
sub-305	20	f	Control	r	3
sub-307	20	f	Control	r	2
sub-308	22	f	Control	r	2
sub-310	20	f	Control	r	2
sub-311	21	f	Control	r	3
sub-313	21	f	Control	r	2
sub-314	20	f	Control	r	2
sub-316	22	f	Control	r	3
sub-317	20	f	Control	r	1
sub-318	19	f	Control	r	2
sub-319	21	f	Control	r	1
sub-320	19	f	Control	r	2
sub-321	23	f	Control	r	3
sub-322	19	f	Control	r	2
sub-323	20	f	Control	r	3
sub-324	19	f	Control	r	3
sub-325	23	f	Control	r	2
