participant_id	age	gender	cat	recog
sub-1	24	0	0.37254902	0.166666667
sub-2	21	0	0.901960784	0.682539683
sub-3	19	0	0.705882353	0.611111111
sub-7	28	1	0.764705882	0.952380952
sub-8	18	0	0.843137255	0.595238095
sub-11	18	0	0.549019608	0.650793651
sub-12	20	0	0.568627451	0.817460317
sub-13	19	1	0.607843137	0.571428571
sub-14	20	2	0.68627451	0.492063492
sub-16	23	1	0.509803922	0.650793651
sub-17	20	0	0.450980392	0.674603175
sub-18	19	0	0.254901961	0.46031746
sub-19	19	0	0.941176471	0.436507937
sub-20	20	0	0.823529412	0.420634921
sub-21	22	0	0.960784314	0.865079365
sub-22	19	0	0.882352941	0.611111111
sub-23	18	0	0.960784314	0.341269841
sub-24	18	0	0.31372549	0.833333333
sub-26	20	0	0.823529412	0.865079365
sub-28	20	0	0.843137255	0.571428571
sub-29	19	1	0.901960784	0.706349206
sub-30	20	0	0.764705882	0.76984127
sub-31	18	0	0.921568627	0.753968254
sub-32	19	0	0.450980392	0.325396825
sub-33	18	0	0.470588235	0.73015873
sub-35	18	0	0.647058824	0.817460317
sub-36	18	0	0.901960784	0.841269841
sub-37	18	1	0.941176471	0.928571429
sub-38	19	1	0.666666667	0.80952381
sub-39	20	0	0.960784314	0.753968254
sub-41	18	1	0.882352941	0.666666667
sub-42	19	1	0.803921569	0.888888889
sub-43	20	0	0.588235294	0.865079365
sub-44	18	0	0.588235294	0.857142857
sub-45	19	0	0.960784314	0.365079365
sub-46	22	1	0.647058824	0.357142857
sub-47	23	1	0.980392157	0.682539683
sub-48	19	0	0.960784314	0.817460317
sub-50	19	0	0.647058824	0.650793651
sub-51	19	1	0.980392157	0.523809524
sub-52	19	1	0.352941176	0.746031746
sub-54	21	1	0.62745098	0.547619048
sub-55	21	1	0.862745098	0.428571429
sub-57	18	0	0.647058824	0.880952381
sub-58	19	1	0.803921569	0.682539683
sub-62	20	0	0.862745098	0.103174603
sub-64	18	0	0.647058824	0.111111111
sub-66	20	1	0.921568627	0.595238095
sub-67	19	0	1	0.507936508
sub-68	27	1	0.960784314	0.682539683
sub-69	18	0	0.843137255	0.222222222
sub-70	20	1	0.411764706	0.444444444
