participant_id	age	sex	hand	is_controlled_block	profession	b1_deviant	b2_deviant	b3_deviant	weight	height
sub-sd011	30	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd012	25	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd013	25	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd014	28	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd015	31	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd016	28	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd017	25	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd018	28	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd019	25	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd020	26	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd021	25	M	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd022	20	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd023	18	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd024	22	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd025	19	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd026	18	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd027	21	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd028	18	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd029	21	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd030	21	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd031	21	M	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd032	22	F	n/a	N	UG_acd	PN	BT	n/a	n/a	n/a
sub-sd033	34	M	n/a	N	non_acd	PN	BT	n/a	n/a	n/a
sub-sd034	27	F	n/a	N	PG_acd	PN	BT	n/a	n/a	n/a
sub-sd035	28	F	n/a	Y	PG_acd	PN	CN	BT	n/a	n/a
sub-sd036	34	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd037	26	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd038	25	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd039	34	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd040	31	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd041	34	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd042	38	M	n/a	Y	non_acd	PN	CN	BT	n/a	n/a
sub-sd043	28	M	n/a	Y	PG_acd	PN	CN	BT	n/a	n/a
sub-sd044	27	M	n/a	Y	PG_acd	PN	CN	BT	n/a	n/a
sub-sd045	25	F	n/a	Y	PG_acd	PN	CN	BT	n/a	n/a
sub-sd046	23	F	n/a	Y	UG_acd	PN	CN	BT	n/a	n/a
sub-sd047	26	F	n/a	Y	PG_acd	PN	CN	BT	n/a	n/a
sub-sd048	22	F	n/a	Y	UG_acd	PN	CN	BT	n/a	n/a
sub-sd049	22	F	n/a	Y	UG_acd	PN	CN	BT	n/a	n/a
sub-sd050	21	F	n/a	Y	UG_acd	PN	CN	BT	n/a	n/a
sub-sd051	23	M	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd052	24	F	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd053	23	F	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd054	23	F	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd055	48	M	n/a	Y	non_acd	CN	PN	BT	n/a	n/a
sub-sd056	24	M	n/a	Y	non_acd	CN	PN	BT	n/a	n/a
sub-sd057	20	M	n/a	Y	non_acd	CN	PN	BT	n/a	n/a
sub-sd058	26	M	n/a	Y	non_acd	CN	PN	BT	n/a	n/a
sub-sd059	20	M	n/a	Y	non_acd	CN	PN	BT	n/a	n/a
sub-sd060	30	M	n/a	Y	non_acd	CN	PN	BT	n/a	n/a
sub-sd061	22	F	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd062	21	M	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd063	20	M	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd064	25	M	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd065	20	M	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd066	23	M	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
sub-sd067	22	F	n/a	Y	UG_acd	CN	PN	BT	n/a	n/a
