participant_id	sex	age	handedness	handedness_quotient	education_years	L1_language	L2_language	L3_language	L4_language	proficiency_cambridge	proficiency_lextale	raven_score	L1_VF_category	L1_VF_letter	L2_VF_category	L2_VF_letter	L1_AoA_learn	L1_AoA_use	L1_Active_use	L1_Passive_use	L1_reading_self_rated_proficiency	L1_listening_self_rated_proficiency	L1_writing_self_rated_proficiency	L1_speaking_self_rated_proficiency	L1_accent_self_rated_proficiency	L2_AoA_learn	L2_AoA_use	L2_Active_use	L2_Passive_use	L2_reading_self_rated_proficiency	L2_listening_self_rated_proficiency	L2_writing_self_rated_proficiency	L2_speaking_self_rated_proficiency	L2_accent_self_rated_proficiency	L3_AoA_learn	L3_AoA_use	L3_Active_use	L3_Passive_use	L3_reading_self_rated_proficiency	L3_listening_self_rated_proficiency	L3_writing_self_rated_proficiency	L3_speaking_self_rated_proficiency	L3_accent_self_rated_proficiency	L4_AoA_learn	L4_AoA_use	L4_Active_use	L4_Passive_use	L4_reading_self_rated_proficiency	L4_listening_self_rated_proficiency	L4_writing_self_rated_proficiency	L4_speaking_self_rated_proficiency	L4_accent_self_rated_proficiency
sub-WF29001	f	19	right	55.56	12	Polish	English	Spanish	French	25.0	92.1	88.89	19.0	13.0	13.0	9.0	0.0	3.0	80	2	10.0	10.0	10.0	10.0	10.0	4.0	10.0	20	97	7.0	8.0	7.0	9.0	7.0	12.0	15.0	0	1	2.0	2.0	2.0	3.0	3.0	15.0	17.0	0	0	3.0	2.0	2.0	3.0	3.0
sub-WF29002	f	34	right	64.71	18	Polish	English	German	0.0	19.0	71.4	33.33	28.0	18.0	11.0	7.0	0.0	0.0	70	70	10.0	10.0	10.0	10.0	10.0	4.0	6.0	30	30	8.0	8.0	6.0	4.0	4.0	10.0	13.0	0	0	3.0	4.0	2.0	1.0	4.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29003	m	27	right	62.5	22	Polish	English	0.0	0.0	25.0	93.7	83.33	13.0	12.0	10.0	6.0	0.0	3.0	75	30	10.0	10.0	10.0	10.0	10.0	10.0	12.0	25	70	9.0	8.0	9.0	7.0	9.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29004	m	24	right	100.0	13	Polish	English	German	French	24.0	90.5	83.33	21.0	19.0	14.0	18.0	0.0	5.0	99	80	10.0	10.0	10.0	10.0	10.0	7.0	7.0	1	20	9.0	9.0	8.0	9.0	9.0	13.0	13.0	0	0	6.0	6.0	5.0	5.0	5.0	16.0	16.0	0	0	6.0	6.0	4.0	6.0	5.0
sub-WF29005	f	31	right	100.0	13	Polish	English	Spanish	Italian	25.0	68.3	66.67	33.0	22.0	15.0	17.0	0.0	5.0	80	75	10.0	10.0	10.0	10.0	10.0	5.0	10.0	5	10	9.0	8.0	7.0	7.0	6.0	15.0	16.0	15	10	9.0	9.0	8.0	8.0	7.0	20.0	21.0	0	5	6.0	6.0	5.0	5.0	5.0
sub-WF29006	f	27	right	87.5	14	Polish	English	Russian	0.0	21.0	55.6	44.44	25.0	9.0	17.0	7.0	0.0	0.0	100	95	10.0	10.0	7.0	8.0	7.0	8.0	15.0	0	5	8.0	5.0	4.0	3.0	3.0	16.0	18.0	0	0	9.0	8.0	5.0	3.0	2.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29007	f	31	right	100.0	17	Polish	English	German	Czech	22.0	76.2	55.56	20.0	13.0	22.0	15.0	0.0	5.0	80	75	10.0	10.0	10.0	10.0	10.0	6.0	6.0	10	15	8.0	8.0	7.0	8.0	7.0	12.0	12.0	0	0	6.0	5.0	5.0	5.0	5.0	20.0	20.0	10	10	8.0	8.0	7.0	8.0	7.0
sub-WF29008	f	20	right	100.0	18	Polish	English	Spanish	German	24.0	81.0	77.78	22.0	7.0	6.0	11.0	0.0	0.0	85	80	10.0	10.0	10.0	10.0	10.0	5.0	8.0	15	20	10.0	10.0	9.0	7.0	6.0	14.0	15.0	0	0	6.0	5.0	3.0	2.0	2.0	17.0	17.0	0	0	4.0	1.0	0.0	0.0	0.0
sub-WF29009	f	21	right	64.71	17	Polish	English	German	0.0	23.0	57.1	77.78	21.0	17.0	21.0	15.0	0.0	4.0	80	80	10.0	10.0	9.0	10.0	9.0	4.0	7.0	20	20	8.0	7.0	6.0	7.0	6.0	10.0	12.0	0	0	3.0	2.0	2.0	2.0	2.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29010	f	20	right	100.0	18	Polish	English	Spanish	0.0	22.0	76.2	61.11	13.0	5.0	9.0	4.0	0.0	0.0	60	50	10.0	10.0	10.0	10.0	10.0	6.0	12.0	40	45	8.0	7.0	8.0	7.0	7.0	17.0	19.0	0	5	4.0	3.0	3.0	3.0	2.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
