participant_id	Age	Gender
sub-03	7.75	F
sub-04	7.75	F
sub-05	7.8	F
sub-06	7.58	F
sub-07	7.25	M
sub-08	6.58	M
sub-09	6.8	M
sub-10	7.58	F
sub-11	7.5	M
sub-12	7.75	F
sub-13	6.91	F
sub-14	6.75	F
sub-15	7	F
sub-16	6	F
sub-17	6.75	F
sub-18	8.5	F
sub-19	6.75	M
sub-20	8.16	M
sub-21	7.66	M
sub-22	6.83	M
sub-24	7.08	M
sub-26	6	F
sub-27	7.58	F
sub-29	7.75	M
sub-30	7.33	F
sub-31	7.75	M
sub-32	7.66	F
sub-33	7.83	F
sub-34	8.08	F
sub-35	6.9	F
sub-36	7.25	M
sub-37	6.66	M
sub-38	7.25	F
sub-39	7.5	F
sub-40	8.33	F
sub-41	7.33	M
sub-42	6.5	M
sub-43	7.33	M
sub-44	6.66	M
sub-45	6.5	F
sub-46	7.16	M
sub-47	8.41	F
sub-48	8.5	M
sub-49	8.33	M
sub-50	7.41	F
sub-51	8.41	F
sub-52	7.5	M
sub-53	7	F
sub-54	6.83	M
sub-55	7	M
sub-56	7.91	F
sub-57	7.41	F
sub-59	6.75	F
sub-60	7.08	F
sub-61	7	F
sub-62	6.83	M
sub-64	7.83	M
sub-65	7.16	F
sub-66	7.91	M
sub-67	7	M
sub-68	6.75	F
