dataset	n_rows	n_columns
ds004186	2953	7
ds005752	1860	44
ds004889	1506	10
ds004169	1203	10
ds004131	1091	37
ds004129	1091	37
ds004130	1091	37
ds003097	929	31
ds004114	752	26
ds005385	609	8
ds004605	584	3
ds005515	534	24
ds004856	465	36
ds005516	431	24
ds004146	418	9
ds005143	398	11
ds004746	398	6
ds005511	382	24
ds004395	365	4
ds002345	346	6
ds007045	338	6
ds002385	334	4
ds005509	331	24
ds005508	325	24
ds003604	323	12
ds000221	319	3
ds003592	302	9
ds003949	297	3
ds005514	296	24
ds007137	295	5
ds007139	293	5
ds007096	293	5
ds007052	289	5
ds007056	288	5
ds007069	282	5
ds004789	281	4
ds000030	273	16
ds006148	267	2
ds005896	263	5
ds004809	259	4
ds006169	258	1
ds005512	258	24
ds001720	256	11
ds004884	246	7
ds005237	246	6
ds007119	234	13
ds007118	234	13
ds007120	234	13
ds002790	227	12
ds002181	227	3
ds005280	224	5
ds005754	221	14
ds005534	218	26
ds002785	217	13
ds001838	211	12
ds004116	210	14
ds001894	206	26
ds005595	201	3
ds003823	194	58
ds004796	193	87
ds004711	190	6
ds006577	186	30
ds005398	186	8
ds005507	185	24
ds004602	183	8
ds005027	176	8
ds004883	173	8
ds004199	171	19
ds003416	170	5
ds006107	167	14
ds002843	167	6
ds005305	166	8
ds005460	161	28
ds005166	161	14
ds004166	160	6
ds005270	159	11
ds004118	157	4
ds003655	157	10
ds005366	156	5
ds000228	156	19
ds005498	153	51
ds005506	151	24
ds006303	150	3
ds004584	150	9
ds004173	149	3
ds004795	149	3
ds006866	149	18
ds004580	148	10
ds005016	148	3
ds004574	147	10
ds003346	146	27
ds005292	143	5
ds006923	141	21
ds004579	140	9
ds007427	139	17
ds005851	139	5
ds006218	139	18
ds006780	137	24
ds005505	137	24
ds003826	137	10
ds005112	136	4
ds005510	136	24
ds004965	134	3
ds001486	133	19
ds007116	133	17
ds004627	131	4
ds005555	129	5
ds005863	128	78
ds006018	128	72
ds004466	128	4
ds006883	127	4
ds006391	127	5
ds005873	126	2
ds005449	126	3
ds004299	124	1
ds003474	123	6
ds003242	123	3
ds003478	123	9
ds006777	122	11
ds006910	122	4
ds000243	121	6
ds006861	121	12
ds005901	121	5
ds006234	120	4
ds003602	119	6
ds006067	119	3
ds005256	118	4
ds006377	116	568
ds004551	115	4
ds005123	115	10
ds003643	113	5
ds003775	112	24
ds004532	111	7
ds004636	111	5
ds003518	111	7
ds006914	111	4
ds004362	110	4
ds004120	110	4
ds001734	109	4
ds006233	109	4
ds005545	107	4
ds003701	106	4
ds006533	105	8
ds004587	104	3
ds004577	104	2
ds005628	103	2
ds005405	102	8
ds005613	102	3
ds007172	101	6
ds006462	101	5
ds005364	101	21
ds004589	101	7
ds000115	100	49
ds003969	99	10
ds004455	97	6
ds003522	97	6
ds005293	96	6
ds000202	96	11
ds006613	96	21
ds007020	95	2
ds004697	95	7
ds005073	94	25
ds006366	93	2
ds001747	93	10
ds006395	92	5
ds002236	92	7
ds005114	92	6
ds002647	92	6
ds003523	92	6
ds003499	91	4
ds005747	91	5
ds006239	90	6
ds006691	89	21
ds004504	89	5
ds006036	89	5
ds004648	89	33
ds003653	88	9
ds004725	88	9
ds003838	87	27
ds002837	87	4
ds000201	87	106
ds006638	87	2
ds006318	87	2
ds005356	86	6
ds006905	85	31
ds006926	84	5
ds003944	83	6
ds005026	83	5
ds003469	82	3
ds001461	82	5
ds006224	82	14
ds005410	82	15
ds005662	81	8
ds002643	81	5
ds003877	80	11
ds000222	80	11
ds002424	80	17
ds005636	79	5
ds004285	79	3
ds005216	79	3
ds005265	79	5
ds005455	78	24
ds003831	78	12
ds000208	78	9
ds006260	77	4
ds004582	77	3
ds004873	76	6
ds003690	76	11
ds006105	76	4
ds004469	75	25
ds005234	75	6
ds004080	75	4
ds000119	74	3
ds004848	74	3
ds004611	74	2
ds002748	73	20
ds005059	73	4
ds005038	72	6
ds004902	72	41
ds004302	72	6
ds006095	72	8
ds005577	71	5
ds006663	70	9
ds006222	70	4
ds005263	69	5
ds005504	69	19
ds005266	69	5
ds004791	69	2
ds004217	68	3
ds002731	68	4
ds004851	67	1
ds006434	67	3
ds007181	67	4
ds007182	67	31
ds004103	67	4
ds002330	67	37
ds002116	66	19
ds005291	66	7
ds005226	66	3
ds001796	65	12
ds006156	65	4
ds005096	64	3
ds003688	64	10
ds000240	64	18
ds006850	64	4
ds006803	64	4
ds005296	63	11
ds005616	63	10
ds003763	63	35
ds004349	63	5
ds004942	63	1
ds004019	63	6
ds001748	63	4
ds004044	63	4
ds002382	62	18
ds004771	62	6
ds005899	62	8
ds007398	62	3
ds003947	62	6
ds005012	61	5
ds005866	61	13
ds003717	61	18
ds003967	61	4
ds005346	61	4
ds002674	61	19
ds004148	61	257
ds006092	61	5
ds007022	61	6
ds005540	61	3
ds002717	60	1
ds005236	60	5
ds005874	60	7
ds004920	60	16
ds000053	60	3
ds005917	59	7
ds004392	59	5
ds004100	59	11
ds003126	59	4
ds005522	59	4
ds005131	59	6
ds004569	59	6
ds007322	58	11
ds004151	58	5
ds003638	58	4
ds001653	58	7
ds004261	58	4
ds003508	58	10
ds004359	58	6
ds003509	57	7
ds006370	57	1
ds001848	57	9
ds004400	57	26
ds002994	57	1
ds002886	57	12
ds004448	57	4
ds004279	57	4
ds003506	57	7
ds005892	56	4
ds006171	56	8
ds003751	56	4
ds003465	56	3
ds004515	55	8
ds001131	55	3
ds006979	54	7
ds001890	54	11
ds003138	54	4
ds004595	54	8
ds004556	54	5
ds005907	54	8
ds004917	54	9
ds004256	54	4
ds003876	53	10
ds007063	53	5
ds001408	53	4
ds004718	53	262
ds006367	53	1
ds004182	53	3
ds001242	53	3
ds004626	53	5
ds005497	53	1
ds001541	53	13
ds004572	53	4
ds005408	52	16
ds003709	52	7
ds003568	52	4
ds006131	52	3
ds005407	52	16
ds005713	52	41
ds004315	51	5
ds001818	51	1
ds003825	51	8
ds004604	51	3
ds005697	51	3
ds004073	51	11
ds003745	51	4
ds005381	51	4
ds005518	51	4
ds003612	51	4
ds004499	51	4
ds005341	51	4
ds004996	51	9
ds003037	51	6
ds004317	51	5
ds003490	51	7
ds006248	51	5
ds006545	50	5
ds003114	50	10
ds002893	50	6
ds004894	50	1
ds002543	50	3
ds004865	50	4
ds003791	50	5
ds004145	50	8
ds002134	50	16
ds003436	50	11
ds000148	50	15
ds000109	49	3
ds003799	49	6
ds004386	49	4
ds002168	49	8
ds005841	49	3
ds002522	49	4
ds002154	49	6
ds004068	49	4
ds006693	49	7
ds002419	49	45
ds005572	49	1
ds005947	49	3
ds005095	49	4
ds005868	49	12
ds004440	49	4
ds004635	49	3
ds005411	49	4
ds006554	48	2
ds006648	48	2
ds005551	48	5
ds004327	48	45
ds004934	48	4
ds003702	48	5
ds001810	48	4
ds001371	48	4
ds006521	48	5
ds007335	47	4
ds006628	47	4
ds005598	47	3
ds005230	47	4
ds002422	47	3
ds007176	46	5
ds003620	46	48
ds000245	46	6
ds004533	46	4
ds000144	46	26
ds004511	45	3
ds004872	45	18
ds005050	45	3
ds003851	45	5
ds003787	45	4
ds004647	45	3
ds005469	44	8
ds005374	44	5
ds004000	44	2
ds005875	44	11
ds004516	44	6
ds005363	44	5
ds002033	44	10
ds006583	44	11
ds007318	44	4
ds006902	44	6
ds005343	44	3
ds006010	43	3
ds005106	43	6
ds004054	43	7
ds004621	43	90
ds004717	43	8
ds001386	43	4
ds004588	43	1
ds000174	43	10
ds004456	43	16
ds001534	43	11
ds005559	43	5
