dataset	column	value	description	is_missing_value	standardized_term
ds004186	gender	1			
ds004186	gender	0			
ds004186	commercial_use	No	Subject did not give consent to commercial use of data		
ds004186	commercial_use	Yes	Subject gave consent to commercial use of data		
ds004186	full_pheno	Yes	Subject has full phenotypic file		
ds004186	full_pheno	No	Subject does not have full phenotypic file		
ds005752	release_1	1			
ds005752	release_1	0			
ds005752	release_2	0			
ds005752	release_2	1			
ds005752	sex	female	Female		
ds005752	sex	male	Male		
ds005752	sex			True	
ds005752	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)		
ds005752	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)		
ds005752	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)		
ds005752	handedness			True	
ds005752	eligibility	0			
ds005752	eligibility	1			
ds005752	MRI	0			
ds005752	MRI	1			
ds005752	MEG	0			
ds005752	MEG	1			
ds005752	ace	0			
ds005752	ace	1			
ds005752	acute_care	0			
ds005752	acute_care	1			
ds005752	audit	1			
ds005752	audit	0			
ds005752	bai	0			
ds005752	bai	1			
ds005752	bdi	0			
ds005752	bdi	1			
ds005752	big_five_personality	0			
ds005752	big_five_personality	1			
ds005752	blood_chemistry	0			
ds005752	blood_chemistry	1			
ds005752	btq	0			
ds005752	btq	1			
ds005752	cbc_with_differential	0			
ds005752	cbc_with_differential	1			
ds005752	clinical_variable_form	0			
ds005752	clinical_variable_form	1			
ds005752	demographics	1			
ds005752	demographics	0			
ds005752	drug_use	1			
ds005752	drug_use	0			
ds005752	ehi	1			
ds005752	ehi	0			
ds005752	figs	0			
ds005752	figs	1			
ds005752	gad7	0			
ds005752	gad7	1			
ds005752	health_history_checklist_year_1	0			
ds005752	health_history_checklist_year_1	1			
ds005752	health_history_questions	1			
ds005752	health_history_questions	0			
ds005752	health_rating	1			
ds005752	health_rating	0			
ds005752	hematology	0			
ds005752	hematology	1			
ds005752	hepatic	0			
ds005752	hepatic	1			
ds005752	infectious_disease	0			
ds005752	infectious_disease	1			
ds005752	kbit2_vas	0			
ds005752	kbit2_vas	1			
ds005752	lipid	0			
ds005752	lipid	1			
ds005752	mental_health_questions	1			
ds005752	mental_health_questions	0			
ds005752	mri_variables	0			
ds005752	mri_variables	1			
ds005752	nih_toolbox	0			
ds005752	nih_toolbox	1			
ds005752	other	0			
ds005752	other	1			
ds005752	perceived_health_rating	0			
ds005752	perceived_health_rating	1			
ds005752	phq9	0			
ds005752	phq9	1			
ds005752	satisfaction	0			
ds005752	satisfaction	1			
ds005752	scid5	0			
ds005752	scid5	1			
ds005752	urinalysis	0			
ds005752	urinalysis	1			
ds005752	urine_chemistry	0			
ds005752	urine_chemistry	1			
ds005752	vitamin_levels	0			
ds005752	vitamin_levels	1			
ds005752	whodas	1			
ds005752	whodas	0			
ds004889	sex	M	male		
ds004889	sex	F	female		
ds004889	sex			True	
ds004889	race	w	White		
ds004889	race			True	
ds004889	race	b	Black or African American		
ds004889	acuteischaemicstroke	1.0			
ds004889	acuteischaemicstroke			True	
ds004889	priorstroke	0.0			
ds004889	priorstroke	1.0			
ds004889	priorstroke			True	
ds004889	gs_rankin_6isdeath			True	
ds004889	gs_rankin_6isdeath	6.0			
ds004889	gs_rankin_6isdeath	4.0			
ds004889	gs_rankin_6isdeath	0.0			
ds004889	gs_rankin_6isdeath	2.0			
ds004889	gs_rankin_6isdeath	3.0			
ds004889	gs_rankin_6isdeath	1.0			
ds004889	gs_rankin_6isdeath	5.0			
ds004889	etiology	2: Cardioembolism (e.g., atrial fibrillation/flutter, prosthetic heart valve, recent MI)			
ds004889	etiology	5: Cryptogenic Stroke			
ds004889	etiology	3: Small-vessel disease (e.g., Subcortical or brain stem lacunar infarction <1.5 cm)			
ds004889	etiology			True	
ds004889	etiology	1: Large-artery atherosclerosis (e.g., carotid or basilar artery stenosis)			
ds004889	etiology	4: Stroke of other determined etiology			
ds005385	sex	F	female		
ds005385	sex	M	male		
ds005385	handedness	right	Right handed (LQ > 0)		
ds005385	handedness	left	Left handed (LQ <= 0)		
ds005385	handedness			True	
ds005385	session1	yes			
ds005385	session2	yes			
ds005385	session2	no			
ds005385	late_ses2	0.0			
ds005385	late_ses2			True	
ds005385	late_ses2	5.0			
ds005385	late_ses2	2.0			
ds005385	late_ses2	1.0			
ds005385	late_ses2	3.0			
ds005385	late_ses2	19.0			
ds005385	late_ses2	136.0			
ds004605	sex	1			
ds004605	sex	-1			
ds005515	release_number	R10			
ds005515	sex	M	Male		
ds005515	sex	F	Female		
ds005515	commercial_use	Yes	Subject gave consent to commercial use of data		
ds005515	full_pheno	No			
ds005515	full_pheno	Yes			
ds005515	RestingState	available			
ds005515	RestingState	caution			
ds005515	RestingState	unavailable			
ds005515	DespicableMe	available			
ds005515	DespicableMe	unavailable			
ds005515	DespicableMe	caution			
ds005515	FunwithFractals	available			
ds005515	FunwithFractals	unavailable			
ds005515	FunwithFractals	caution			
ds005515	ThePresent	unavailable			
ds005515	ThePresent	available			
ds005515	ThePresent	caution			
ds005515	DiaryOfAWimpyKid	available			
ds005515	DiaryOfAWimpyKid	caution			
ds005515	DiaryOfAWimpyKid	unavailable			
ds005515	contrastChangeDetection_1	unavailable			
ds005515	contrastChangeDetection_1	caution			
ds005515	contrastChangeDetection_1	available			
ds005515	contrastChangeDetection_2	unavailable			
ds005515	contrastChangeDetection_2	caution			
ds005515	contrastChangeDetection_2	available			
ds005515	contrastChangeDetection_3	caution			
ds005515	contrastChangeDetection_3	unavailable			
ds005515	contrastChangeDetection_3	available			
ds005515	surroundSupp_1	caution			
ds005515	surroundSupp_1	unavailable			
ds005515	surroundSupp_1	available			
ds005515	surroundSupp_2	unavailable			
ds005515	surroundSupp_2	caution			
ds005515	surroundSupp_2	available			
ds005515	seqLearning6target	unavailable			
ds005515	seqLearning8target	unavailable			
ds005515	symbolSearch	caution			
ds005515	symbolSearch	unavailable			
ds005515	symbolSearch	available			
ds004856	Sex	m	male		
ds004856	Sex	f	female		
ds004856	Race	5			
ds004856	Race	2			
ds004856	Race	6			
ds004856	Race	1			
ds004856	Race	3			
ds004856	Race	4			
ds004856	Race	7			
ds004856	Ethnicity	0.0			
ds004856	Ethnicity	1.0			
ds004856	Ethnicity			True	
ds004856	EduComp	3.0			
ds004856	EduComp	6.0			
ds004856	EduComp	4.0			
ds004856	EduComp	7.0			
ds004856	EduComp	5.0			
ds004856	EduComp	2.0			
ds004856	EduComp	1.0			
ds004856	EduComp			True	
ds004856	MMSE_W1	28.0			
ds004856	MMSE_W1	29.0			
ds004856	MMSE_W1	27.0			
ds004856	MMSE_W1	30.0			
ds004856	MMSE_W1	26.0			
ds004856	MMSE_W1			True	
ds004856	MMSE_W2	30.0			
ds004856	MMSE_W2	28.0			
ds004856	MMSE_W2			True	
ds004856	MMSE_W2	27.0			
ds004856	MMSE_W2	29.0			
ds004856	MMSE_W2	26.0			
ds004856	MMSE_W2	25.0			
ds004856	MMSE_W3	28.0			
ds004856	MMSE_W3			True	
ds004856	MMSE_W3	30.0			
ds004856	MMSE_W3	29.0			
ds004856	MMSE_W3	27.0			
ds004856	MMSE_W3	26.0			
ds004856	MMSE_W3	24.0			
ds004856	MMSE_W3	25.0			
ds005516	release_number	R11			
ds005516	sex	M	Male		
ds005516	sex	F	Female		
ds005516	commercial_use	Yes	Subject gave consent to commercial use of data		
ds005516	full_pheno	Yes			
ds005516	full_pheno	No			
ds005516	RestingState	available			
ds005516	RestingState	unavailable			
ds005516	RestingState	caution			
ds005516	DespicableMe	available			
ds005516	DespicableMe	caution			
ds005516	DespicableMe	unavailable			
ds005516	FunwithFractals	available			
ds005516	FunwithFractals	caution			
ds005516	FunwithFractals	unavailable			
ds005516	ThePresent	available			
ds005516	ThePresent	caution			
ds005516	ThePresent	unavailable			
ds005516	DiaryOfAWimpyKid	available			
ds005516	DiaryOfAWimpyKid	caution			
ds005516	DiaryOfAWimpyKid	unavailable			
ds005516	contrastChangeDetection_1	available			
ds005516	contrastChangeDetection_1	caution			
ds005516	contrastChangeDetection_1	unavailable			
ds005516	contrastChangeDetection_2	available			
ds005516	contrastChangeDetection_2	unavailable			
ds005516	contrastChangeDetection_2	caution			
ds005516	contrastChangeDetection_3	available			
ds005516	contrastChangeDetection_3	unavailable			
ds005516	contrastChangeDetection_3	caution			
ds005516	surroundSupp_1	available			
ds005516	surroundSupp_1	caution			
ds005516	surroundSupp_1	unavailable			
ds005516	surroundSupp_2	available			
ds005516	surroundSupp_2	unavailable			
ds005516	surroundSupp_2	caution			
ds005516	seqLearning6target	unavailable			
ds005516	seqLearning8target	unavailable			
ds005516	symbolSearch	available			
ds005516	symbolSearch	caution			
ds005516	symbolSearch	unavailable			
ds004746	zygosity	DZ	dizygotic		
ds004746	zygosity	MZ	monozygotic		
ds004746	zygosity	OS	dizygotic opposite sex		
ds004746	sex	F	female		
ds004746	sex	M	male		
ds005143	sex	19			
ds005143	sex	25			
ds005143	sex	18			
ds005143	sex	23			
ds005143	sex	26			
ds005143	sex	24			
ds005143	sex	29			
ds005143	sex	22			
ds005143	sex	31			
ds005143	sex	27			
ds005143	sex	20			
ds005143	sex	30			
ds005143	sex	38			
ds005143	sex	21			
ds005143	sex	35			
ds005143	sex	33			
ds005143	sex	28			
ds005143	sex	37			
ds005143	sex	56			
ds005143	sex	67			
ds005143	sex	48			
ds005143	sex	41			
ds005143	sex	47			
ds005143	sex	57			
ds005143	sex	32			
ds005143	sex	34			
ds005143	sex	59			
ds005143	sex	51			
ds005143	sex	61			
ds005143	sex	53			
ds005143	sex	58			
ds005143	sex	76			
ds005143	sex	60			
ds005143	sex	69			
ds005143	sex	64			
ds005143	sex	52			
ds005143	sex	45			
ds005143	sex	54			
ds005143	sex	39			
ds005143	sex	42			
ds005143	sex	46			
ds005143	sex	49			
ds005143	sex	63			
ds005143	sex	50			
ds005143	sex	40			
ds005143	sex	44			
ds005143	sex	43			
ds005143	sex	62			
ds005143	sex	36			
ds005143	age	M			
ds005143	age	F			
ds005143	age			True	
ds005143	institution_id	hamburg			
ds005143	institution_id	nw			
ds005143	institution_id	ouhsc			
ds005143	institution_id	stanford			
ds005143	institution_id	unf			
ds005143	institution_id	Zurich			
ds005143	institution_id	geneva			
ds005143	institution_id	leipzig			
ds005143	institution	 University Medical Center Hamburg-Eppendorf			
ds005143	institution	Northwestern University			
ds005143	institution	University of Oklahoma			
ds005143	institution	Stanford University			
ds005143	institution	Centre de recherche de l'Institut Universitaire de Geriatrie de Montreal			
ds005143	institution	Balgrist University Hospital, University of Zurich			
ds005143	institution	Ecole Polytechnique Federale de Lausanne			
ds005143	institution	Max Planck Institute for Human Cognitive and Brain Sciences			
ds005143	manufacturer	Siemens			
ds005143	manufacturer	GE			
ds005143	manufacturers_model_name	Magnetom Prisma Fit 3 Tesla System			
ds005143	manufacturers_model_name	Discovery 750 3 Tesla System			
ds005143	manufacturers_model_name	Signa Premier 3 Tesla System			
ds005143	manufacturers_model_name	Magnetom Trio Tim 3 Tesla System			
ds005143	pathology	HC	Healthy Control		
ds005143	pathology	DCM	Degenerative Cervical Myelopathy (synonymous with CSM - Cervical Spondylotic Myelopathy)		
ds005143	pathology	CSM			
ds005143	pathology	FM	Fibromyalgia		
ds005143	moco_software	SCT	Spinal Cord Toolbox		
ds005143	moco_software	AFNI	Analysis of Functional NeuroImages		
ds005143	moco_software	FSL	FMRIB Software Library		
ds005143	moco_software	FSL & SCT			
ds005143	segmentation_type	Automated	Automated segmentation of the spinal cord		
ds005143	segmentation_type	Manual	Manual segmentation of the spinal cord		
ds005511	release_number	R7			
ds005511	sex	M	Male		
ds005511	sex	F	Female		
ds005511	commercial_use	Yes	Subject gave consent to commercial use of data		
ds005511	full_pheno	Yes			
ds005511	full_pheno	No			
ds005511	RestingState	available			
ds005511	RestingState	unavailable			
ds005511	DespicableMe	available			
ds005511	DespicableMe	unavailable			
ds005511	DespicableMe	caution			
ds005511	FunwithFractals	available			
ds005511	FunwithFractals	unavailable			
ds005511	FunwithFractals	caution			
ds005511	ThePresent	available			
ds005511	ThePresent	unavailable			
ds005511	ThePresent	caution			
ds005511	DiaryOfAWimpyKid	available			
ds005511	DiaryOfAWimpyKid	unavailable			
