dataset	column	value	description	is_missing_value	standardized_term	standardized_label
ds004186	gender	1				
ds004186	gender	0				
ds004186	commercial_use	No	Subject did not give consent to commercial use of data			
ds004186	commercial_use	Yes	Subject gave consent to commercial use of data			
ds004186	full_pheno	Yes	Subject has full phenotypic file			
ds004186	full_pheno	No	Subject does not have full phenotypic file			
ds005752	release_1	1	Present			
ds005752	release_1	0	Not Present			
ds005752	release_2	0	Not Present			
ds005752	release_2	1	Present			
ds005752	sex	female	Female		snomed:248152002	Female
ds005752	sex	male	Male		snomed:248153007	Male
ds005752	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds005752	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds005752	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds005752	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds005752	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds005752	eligibility	0	Ineligible			
ds005752	eligibility	1	Eligible			
ds005752	MRI	0	Not Present			
ds005752	MRI	1	Present			
ds005752	MEG	0	Not Present			
ds005752	MEG	1	Present			
ds005752	ace	0	Not Present			
ds005752	ace	1	Present			
ds005752	acute_care	0	Not Present			
ds005752	acute_care	1	Present			
ds005752	audit	1	Present			
ds005752	audit	0	Not Present			
ds005752	bai	0	Not Present			
ds005752	bai	1	Present			
ds005752	bdi	0	Not Present			
ds005752	bdi	1	Present			
ds005752	big_five_personality	0	Not Present			
ds005752	big_five_personality	1	Present			
ds005752	blood_chemistry	0	Not Present			
ds005752	blood_chemistry	1	Present			
ds005752	btq	0	Not Present			
ds005752	btq	1	Present			
ds005752	cbc_with_differential	0	Not Present			
ds005752	cbc_with_differential	1	Present			
ds005752	clinical_variable_form	0	Not Present			
ds005752	clinical_variable_form	1	Present			
ds005752	demographics	1	Present			
ds005752	demographics	0	Not Present			
ds005752	drug_use	1	Present			
ds005752	drug_use	0	Not Present			
ds005752	ehi	1	Present			
ds005752	ehi	0	Not Present			
ds005752	figs	0	Not Present			
ds005752	figs	1	Present			
ds005752	gad7	0	Not Present			
ds005752	gad7	1	Present			
ds005752	health_history_checklist_year_1	0	Not Present			
ds005752	health_history_checklist_year_1	1	Present			
ds005752	health_history_questions	1	Present			
ds005752	health_history_questions	0	Not Present			
ds005752	health_rating	1	Present			
ds005752	health_rating	0	Not Present			
ds005752	hematology	0	Not Present			
ds005752	hematology	1	Present			
ds005752	hepatic	0	Not Present			
ds005752	hepatic	1	Present			
ds005752	infectious_disease	0	Not Present			
ds005752	infectious_disease	1	Present			
ds005752	kbit2_vas	0	Not Present			
ds005752	kbit2_vas	1	Present			
ds005752	lipid	0	Not Present			
ds005752	lipid	1	Present			
ds005752	mental_health_questions	1	Present			
ds005752	mental_health_questions	0	Not Present			
ds005752	mri_variables	0	Not Present			
ds005752	mri_variables	1	Present			
ds005752	nih_toolbox	0	Not Present			
ds005752	nih_toolbox	1	Present			
ds005752	other	0	Not Present			
ds005752	other	1	Present			
ds005752	perceived_health_rating	0	Not Present			
ds005752	perceived_health_rating	1	Present			
ds005752	phq9	0	Not Present			
ds005752	phq9	1	Present			
ds005752	satisfaction	0	Not Present			
ds005752	satisfaction	1	Present			
ds005752	scid5	0	Not Present			
ds005752	scid5	1	Present			
ds005752	urinalysis	0	Not Present			
ds005752	urinalysis	1	Present			
ds005752	urine_chemistry	0	Not Present			
ds005752	urine_chemistry	1	Present			
ds005752	vitamin_levels	0	Not Present			
ds005752	vitamin_levels	1	Present			
ds005752	whodas	1	Present			
ds005752	whodas	0	Not Present			
ds004889	sex	M	male		snomed:248153007	Male
ds004889	sex	F	female		snomed:248152002	Female
ds004889	sex	n/a		True		
ds004889	race	w	White			
ds004889	race	n/a		True		
ds004889	race	b	Black or African American			
ds004889	acuteischaemicstroke	1	Acute ischemic stroke			
ds004889	acuteischaemicstroke	n/a		True		
ds004889	priorstroke	0	No chronic stroke			
ds004889	priorstroke	1	Previous chronic stroke			
ds004889	priorstroke	n/a		True		
ds004889	gs_rankin_6isdeath	n/a		True		
ds004889	gs_rankin_6isdeath	6				
ds004889	gs_rankin_6isdeath	4				
ds004889	gs_rankin_6isdeath	0				
ds004889	gs_rankin_6isdeath	2				
ds004889	gs_rankin_6isdeath	3				
ds004889	gs_rankin_6isdeath	1				
ds004889	gs_rankin_6isdeath	5				
ds004889	etiology	2: Cardioembolism (e.g., atrial fibrillation/flutter, prosthetic heart valve, recent MI)				
ds004889	etiology	5: Cryptogenic Stroke				
ds004889	etiology	3: Small-vessel disease (e.g., Subcortical or brain stem lacunar infarction <1.5 cm)				
ds004889	etiology	n/a		True		
ds004889	etiology	1: Large-artery atherosclerosis (e.g., carotid or basilar artery stenosis)				
ds004889	etiology	4: Stroke of other determined etiology				
ds004169	sex	M	male		snomed:248153007	Male
ds004169	sex	F	female		snomed:248152002	Female
ds004169	handedness	right	right			
ds004169	ses01_T1w_acq	1	coronal			
ds004169	ses01_T1w_acq	2	sagittal			
ds004169	ses02_T1w_acq	n/a		True		
ds004169	ses02_T1w_acq	1	coronal			
ds004169	ses02_T1w_acq	2	sagittal			
ds004169	nback_seq	1	1000 milliseconds			
ds004169	nback_seq	2	1500 milliseconds			
ds004169	nback_seq	n/a		True		
ds004169	group	n/a		True		
ds004169	group	1	test-retest			
ds004169	group	2	longitudinal			
ds004131	sex	female	Female		snomed:248152002	Female
ds004131	sex	male	Male		snomed:248153007	Male
ds004131	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds004131	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds004131	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds004131	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds004131	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds004131	eligibility	0	Ineligible			
ds004131	eligibility	1	Eligible			
ds004131	MRI	0	Not Present			
ds004131	MRI	1	Present			
ds004131	MEG	0	Not Present			
ds004131	MEG	1	Present			
ds004131	ace	0	Not Present			
ds004131	ace	1	Present			
ds004131	acute_care	0	Not Present			
ds004131	acute_care	1	Present			
ds004131	audit	1	Present			
ds004131	audit	0	Not Present			
ds004131	bai	0	Not Present			
ds004131	bai	1	Present			
ds004131	bdi	0	Not Present			
ds004131	bdi	1	Present			
ds004131	blood_chemistry	0	Not Present			
ds004131	blood_chemistry	1	Present			
ds004131	cbc_with_differential	0	Not Present			
ds004131	cbc_with_differential	1	Present			
ds004131	clinical_variable_form	0	Not Present			
ds004131	clinical_variable_form	1	Present			
ds004131	demographics	1	Present			
ds004131	drug_use	1	Present			
ds004131	drug_use	0	Not Present			
ds004131	ehi	1	Present			
ds004131	ehi	0	Not Present			
ds004131	figs	0	Not Present			
ds004131	figs	1	Present			
ds004131	health_history_questions	1	Present			
ds004131	health_history_questions	0	Not Present			
ds004131	health_rating	1	Present			
ds004131	health_rating	0	Not Present			
ds004131	hematology	0	Not Present			
ds004131	hematology	1	Present			
ds004131	hepatic	0	Not Present			
ds004131	hepatic	1	Present			
ds004131	infectious_disease	0	Not Present			
ds004131	infectious_disease	1	Present			
ds004131	kbit2_vas	0	Not Present			
ds004131	kbit2_vas	1	Present			
ds004131	lipid	0	Not Present			
ds004131	lipid	1	Present			
ds004131	mental_health_questions	1	Present			
ds004131	mental_health_questions	0	Not Present			
ds004131	mri_variables	0	Not Present			
ds004131	mri_variables	1	Present			
ds004131	nih_toolbox	0	Not Present			
ds004131	nih_toolbox	1	Present			
ds004131	other	0	Not Present			
ds004131	other	1	Present			
ds004131	perceived_health_rating	0	Not Present			
ds004131	perceived_health_rating	1	Present			
ds004131	satisfaction	0	Not Present			
ds004131	satisfaction	1	Present			
ds004131	scid5	0	Not Present			
ds004131	scid5	1	Present			
ds004131	urinalysis	0	Not Present			
ds004131	urinalysis	1	Present			
ds004131	urine_chemistry	0	Not Present			
ds004131	urine_chemistry	1	Present			
ds004131	vitamin_levels	0	Not Present			
ds004131	vitamin_levels	1	Present			
ds004131	whodas	1	Present			
ds004131	whodas	0	Not Present			
ds004129	sex	female	Female		snomed:248152002	Female
ds004129	sex	male	Male		snomed:248153007	Male
ds004129	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds004129	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds004129	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds004129	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds004129	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds004129	eligibility	0	Ineligible			
ds004129	eligibility	1	Eligible			
ds004129	MRI	0	Not Present			
ds004129	MRI	1	Present			
ds004129	MEG	0	Not Present			
ds004129	MEG	1	Present			
ds004129	ace	0	Not Present			
ds004129	ace	1	Present			
ds004129	acute_care	0	Not Present			
ds004129	acute_care	1	Present			
ds004129	audit	1	Present			
ds004129	audit	0	Not Present			
ds004129	bai	0	Not Present			
ds004129	bai	1	Present			
ds004129	bdi	0	Not Present			
ds004129	bdi	1	Present			
ds004129	blood_chemistry	0	Not Present			
ds004129	blood_chemistry	1	Present			
ds004129	cbc_with_differential	0	Not Present			
ds004129	cbc_with_differential	1	Present			
ds004129	clinical_variable_form	0	Not Present			
ds004129	clinical_variable_form	1	Present			
ds004129	demographics	1	Present			
ds004129	drug_use	1	Present			
ds004129	drug_use	0	Not Present			
ds004129	ehi	1	Present			
ds004129	ehi	0	Not Present			
ds004129	figs	0	Not Present			
ds004129	figs	1	Present			
ds004129	health_history_questions	1	Present			
ds004129	health_history_questions	0	Not Present			
ds004129	health_rating	1	Present			
ds004129	health_rating	0	Not Present			
ds004129	hematology	0	Not Present			
ds004129	hematology	1	Present			
ds004129	hepatic	0	Not Present			
ds004129	hepatic	1	Present			
ds004129	infectious_disease	0	Not Present			
ds004129	infectious_disease	1	Present			
ds004129	kbit2_vas	0	Not Present			
ds004129	kbit2_vas	1	Present			
ds004129	lipid	0	Not Present			
ds004129	lipid	1	Present			
ds004129	mental_health_questions	1	Present			
ds004129	mental_health_questions	0	Not Present			
ds004129	mri_variables	0	Not Present			
ds004129	mri_variables	1	Present			
ds004129	nih_toolbox	0	Not Present			
ds004129	nih_toolbox	1	Present			
ds004129	other	0	Not Present			
ds004129	other	1	Present			
ds004129	perceived_health_rating	0	Not Present			
ds004129	perceived_health_rating	1	Present			
ds004129	satisfaction	0	Not Present			
ds004129	satisfaction	1	Present			
ds004129	scid5	0	Not Present			
ds004129	scid5	1	Present			
ds004129	urinalysis	0	Not Present			
ds004129	urinalysis	1	Present			
ds004129	urine_chemistry	0	Not Present			
ds004129	urine_chemistry	1	Present			
ds004129	vitamin_levels	0	Not Present			
ds004129	vitamin_levels	1	Present			
ds004129	whodas	1	Present			
ds004129	whodas	0	Not Present			
ds004130	sex	female	Female		snomed:248152002	Female
ds004130	sex	male	Male		snomed:248153007	Male
ds004130	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds004130	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds004130	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds004130	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds004130	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds004130	eligibility	0	Ineligible			
ds004130	eligibility	1	Eligible			
ds004130	MRI	0	Not Present			
ds004130	MRI	1	Present			
ds004130	MEG	0	Not Present			
ds004130	MEG	1	Present			
ds004130	ace	0	Not Present			
ds004130	ace	1	Present			
ds004130	acute_care	0	Not Present			
ds004130	acute_care	1	Present			
ds004130	audit	1	Present			
ds004130	audit	0	Not Present			
ds004130	bai	0	Not Present			
ds004130	bai	1	Present			
ds004130	bdi	0	Not Present			
ds004130	bdi	1	Present			
ds004130	blood_chemistry	0	Not Present			
ds004130	blood_chemistry	1	Present			
ds004130	cbc_with_differential	0	Not Present			
ds004130	cbc_with_differential	1	Present			
ds004130	clinical_variable_form	0	Not Present			
ds004130	clinical_variable_form	1	Present			
ds004130	demographics	1	Present			
